"","Lambda.Parameter","Lambda.coord","Lambda.covariate","Lambda.p2.5","Lambda.p25","Lambda.p50","Lambda.mean","Lambda.p75","Lambda.p97.5","pool","pool_type","Size","primer","size_fraction","rank_pool"
"1","Lambda","clr_Calanus","cycle_num",-0.0727840552263419,-0.0326988095430311,-0.0116488753941192,-0.0122800504590442,0.00818717606426847,0.0467951494651829,"All_S1_COI","All","S1","COI",0.2,1
"2","Lambda","clr_Ctenocalanus","cycle_num",0.0346068939593339,0.0626714072984666,0.076888529031076,0.0769047579733065,0.0909212040424389,0.119186703826956,"All_S1_COI","All","S1","COI",0.2,1
"3","Lambda","clr_Euphausia","cycle_num",-0.0116279497677268,0.0144769745301846,0.0274731876505634,0.0273633422411898,0.0401949089352349,0.0658435973181133,"All_S1_COI","All","S1","COI",0.2,1
"4","Lambda","clr_Pleuromamma","cycle_num",-0.0575709118822521,-0.0286220258764639,-0.0140500966865981,-0.0139055034736276,0.000660402770101348,0.0301780094037654,"All_S1_COI","All","S1","COI",0.2,1
"5","Lambda","clr_Rosacea","cycle_num",-0.185858731995751,-0.160391550548839,-0.147587695651473,-0.147964305165667,-0.135327275320307,-0.111556067549387,"All_S1_COI","All","S1","COI",0.2,1
"6","Lambda","clr_Sagitta","cycle_num",-0.155082262019761,-0.110970310352298,-0.0881237367282892,-0.0884894362550405,-0.0660827940429955,-0.0228356389924717,"All_S1_COI","All","S1","COI",0.2,1
"7","Lambda","clr_other","cycle_num",0.0694466593013668,0.0983164879896358,0.113199173964287,0.113152918863341,0.127987236815054,0.156810107704717,"All_S1_COI","All","S1","COI",0.2,1
"8","Lambda","clr_unidentified Calanoida","cycle_num",-0.0115978663519459,0.0264213840102109,0.0451433660771474,0.0452182762755423,0.0640012383318697,0.10199506310833,"All_S1_COI","All","S1","COI",0.2,1
"9","Lambda","clr_Calanus","cycle_num",-0.0728164151777794,-0.0323089971551003,-0.0119583039882336,-0.011972598164648,0.00842777197412821,0.0490499566471184,"All_S2_COI","All","S2","COI",0.5,1
"10","Lambda","clr_Ctenocalanus","cycle_num",0.0336701357162428,0.0619499080998954,0.0768172231675577,0.0766770664199447,0.0911988944981466,0.119647391034697,"All_S2_COI","All","S2","COI",0.5,1
"11","Lambda","clr_Euphausia","cycle_num",-0.0125304135449985,0.0144767476267095,0.027410828919125,0.0273069659232873,0.0405716420200893,0.0659995243296329,"All_S2_COI","All","S2","COI",0.5,1
"12","Lambda","clr_Pleuromamma","cycle_num",-0.0591833937525655,-0.0292907984532033,-0.0142808754672967,-0.0145744483547313,0.000321639967517974,0.0294068758061887,"All_S2_COI","All","S2","COI",0.5,1
"13","Lambda","clr_Rosacea","cycle_num",-0.186099589313426,-0.160427802364959,-0.147829456955551,-0.147956364022165,-0.13500278258289,-0.111615536862254,"All_S2_COI","All","S2","COI",0.5,1
"14","Lambda","clr_Sagitta","cycle_num",-0.155324187463002,-0.109828438474386,-0.0874598387045264,-0.0877015450039709,-0.0651405946299823,-0.0221127746028541,"All_S2_COI","All","S2","COI",0.5,1
"15","Lambda","clr_other","cycle_num",0.0680257171987325,0.0981683271413472,0.112440688765423,0.112758086432467,0.127584556808908,0.156296276674045,"All_S2_COI","All","S2","COI",0.5,1
"16","Lambda","clr_unidentified Calanoida","cycle_num",-0.00972251471994869,0.0266269068152801,0.0452662619005363,0.0454628367698166,0.0642126908580079,0.102169233523189,"All_S2_COI","All","S2","COI",0.5,1
"17","Lambda","clr_Calanus","cycle_num",-0.0234623816254724,0.00657021289901964,0.0217536812445426,0.0214789355764794,0.0368216093416966,0.0655369742975113,"All_S3_COI","All","S3","COI",1,1
"18","Lambda","clr_Euphausia","cycle_num",0.0177465778510736,0.0431566364033784,0.0559038250599682,0.0558866517944279,0.0687948343406089,0.0937669791068203,"All_S3_COI","All","S3","COI",1,1
"19","Lambda","clr_Pleuromamma","cycle_num",-0.115737486569372,-0.0923933866884999,-0.0803775978748581,-0.0803200376763375,-0.0682494268235876,-0.0452940391331222,"All_S3_COI","All","S3","COI",1,1
"20","Lambda","clr_Rosacea","cycle_num",-0.161030543529119,-0.125380846972186,-0.107382668641017,-0.107997894872391,-0.0901055869503675,-0.0567060704990222,"All_S3_COI","All","S3","COI",1,1
"21","Lambda","clr_other","cycle_num",0.0764219100952788,0.0988085518364146,0.111181482128667,0.110952345177822,0.122737668288705,0.146246356681539,"All_S3_COI","All","S3","COI",1,1
"22","Lambda","clr_Calanus","cycle_num",-0.102885307530503,-0.044441532070795,-0.0165184041353965,-0.016763833851681,0.0106752423155128,0.0679106647221923,"A1_A3_S1_COI","A1","S1","COI",0.2,2
"23","Lambda","clr_Ctenocalanus","cycle_num",-0.00832564019734549,0.0467742801898412,0.0726145040096434,0.0726571844019492,0.0981510045444501,0.152239940299612,"A1_A3_S1_COI","A1","S1","COI",0.2,2
"24","Lambda","clr_Ditrichocorycaeus","cycle_num",-0.102347348765726,-0.0655571945477611,-0.0477721105017486,-0.0479414896892629,-0.0300908024611559,0.00478561773349266,"A1_A3_S1_COI","A1","S1","COI",0.2,2
"25","Lambda","clr_Euphausia","cycle_num",0.0210299653053386,0.0577280246519605,0.0756084320879105,0.0756218623439557,0.0936038556571791,0.130267849276759,"A1_A3_S1_COI","A1","S1","COI",0.2,2
"26","Lambda","clr_Rosacea","cycle_num",-0.189666228117294,-0.143310363248144,-0.122011764488613,-0.123149410986876,-0.101701221212678,-0.0617648198482465,"A1_A3_S1_COI","A1","S1","COI",0.2,2
"27","Lambda","clr_other","cycle_num",-0.0721019327685871,0.00326200894377293,0.0392610901958282,0.0395756877819143,0.0758927728652596,0.151520537106855,"A1_A3_S1_COI","A1","S1","COI",0.2,2
"28","Lambda","clr_Calanus","cycle_num",-0.0482158515023189,-0.0129022461374251,0.00385097532155912,0.0034682399792948,0.020332321217436,0.0517177833150545,"A1_A3_S2_COI","A1","S2","COI",0.5,2
"29","Lambda","clr_Euphausia","cycle_num",-0.016934422907632,0.0171778916209593,0.0333287124605743,0.033444525969626,0.0498170262594672,0.0835766670487475,"A1_A3_S2_COI","A1","S2","COI",0.5,2
"30","Lambda","clr_Pleuromamma","cycle_num",-0.0898182286870205,-0.0551483515515079,-0.038181143734583,-0.0380934414440902,-0.0209925706443371,0.0125064157995273,"A1_A3_S2_COI","A1","S2","COI",0.5,2
"31","Lambda","clr_Rosacea","cycle_num",-0.085518360107693,-0.053721564187774,-0.038767940954012,-0.0391830066626945,-0.0241023501353942,0.00436937150249037,"A1_A3_S2_COI","A1","S2","COI",0.5,2
"32","Lambda","clr_other","cycle_num",-0.0301333483029253,0.0168037269323681,0.0400704415155948,0.0403636821578638,0.0632261949400405,0.112788230208095,"A1_A3_S2_COI","A1","S2","COI",0.5,2
