"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"35575e116e325762dc8dd4b84658d0f40e9893bc","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
"856adbbd6780d096aa923a18481a9884b70edf25","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
"752ee5d1eb330fc163da83ca9ce2b4b43c516f38","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
"3c32d58513825484c47705b7d424175ab81ca09e","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","",""
"22cf259c5c1e40823b8c7c662c68799ce9da7c3c","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","",""
"72262f3ea777186cfb5037a556e68c064452885a","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae","Oikopleura",""
"78b80eb0dd32488880fe91cf1b505f4b8caa158e","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida","Salpidae","",""
"af1203ec12d6af68537b36fdfea79e3a53934f11","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","",""
"7bf0be7119bb91de892908c5345dccba4f9f3c2c","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae","Oikopleura",""
"e8c867b771f1595f664b51c1e7f55e562918988d","Animalia","Ctenophora","Subphylum","Tentaculata","Subclass","Superorder","Lobata","Bolinopsidae","Mnemiopsis","Mnemiopsis leidyi"
"ba8a3abb314f0832bdd308d5785636a9abb6baf8","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae","Oikopleura",""
"dd7072b661c5b53f5177a820ab2c1ca431c1df7b","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida","Salpidae","Pegea",""
"fbfd432177da075bc43563eef1f4e10fefa4ebdf","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida","Salpidae","Pegea","Pegea bicaudata"
"1d078a9daefb4967a95b5f1d77c61355caa6223d","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae","Oikopleura",""
