"","Family","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","20C_Pooled.A1.A3.1","20C_Pooled.A1.A3.2","20C_Pooled.A1.A3.3","24C_Pooled.A1.A3.1","24C_Pooled.A1.A3.2","24C_Pooled.A1.A3.3","28C_Pooled.A1.A3.1","28C_Pooled.A1.A3.2","20C_Pooled.B3.B5.1","20C_Pooled.B3.B5.2","20C_Pooled.B3.B5.3","24C_Pooled.B3.B5.1","24C_Pooled.B3.B5.2","24C_Pooled.B3.B5.3","28C_Pooled.B3.B5.1","28C_Pooled.B3.B5.2","28C_Pooled.B3.B5.3","20C_Pooled.C5.C7.1","20C_Pooled.C5.C7.2","20C_Pooled.C5.C7.3","24C_Pooled.C5.C7.1","24C_Pooled.C5.C7.2","24C_Pooled.C5.C7.3","28C_Pooled.C5.C7.1","28C_Pooled.C5.C7.2","28C_Pooled.C5.C7.3","C1.T7.H9_S3.2","C1.T8.H10_S3.2","C2.T8.H18_S3.1","C2.T8.H18_S3.2","C2.T9.H19_S3.2","C3.T6.H25_S3.1","C3.T7.H26_S3.1","C3.T7.H26_S3.2","CT1.T1.H28_S3.1","CT1.T1.H28_S3.2","CT1.T2.H29_S3.1","CT1.T2.H29_S3.2","CT1.T3.H30_S3.2","CT1.T4.H31_S3.1","CT1.T4.H31_S3.2","CT1.T5.H32_S3.1","CT1.T5.H32_S3.2","CT1.T7.H34_S3.1","CT1.T7.H34_S3.2","CT1.T8.H35_S3.1","CT1.T8.H35_S3.2","CT2.T1.H36_S3.1","CT2.T1.H36_S3.2","CT2.T4.H39_S3.1","CT2.T4.H39_S3.2","CT2.T8.H43_S3.1","CT2.T8.H43_S3.2","C1.T7.H9_S3.3","C1.T8.H10_S3.3","C2.T8.H18_S3.3","C2.T9.H19_S3.3","C3.T7.H26_S3.3","CT1.T1.H28_S3.3","CT1.T4.H31_S3.3","CT1.T5.H32_S3.3","CT1.T7.H34_S3.3","CT2.T1.H36_S3.3","CT2.T4.H39_S3.3","CT2.T8.H43_S3.3"
"1","Calanidae",54905,47602,41872,26164,31671,31844,20107,24239,20325,14335,12469,18544,16396,9491,7329,3172,4912,8113,5182,2959,7380,5784,5020,2507,2802,4816,40096,89975,38688,70532,40731,47604,32353,37209,25258,3555,820,1,40,3513,0,0,110,705,1716,88,277,30909,0,181,0,12,5860,21753,348,3116,857,22297,10972,93517,5051,35369,912,0,420,4254,0,3934,0,0,10226,3165,39108,18017
"2","Clausocalanidae",2787,2431,2014,1506,1555,1756,1008,1027,1143,1927,1581,2654,2253,1415,758,363,610,9799,5967,1450,9977,7430,7444,3481,3722,6718,331,897,336,697,372,513,329,282,238,0,0,0,10,0,0,0,0,110,188,189,656,21,0,34,27,76,0,3,0,64,0,0,0,0,0,4,0,0,48,8,0,373,0,0,0,0,0,0
"3","Eucalanidae",454,312,281,89,84,92,19,16,33,156,119,210,115,68,37,0,0,335,237,188,187,157,132,6,19,27,206,456,217,125,108,180,12,19,6,73,225,5,34,2236,0,0,5,11,33,0,20,0,0,24,34,153,6,75,12,56,53,472,21,1246,31,92,9,0,339,1430,0,98,0,0,0,4,23,3
"4","Euphausiidae",11996,7825,6157,3485,5519,4433,2254,3070,5225,9565,9477,14714,15430,8883,5799,2997,4123,1438,1134,529,1357,1125,736,252,367,455,5047,9295,5673,6090,4182,6180,2601,2947,1360,8970,25067,304,6064,14459,287,0,0,323,819,0,91,0,386,1918,158,545,813,3444,1436,20233,19,1213,389,7413,1609,14565,3535,5972,29364,0,0,4554,66,0,1210,22,1276,6188
"5","Metridinidae",59721,52311,47020,30296,36763,35862,23015,27240,23665,91655,74168,107448,110094,58060,51093,23258,39576,85453,41802,13988,87846,70970,65527,37019,32992,70653,16436,36308,15816,24246,15033,20134,10079,12027,6918,16012,13148,0,182,314,3803,0,0,3130,6082,47328,85922,14,0,49,3127,5703,0,0,666,7702,2731,75147,0,0,0,17,4851,2064,1199,246,0,14082,0,674,0,15411,175,43
"6","Oithonidae",481,364,221,133,136,104,14,34,62,735,545,1067,907,658,301,88,207,430,377,80,408,258,289,72,80,141,88,130,76,72,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Paracalanidae",2667,2377,2005,1065,1322,1274,618,592,1013,4145,3084,5114,4774,2939,2016,855,1026,2713,2115,754,2338,1877,1524,680,844,1185,652,1157,597,745,460,600,193,272,153,0,0,0,0,35,0,0,0,0,0,0,30,0,0,4,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,17,0,51,0,0,0,0,0,0
"8","Rhincalanidae",730,633,546,413,500,516,318,346,321,383,293,581,634,379,314,125,226,172,99,32,228,190,186,156,87,220,552,1111,544,1062,587,690,433,485,304,56,35,0,155,1214,0,0,0,0,14,0,0,0,0,0,5,29,54,308,0,34,0,1148,1147,11677,428,2910,13,0,1158,1729,0,55,0,0,80,197,4047,1154
"9","Salpidae",199,160,155,71,102,98,0,28,86,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,189,270,169,127,0,160,26,15,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,486,0,28,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","other",17337,14048,10559,4726,5437,6629,2443,2841,6085,1515,1306,1980,1331,864,358,22,161,55952,24585,6004,64387,65050,40661,33327,18108,39938,6305,11476,7101,7369,5051,6825,1308,1847,733,3626,303,556,15903,8313,447,18827,92409,17595,31417,3928,12498,4602,40574,96735,37082,45148,539,1940,0,294,0,595,938,16055,32,131,1031,0,57315,5473,2002,108686,28160,7427,247,0,3542,0
"11","unidentified Calanoida",2779,2297,1888,1180,1536,1304,742,763,980,2476,2187,3033,2612,1539,1059,393,600,2696,1727,708,2541,2125,1870,1003,1118,1888,1129,2356,1320,1734,950,1242,703,905,430,10403,313,97,1434,5044,91,0,6,322,694,143,379,0,31,109,2641,4590,100,605,143,2174,147,3501,743,10581,346,2217,2351,45,6751,4169,0,1518,0,619,132,415,2014,514
