"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","seq_8_Metridia pacifica.b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",NA,NA,NA,NA,0.551890531830559,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"2","seq_8_Metridia pacifica.b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",NA,NA,NA,NA,0.516338477913784,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"3","seq_4_Euphausiidae.2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",NA,NA,NA,NA,0.376263970196913,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"4","seq_4_Euphausiidae.2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",NA,NA,NA,NA,0.309171750594561,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"5","seq_6_Calanus helgolandicus.50ae18a387ee0c27a601b2de29233b88891665e2",NA,NA,NA,NA,0.122531279081791,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"6","seq_6_Calanus helgolandicus.50ae18a387ee0c27a601b2de29233b88891665e2",NA,NA,NA,NA,0.0970729111229377,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"7","seq_10_.other",NA,NA,NA,NA,0.0119601557922311,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"8","seq_10_.other",NA,NA,NA,NA,0.00798296966471527,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"9","seq_3_Eucalanus californicus.247f09ccc8ae0ecc2da039900610e5494db93abe",NA,NA,NA,NA,0.00251611346637714,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"10","seq_1_Rhincalanus.1784e869dc2724619a035c17ab1fff64ceb125f7",NA,NA,NA,NA,0.00193016923448109,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"11","seq_1_Rhincalanus.1784e869dc2724619a035c17ab1fff64ceb125f7",NA,NA,NA,NA,0.00138371474188398,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"12","seq_3_Eucalanus californicus.247f09ccc8ae0ecc2da039900610e5494db93abe",NA,NA,NA,NA,0.000957956359765833,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"13","seq_2_Clausocalanus furcatus.1a08bb6d37d7924e5dab4c0408f64896eacb991a",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"14","seq_2_Clausocalanus furcatus.1a08bb6d37d7924e5dab4c0408f64896eacb991a",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"15","seq_5_Oithona similis.388725f240f778bbad66a1a652b752a88fd3956a",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"16","seq_5_Oithona similis.388725f240f778bbad66a1a652b752a88fd3956a",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"17","seq_7_Paracalanus parvus.961cd5ce154310c7fd54468560aca8d35041c8c7",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"18","seq_7_Paracalanus parvus.961cd5ce154310c7fd54468560aca8d35041c8c7",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"19","seq_9_Pegea.dd7072b661c5b53f5177a820ab2c1ca431c1df7b",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"20","seq_9_Pegea.dd7072b661c5b53f5177a820ab2c1ca431c1df7b",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"21","seq_8_Metridia pacifica.b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",1,0.0220855160121642,0.140989826944403,0.303306158703016,0.349911970761517,0.526955254859056,0.869290661309748,0,"1-2mm","predicted C1.T7.H9_S3"
"22","seq_4_Euphausiidae.2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",1,0.0156462131755952,0.0757883474613004,0.145098844054172,0.178545552315666,0.247734455114503,0.522652034512289,0,"1-2mm","predicted C1.T7.H9_S3"
"23","seq_10_.other",1,0.00214007868753129,0.0193720851162644,0.0556445326910204,0.10853895072418,0.137726717351246,0.527964694468445,0,"1-2mm","predicted C1.T7.H9_S3"
"24","seq_6_Calanus helgolandicus.50ae18a387ee0c27a601b2de29233b88891665e2",1,0.00498737008519841,0.0282836603983849,0.0604140014484212,0.091253830083049,0.123452982904078,0.35154178694839,0,"1-2mm","predicted C1.T7.H9_S3"
"25","seq_9_Pegea.dd7072b661c5b53f5177a820ab2c1ca431c1df7b",1,0.00290010946976361,0.0201835986426556,0.048006515961796,0.0820328587202204,0.105779968556811,0.365461349310607,0,"1-2mm","predicted C1.T7.H9_S3"
"26","seq_1_Rhincalanus.1784e869dc2724619a035c17ab1fff64ceb125f7",1,0.00326986284298642,0.018274105368082,0.0379467589712695,0.0574580426713168,0.0764872011678894,0.220163143137493,0,"1-2mm","predicted C1.T7.H9_S3"
"27","seq_3_Eucalanus californicus.247f09ccc8ae0ecc2da039900610e5494db93abe",1,0.0056619104152575,0.0233006003581419,0.0422838058339456,0.0539485708298214,0.0707126093867396,0.170501650053366,0,"1-2mm","predicted C1.T7.H9_S3"
"28","seq_5_Oithona similis.388725f240f778bbad66a1a652b752a88fd3956a",1,0.00555099671466271,0.0187549901957987,0.032016138423504,0.0387835525990828,0.0518211913990446,0.110322991816079,0,"1-2mm","predicted C1.T7.H9_S3"
"29","seq_2_Clausocalanus furcatus.1a08bb6d37d7924e5dab4c0408f64896eacb991a",1,0.00157924284541302,0.00703428332667103,0.0142847101379418,0.0213172585762801,0.026989400988024,0.0851784788661627,0,"1-2mm","predicted C1.T7.H9_S3"
"30","seq_7_Paracalanus parvus.961cd5ce154310c7fd54468560aca8d35041c8c7",1,0.00203139449973456,0.00748782272591836,0.0136856764079179,0.0182094127188664,0.0235209891445807,0.0624506820703964,0,"1-2mm","predicted C1.T7.H9_S3"
"31","seq_4_Euphausiidae.2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",NA,NA,NA,NA,0.743155798904928,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"32","seq_4_Euphausiidae.2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",NA,NA,NA,NA,0.637691113994251,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
