"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Calanoida",NA,NA,NA,NA,1,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"2","Calanoida",NA,NA,NA,NA,0.997893997893998,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"3","Calanoida",NA,NA,NA,NA,0.996432612312812,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"4","Siphonophorae",NA,NA,NA,NA,0.00210600210600211,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"5","Euphausiacea",NA,NA,NA,NA,0.0020765391014975,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"6","Siphonophorae",NA,NA,NA,NA,0.00149084858569052,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"7","Euphausiacea",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"8","Euphausiacea",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"9","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"10","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"11","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"12","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"13","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"14","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"15","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"16","other",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"17","other",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"18","other",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"19","Calanoida",1,0.114386821370437,0.257434184144069,0.361623788216325,0.372370180780175,0.475993459917077,0.685391224627638,0,"0.5-1mm","predicted C1.T7.H9_S2"
"20","Siphonophorae",1,0.0877964766043665,0.208425026917405,0.302782292143785,0.322597327613894,0.419248280410136,0.658540921081825,0,"0.5-1mm","predicted C1.T7.H9_S2"
"21","Cyclopoida",1,0.0320350382643076,0.0835905941339632,0.134973310504398,0.159694741068308,0.210669276746401,0.422030841874824,0,"0.5-1mm","predicted C1.T7.H9_S2"
"22","other",1,0.00503796898132839,0.0249966403303542,0.0561205364042099,0.0907882643710882,0.118048042335653,0.383273762449879,0,"0.5-1mm","predicted C1.T7.H9_S2"
"23","Salpida",1,0.000930984839223282,0.00647562813751868,0.0165025939789517,0.0347586852209855,0.0408994802153269,0.176730328316719,0,"0.5-1mm","predicted C1.T7.H9_S2"
"24","Euphausiacea",1,0.00200973117420457,0.00715141426967099,0.0135141364823168,0.0197908009455494,0.0243561519806698,0.0754621800380725,0,"0.5-1mm","predicted C1.T7.H9_S2"
"25","Calanoida",NA,NA,NA,NA,0.962023921071488,NA,NA,30,"0.5-1mm","C1.T8.H10_S2.2"
"26","Calanoida",NA,NA,NA,NA,0.904160084254871,NA,NA,30,"0.5-1mm","C1.T8.H10_S2.1"
"27","Euphausiacea",NA,NA,NA,NA,0.0837282780410742,NA,NA,30,"0.5-1mm","C1.T8.H10_S2.1"
"28","Euphausiacea",NA,NA,NA,NA,0.0318028991897702,NA,NA,30,"0.5-1mm","C1.T8.H10_S2.2"
