"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Calanoida",NA,NA,NA,NA,0.712284810867783,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"2","Calanoida",NA,NA,NA,NA,0.646433632498819,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"3","Euphausiacea",NA,NA,NA,NA,0.278302629507164,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"4","Euphausiacea",NA,NA,NA,NA,0.210094858882773,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"5","Siphonophorae",NA,NA,NA,NA,0.0768005621267127,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"6","Siphonophorae",NA,NA,NA,NA,0.0752637379940167,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"7","other",NA,NA,NA,NA,0.000819768122730999,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"8","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"9","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"10","Salpida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"11","Salpida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"12","other",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"13","Siphonophorae",1,0.200196076105868,0.558904212147574,0.744375654026523,0.694841462204765,0.868581787679988,0.971924464259212,0,"1-2mm","predicted C1.T7.H9_S3"
"14","Euphausiacea",1,0.00849581595395377,0.0469176202205124,0.100506774896652,0.141668220373088,0.194313258329803,0.500992995525719,0,"1-2mm","predicted C1.T7.H9_S3"
"15","Calanoida",1,0.00310819990046507,0.0153065311384334,0.0319219637008531,0.048018770781184,0.0620766844018203,0.193943734465879,0,"1-2mm","predicted C1.T7.H9_S3"
"16","Cyclopoida",1,0.00254257642361162,0.0150189336505021,0.032307533289584,0.0467129997895012,0.0625318371688601,0.172117728924776,0,"1-2mm","predicted C1.T7.H9_S3"
"17","other",1,0.0003822583312792,0.00385320010970654,0.0114803904153453,0.0353663007617952,0.0354790546289736,0.22651011245753,0,"1-2mm","predicted C1.T7.H9_S3"
"18","Salpida",1,0.00131004366422043,0.00838621506290912,0.0191603419774287,0.0333922460896664,0.0422832316926737,0.145622520440204,0,"1-2mm","predicted C1.T7.H9_S3"
"19","Euphausiacea",NA,NA,NA,NA,0.739017448335602,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"20","Euphausiacea",NA,NA,NA,NA,0.628072461226228,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"21","Calanoida",NA,NA,NA,NA,0.364335646814162,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"22","Calanoida",NA,NA,NA,NA,0.260982551664398,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"23","Siphonophorae",NA,NA,NA,NA,0.00724111147302749,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"24","other",NA,NA,NA,NA,0.000350780486582646,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"25","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"26","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"27","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"28","Salpida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"29","Salpida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"30","other",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"31","Siphonophorae",1,0.017850672348059,0.21212035439593,0.49325469538072,0.496806311867931,0.784739637301459,0.978670637056822,0,"1-2mm","predicted C1.T8.H10_S3"
"32","Euphausiacea",1,0.0131162337348,0.150403459153327,0.378793623970742,0.411042702973342,0.651402359934253,0.936735027169381,0,"1-2mm","predicted C1.T8.H10_S3"
"33","Cyclopoida",1,0.000645352360235691,0.00592971234859386,0.0167689951199413,0.0340941249113272,0.0409100022427238,0.176339706784809,0,"1-2mm","predicted C1.T8.H10_S3"
"34","Calanoida",1,0.000354534888809696,0.00314967105392616,0.00897173841275738,0.0237593191472339,0.02490938452122,0.14437936103532,0,"1-2mm","predicted C1.T8.H10_S3"
"35","Salpida",1,0.000160748188040397,0.00183230092650394,0.0058361300820682,0.017639961096512,0.0170552860962443,0.113896035700846,0,"1-2mm","predicted C1.T8.H10_S3"
"36","other",1,1.17474362156941e-05,0.000327587865152183,0.00167024065681315,0.0166575800036538,0.00810147267885368,0.147073467498082,0,"1-2mm","predicted C1.T8.H10_S3"
"37","Siphonophorae",NA,NA,NA,NA,0.661699269582739,NA,NA,30,"1-2mm","C2.T8.H18_S3.2"
