"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","seq_4_Euphausia pacifica.c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5",NA,NA,NA,NA,0.40186305921443,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"2","seq_6_other.other",NA,NA,NA,NA,0.298593805624777,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"3","seq_2_Ctenocalanus vanus.7df189e993f359afe2e5bcaebc5218a2a5b5b64e",NA,NA,NA,NA,0.236353387919782,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"4","seq_1_Calanus pacificus.0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0",NA,NA,NA,NA,0.0564257742969028,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"5","seq_3_Pleuromamma borealis.914275e6686877e25cfdb5df6c8a42744c44f9b0",NA,NA,NA,NA,0.00474664768007595,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"6","seq_5_Rosacea cymbiformis.c3db1f4fb87f52065f108aea13bad38e2d74d8fa",NA,NA,NA,NA,0.00201732526403228,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"7","seq_4_Euphausia pacifica.c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5",1,0.0617959850701027,0.191547787314453,0.309937196468617,0.334545481883913,0.455444488998458,0.734184181282649,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"8","seq_5_Rosacea cymbiformis.c3db1f4fb87f52065f108aea13bad38e2d74d8fa",1,0.0677242925554675,0.193034350780899,0.294882938187773,0.313954535370714,0.417136288802039,0.663769768995327,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"9","seq_1_Calanus pacificus.0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0",1,0.0140840847125903,0.0729456144349581,0.155050039653426,0.211216356502536,0.294501157410091,0.695679201780739,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"10","seq_2_Ctenocalanus vanus.7df189e993f359afe2e5bcaebc5218a2a5b5b64e",1,0.00460598518460332,0.0228465183090041,0.0473686534445305,0.0691627378046821,0.0905223743113522,0.263213349345391,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"11","seq_6_other.other",1,0.00279105771679341,0.0140200065330401,0.0302606773600465,0.0493896875780496,0.0631452795071522,0.209997076848248,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"12","seq_3_Pleuromamma borealis.914275e6686877e25cfdb5df6c8a42744c44f9b0",1,0.00153943360512764,0.006995967711649,0.0142078999688095,0.0217312008601048,0.0274847069214088,0.0867170826462161,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"13","seq_4_Euphausia pacifica.c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5",NA,NA,NA,NA,0.829610162067455,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"14","seq_4_Euphausia pacifica.c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5",NA,NA,NA,NA,0.546621801115735,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"15","seq_6_other.other",NA,NA,NA,NA,0.215000442752147,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"16","seq_2_Ctenocalanus vanus.7df189e993f359afe2e5bcaebc5218a2a5b5b64e",NA,NA,NA,NA,0.190914725936421,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"17","seq_2_Ctenocalanus vanus.7df189e993f359afe2e5bcaebc5218a2a5b5b64e",NA,NA,NA,NA,0.136662286465177,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"18","seq_1_Calanus pacificus.0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0",NA,NA,NA,NA,0.0460462233241831,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"19","seq_1_Calanus pacificus.0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0",NA,NA,NA,NA,0.020586946999562,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"20","seq_6_other.other",NA,NA,NA,NA,0.0131406044678055,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"21","seq_3_Pleuromamma borealis.914275e6686877e25cfdb5df6c8a42744c44f9b0",NA,NA,NA,NA,0.00141680687151333,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"22","seq_3_Pleuromamma borealis.914275e6686877e25cfdb5df6c8a42744c44f9b0",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"23","seq_5_Rosacea cymbiformis.c3db1f4fb87f52065f108aea13bad38e2d74d8fa",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"24","seq_5_Rosacea cymbiformis.c3db1f4fb87f52065f108aea13bad38e2d74d8fa",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"25","seq_4_Euphausia pacifica.c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5",1,0.0943235766342751,0.594951820644985,0.836916154158698,0.737004624884552,0.943252484338989,0.993501139894129,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"26","seq_1_Calanus pacificus.0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0",1,0.00069505746862236,0.0150820362417834,0.0651239186518984,0.179701338307956,0.246788052795999,0.87373956481923,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"27","seq_5_Rosacea cymbiformis.c3db1f4fb87f52065f108aea13bad38e2d74d8fa",1,0.000395060130557023,0.00443695419152429,0.0137514449382709,0.0406268661280186,0.0420946629176635,0.253011514276921,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"28","seq_2_Ctenocalanus vanus.7df189e993f359afe2e5bcaebc5218a2a5b5b64e",1,7.90075286723011e-05,0.00159912184510575,0.0067206515370237,0.0350350449490575,0.0270514452417486,0.27373774152359,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"29","seq_6_other.other",1,7.55531060444118e-06,0.000170902403989359,0.000814042249953392,0.00678223642381841,0.00366302995117718,0.0525016985664007,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"30","seq_3_Pleuromamma borealis.914275e6686877e25cfdb5df6c8a42744c44f9b0",1,2.22991655559913e-06,4.01280597949076e-05,0.000150073766045072,0.000849889306598105,0.000581052582862222,0.00632664131845513,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"31","seq_4_Euphausia pacifica.c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5",NA,NA,NA,NA,0.847260909935005,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"32","seq_4_Euphausia pacifica.c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5",NA,NA,NA,NA,0.802415875754961,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"33","seq_4_Euphausia pacifica.c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5",NA,NA,NA,NA,0.765184539378088,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"34","seq_2_Ctenocalanus vanus.7df189e993f359afe2e5bcaebc5218a2a5b5b64e",NA,NA,NA,NA,0.147540983606557,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"35","seq_2_Ctenocalanus vanus.7df189e993f359afe2e5bcaebc5218a2a5b5b64e",NA,NA,NA,NA,0.129322871258355,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
