"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Calanoida",NA,NA,NA,NA,1,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"2","Calanoida",NA,NA,NA,NA,0.997893997893998,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"3","Calanoida",NA,NA,NA,NA,0.995769870302627,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"4","Siphonophorae",NA,NA,NA,NA,0.00210600210600211,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"5","Euphausiacea",NA,NA,NA,NA,0.00207515796474892,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"6","Siphonophorae",NA,NA,NA,NA,0.00148985700033256,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"7","other",NA,NA,NA,NA,0.00066511473229132,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"8","Collodaria",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"9","Collodaria",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"10","Collodaria",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"11","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"12","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"13","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"14","Euphausiacea",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"15","Euphausiacea",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"16","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"17","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"18","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"19","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"20","other",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"21","other",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"22","Calanoida",1,0.0322110856600893,0.213622500147131,0.43765669070642,0.455212944737181,0.686737734424649,0.940684736693141,0,"0.5-1mm","predicted C1.T7.H9_S2"
"23","Siphonophorae",1,0.0223750559958815,0.141919346117651,0.286894018306644,0.324425767591756,0.47508719826669,0.798748925938081,0,"0.5-1mm","predicted C1.T7.H9_S2"
"24","other",1,0.00334510139555594,0.0293612168440644,0.0751688455016423,0.123216325504955,0.17021153656239,0.507461926526806,0,"0.5-1mm","predicted C1.T7.H9_S2"
"25","Cyclopoida",1,0.00206184203320408,0.0123424510357273,0.0309150035288054,0.0614273545674986,0.0738967810841935,0.307496644120397,0,"0.5-1mm","predicted C1.T7.H9_S2"
"26","Salpida",1,0.000115914918082543,0.00167012741074591,0.00613245945954574,0.0263905178836991,0.021702086501209,0.199011184648299,0,"0.5-1mm","predicted C1.T7.H9_S2"
"27","Euphausiacea",1,0.00031107568365494,0.00157822213890086,0.00349531220362338,0.0063263569059296,0.00725476918235324,0.0294381648611043,0,"0.5-1mm","predicted C1.T7.H9_S2"
"28","Collodaria",1,5.007940709057e-05,0.000357599949494376,0.0010243932190845,0.00300073280898115,0.00282805882721728,0.0174914225526329,0,"0.5-1mm","predicted C1.T7.H9_S2"
