"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Calanoida",NA,NA,NA,NA,0.711984641678178,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"2","Calanoida",NA,NA,NA,NA,0.646433632498819,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"3","Euphausiacea",NA,NA,NA,NA,0.278302629507164,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"4","Euphausiacea",NA,NA,NA,NA,0.210006321260506,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"5","Siphonophorae",NA,NA,NA,NA,0.0767681970360312,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"6","Siphonophorae",NA,NA,NA,NA,0.0752637379940167,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"7","other",NA,NA,NA,NA,0.00124084002528504,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"8","Collodaria",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"9","Collodaria",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"10","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"11","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"12","Salpida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"13","Salpida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"14","other",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"15","Siphonophorae",1,0.361649451187105,0.834557051506087,0.933050447461916,0.870354716876359,0.973486944675432,0.995646396043374,0,"1-2mm","predicted C1.T7.H9_S3"
"16","Euphausiacea",1,0.00135384404049837,0.0130274010776754,0.0406391607349013,0.0942889874602694,0.1154493887043,0.522689384228058,0,"1-2mm","predicted C1.T7.H9_S3"
"17","Calanoida",1,0.000742082330324461,0.00381896127690884,0.00831172190074582,0.0146051384612037,0.0171787509948141,0.068230593681911,0,"1-2mm","predicted C1.T7.H9_S3"
