"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridia",NA,NA,NA,NA,0.484769364664926,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"2","Metridia",NA,NA,NA,NA,0.431759471871412,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"3","Calanus",NA,NA,NA,NA,0.303742384682332,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"4","Calanus",NA,NA,NA,NA,0.237083811710677,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"5","Pleuromamma",NA,NA,NA,NA,0.165361183637946,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"6","Pleuromamma",NA,NA,NA,NA,0.145594144661309,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"7","other",NA,NA,NA,NA,0.069316877152698,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"8","Rosacea",NA,NA,NA,NA,0.0632175660160735,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"9","Euphausia",NA,NA,NA,NA,0.0530281285878301,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"10","Rosacea",NA,NA,NA,NA,0.0230635335073977,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"11","Euphausia",NA,NA,NA,NA,0.0182767624020888,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"12","other",NA,NA,NA,NA,0.00478677110530896,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"13","Ctenocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"14","Ctenocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"15","Metridia",1,0.523575662206085,0.752443465612941,0.831787999425417,0.807020321678719,0.887323391490214,0.952478557032523,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"16","Rosacea",1,0.018644174474183,0.0561256756305533,0.096638591174571,0.122698149702999,0.161259986049479,0.375775396543808,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"17","Pleuromamma",1,0.00853430051533964,0.023756609414566,0.0395949815474357,0.0506265002435397,0.0649502221295357,0.161076469286959,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"18","Calanus",1,0.00107592347524227,0.00456460985700877,0.00922047373180435,0.0148299398941976,0.0180096158795783,0.0634104103834948,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"19","Euphausia",1,0.000292170189417269,0.0011571281580132,0.00232843527319767,0.00384499507218033,0.00456382080655261,0.0168831035876662,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"20","Ctenocalanus",1,2.29738311579326e-05,0.000117689780372612,0.000268293329006869,0.000537963278874258,0.000584646755704952,0.0027003145143441,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"21","other",1,3.00646893426631e-05,0.000127534296702241,0.000259893212363182,0.000442130129489464,0.000520719394616542,0.00193092095563816,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"22","Calanus",NA,NA,NA,NA,0.536061300260684,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"23","Rosacea",NA,NA,NA,NA,0.361481949601074,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"24","Euphausia",NA,NA,NA,NA,0.068409827000553,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"25","Pleuromamma",NA,NA,NA,NA,0.0181688916976064,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"26","other",NA,NA,NA,NA,0.014693103720673,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"27","Metridia",NA,NA,NA,NA,0.00118492771940912,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"28","Ctenocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"29","Rosacea",1,0.487447925859947,0.881536688351356,0.95543025305552,0.903126831447564,0.984331055206485,0.998038043107937,0,"0.2-0.5mm","predicted C1.T8.H10_S2"
"30","Metridia",1,0.000930489028631946,0.00952217312623015,0.0292074234057203,0.0736052813510857,0.0846672516367128,0.436084066714925,0,"0.2-0.5mm","predicted C1.T8.H10_S2"
"31","Pleuromamma",1,5.11163673697242e-05,0.000723125089264099,0.00250403293302822,0.0112223826044208,0.00862862826973975,0.0813648411636549,0,"0.2-0.5mm","predicted C1.T8.H10_S2"
