"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","other",NA,NA,NA,NA,0.322385715748865,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"2","unidentified Calanoida",NA,NA,NA,NA,0.232102010856577,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"3","Euphausia",NA,NA,NA,NA,0.231231436277355,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"4","Ctenocalanus",NA,NA,NA,NA,0.135997405346352,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"5","Calanus",NA,NA,NA,NA,0.0324673107780547,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"6","Ditrichocorycaeus",NA,NA,NA,NA,0.0251783824382916,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"7","Eucalanus",NA,NA,NA,NA,0.0132975999453757,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"8","Pleuromamma",NA,NA,NA,NA,0.00273121436618757,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"9","Rosacea",NA,NA,NA,NA,0.00116076610562972,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"10","Sagitta",NA,NA,NA,NA,0.00107541565668635,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"11","Metridia",NA,NA,NA,NA,0.000716943771124236,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"12","Euchaeta",NA,NA,NA,NA,0.000699873681335564,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"13","Muggiaea",NA,NA,NA,NA,0.000614523232392202,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"14","Acrocalanus",NA,NA,NA,NA,0.000341401795773446,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"15","Pyroteuthis",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"16","Eucalanus",1,0.00404602222956054,0.0996774149517927,0.354684129327571,0.419662977766158,0.735070146305443,0.980779417906581,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"17","Ditrichocorycaeus",1,0.00138489136927422,0.0289214061205499,0.0853154079932515,0.126131571260634,0.180172692619732,0.465728431530362,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"18","Rosacea",1,0.00158004562018157,0.0269538557525546,0.0682530114394231,0.0959990525058511,0.135244430682491,0.351007699918083,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"19","Euphausia",1,0.00109673868879021,0.0224514651284054,0.0594346962496462,0.0829777876668567,0.116370674005773,0.302831574179551,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"20","unidentified Calanoida",1,0.000305543835186334,0.00992512657176212,0.0376195759149615,0.0783681519606147,0.100783571619318,0.396228662870832,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"21","Calanus",1,0.00178687808124484,0.0121752296626848,0.0275019117900305,0.0452247972969511,0.0579678303325448,0.187161436867495,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"22","Muggiaea",1,0.00108881293244104,0.014531063249956,0.0327202590666244,0.0420252485408498,0.0578169900873976,0.141360587250206,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"23","other",1,0.000166953944522055,0.00350934303084172,0.0111735011465684,0.0273033316724867,0.0306430534459994,0.152431122513717,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"24","Sagitta",1,0.000177579392126115,0.00247885775349192,0.00728971612317036,0.0200513817102766,0.0200842464087731,0.12236319662091,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"25","Ctenocalanus",1,8.92695596609867e-05,0.00265374397465322,0.00871923027703421,0.0176138387443788,0.0217719321822391,0.0891235540058182,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"26","Euchaeta",1,7.46303591027356e-05,0.00160241803988877,0.00518257488136458,0.0128223379560539,0.013767405672263,0.0716916276719507,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"27","Pyroteuthis",1,3.60613149955125e-05,0.00132777975356168,0.00490369760421707,0.0120957929665016,0.0139806522395736,0.0672534894988655,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"28","Metridia",1,0.000218683025182756,0.00245741714183208,0.0056934137273705,0.00925469241780188,0.0119198061867803,0.0401318726181887,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"29","Pleuromamma",1,3.5781407988305e-05,0.000849294066801406,0.0026565775486275,0.00577423029562465,0.00673360921256002,0.030803389136193,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"30","Acrocalanus",1,2.61851720081187e-05,0.000420802764961128,0.00142899695576431,0.00469480723896052,0.0043035061799008,0.0291994030989532,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"31","Euphausia",NA,NA,NA,NA,0.462176671547096,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
