"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Calanoida",NA,NA,NA,NA,0.560154996415281,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"2","Euphausiacea",NA,NA,NA,NA,0.231231436277355,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"3","other",NA,NA,NA,NA,0.205353180157728,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"4","Siphonophorae",NA,NA,NA,NA,0.00218497149295005,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"5","Aphragmophora",NA,NA,NA,NA,0.00107541565668635,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"6","Euphausiacea",1,0.0978162231434379,0.296500138762075,0.451753987401537,0.45675640096693,0.612495600294134,0.840869186403927,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"7","other",1,0.021131442836372,0.0890584596853685,0.163887160607989,0.201399798001005,0.279152020906928,0.56684000933455,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"8","Aphragmophora",1,0.00600741646454575,0.0387265072509739,0.0931197837347234,0.153108022753482,0.207609169098142,0.634855884002789,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"9","Siphonophorae",1,0.0148789133721366,0.0456310784187907,0.0770806645547151,0.0948913750850754,0.123934200472469,0.284049087629981,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"10","Calanoida",1,0.00606574447901058,0.0297334284989867,0.0634125399267391,0.0938444031935087,0.123383190308996,0.361843700365123,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"11","Calanoida",NA,NA,NA,NA,0.526842362127867,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"12","Euphausiacea",NA,NA,NA,NA,0.462176671547096,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"13","Calanoida",NA,NA,NA,NA,0.446025547686809,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"14","Euphausiacea",NA,NA,NA,NA,0.408564431795619,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"15","other",NA,NA,NA,NA,0.144681977629228,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"16","other",NA,NA,NA,NA,0.0109809663250366,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"17","Aphragmophora",NA,NA,NA,NA,0.000463300019855715,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"18","Siphonophorae",NA,NA,NA,NA,0.00026474286848898,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"19","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"20","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"21","Euphausiacea",1,0.437562535358279,0.744502277583577,0.84452431431811,0.807302119242846,0.91077054945334,0.971773987976938,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"22","Calanoida",1,0.00575844764017852,0.0259078039963837,0.0549227447730667,0.0855061680193298,0.10984369068684,0.350961973645076,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"23","other",1,0.00445779472228653,0.0175995669075236,0.0346431915928135,0.050554790286782,0.0653400108058668,0.187882214397768,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"24","Aphragmophora",1,0.00144867363686055,0.00901987522893666,0.0224280707815633,0.047089613299044,0.0543008551934587,0.255917214396574,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"25","Siphonophorae",1,0.000998694820646984,0.00349107035654664,0.00645581700840756,0.00954730915199778,0.0118513265707243,0.0377490945403844,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"26","Euphausiacea",NA,NA,NA,NA,0.703309407967629,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"27","Euphausiacea",NA,NA,NA,NA,0.632293080054274,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"28","Euphausiacea",NA,NA,NA,NA,0.620161733532229,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"29","Calanoida",NA,NA,NA,NA,0.321425767449164,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"30","Calanoida",NA,NA,NA,NA,0.319538670284939,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"31","Calanoida",NA,NA,NA,NA,0.273038200298666,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"32","other",NA,NA,NA,NA,0.0554290649289472,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"33","other",NA,NA,NA,NA,0.0400271370420624,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"34","other",NA,NA,NA,NA,0.0216291728888675,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"35","Siphonophorae",NA,NA,NA,NA,0.00814111261872456,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"36","Siphonophorae",NA,NA,NA,NA,0.00235534270236319,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"37","Siphonophorae",NA,NA,NA,NA,0.00202321884483838,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"38","Aphragmophora",NA,NA,NA,NA,0.000628091387296852,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"39","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"40","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"41","Euphausiacea",1,0.514419296779196,0.760296552703848,0.844511071568177,0.817326633883076,0.902328352066329,0.963797384043152,0,"0.2-0.5mm","predicted C2.T8.H18_S1"
"42","Siphonophorae",1,0.0153181339371376,0.0441404205894367,0.075078267700615,0.09280078913638,0.120689320614989,0.278806892636744,0,"0.2-0.5mm","predicted C2.T8.H18_S1"
"43","Calanoida",1,0.00251175165066513,0.0108081622695173,0.0220911998337362,0.0368148182349972,0.0447494374876849,0.160081024563268,0,"0.2-0.5mm","predicted C2.T8.H18_S1"
"44","other",1,0.00277770839715728,0.010377280972745,0.020025951057436,0.0293215038806147,0.0369727917369322,0.112721890757225,0,"0.2-0.5mm","predicted C2.T8.H18_S1"
"45","Aphragmophora",1,0.000827852219986133,0.00478094437758,0.0112389994325579,0.0237362548649319,0.0262376551955334,0.12218479042115,0,"0.2-0.5mm","predicted C2.T8.H18_S1"
"46","Calanoida",NA,NA,NA,NA,0.79776247848537,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.3"
"47","Calanoida",NA,NA,NA,NA,0.707516339869281,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.1"
"48","Calanoida",NA,NA,NA,NA,0.676340956340956,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.2"
"49","other",NA,NA,NA,NA,0.317338877338877,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.2"
"50","other",NA,NA,NA,NA,0.282679738562091,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.1"
"51","other",NA,NA,NA,NA,0.20223752151463,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.3"
"52","Euphausiacea",NA,NA,NA,NA,0.00980392156862745,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.1"
"53","Euphausiacea",NA,NA,NA,NA,0.00598752598752599,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.2"
"54","Siphonophorae",NA,NA,NA,NA,0.000332640332640333,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.2"
"55","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.1"
"56","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.2"
"57","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.3"
"58","Euphausiacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.3"
"59","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.1"
"60","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.3"
"61","other",1,0.291112098216477,0.522176299213615,0.641803127905279,0.62605885868517,0.74497767111665,0.878963573953796,0,"0.2-0.5mm","predicted C3.T6.H25_S1"
"62","Calanoida",1,0.0641830812266179,0.159760452120797,0.243871021007568,0.269595476443282,0.355345286617529,0.609607204115057,0,"0.2-0.5mm","predicted C3.T6.H25_S1"
"63","Siphonophorae",1,0.00437931190151735,0.0152136501838859,0.0280696402770851,0.0400398766889165,0.0507299556432657,0.147859619258314,0,"0.2-0.5mm","predicted C3.T6.H25_S1"
"64","Euphausiacea",1,0.00323848542517485,0.0128805975590312,0.0254208686289759,0.0388578344940849,0.0485967428369349,0.155840804507,0,"0.2-0.5mm","predicted C3.T6.H25_S1"
"65","Aphragmophora",1,3.88736317469874e-05,0.000728075377010764,0.00347630949748911,0.0254479536885465,0.0157203923700675,0.222794942648319,0,"0.2-0.5mm","predicted C3.T6.H25_S1"
"66","Calanoida",NA,NA,NA,NA,0.902884348710363,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.2"
"67","Calanoida",NA,NA,NA,NA,0.879036391594054,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.3"
"68","Calanoida",NA,NA,NA,NA,0.820128479657388,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.1"
"69","other",NA,NA,NA,NA,0.174226202063461,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.1"
"70","other",NA,NA,NA,NA,0.109943618657099,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.3"
"71","other",NA,NA,NA,NA,0.0961911805491356,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.2"
"72","Euphausiacea",NA,NA,NA,NA,0.00717580727831881,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.3"
"73","Euphausiacea",NA,NA,NA,NA,0.00564531827915126,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.1"
"74","Aphragmophora",NA,NA,NA,NA,0.00384418247052793,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.3"
"75","Euphausiacea",NA,NA,NA,NA,0.000924470740501063,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.2"
"76","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.1"
"77","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.2"
"78","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.1"
"79","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.2"
"80","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.3"
"81","other",1,0.11243303932482,0.270407198501366,0.385947643029508,0.39582855300764,0.511130493487596,0.732677747291572,0,"0.2-0.5mm","predicted C3.T7.H26_S1"
"82","Calanoida",1,0.0901115404115964,0.253506089570621,0.376119428798065,0.390766098767685,0.516480137959219,0.754619281381015,0,"0.2-0.5mm","predicted C3.T7.H26_S1"
"83","Aphragmophora",1,0.00619733867669735,0.041237215959568,0.103070998717773,0.166995730457804,0.233554356997963,0.653707689123153,0,"0.2-0.5mm","predicted C3.T7.H26_S1"
"84","Euphausiacea",1,0.00398442510819557,0.0142505958418886,0.0268946435550964,0.0381488180989884,0.0483203679173648,0.145384355701332,0,"0.2-0.5mm","predicted C3.T7.H26_S1"
"85","Siphonophorae",1,0.000456551055285617,0.00209014152600106,0.00449748687568091,0.00826079966788255,0.00942679186411017,0.0402698344976629,0,"0.2-0.5mm","predicted C3.T7.H26_S1"
"86","Calanoida",NA,NA,NA,NA,0.733404710920771,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"87","Calanoida",NA,NA,NA,NA,0.703204047217538,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"88","Calanoida",NA,NA,NA,NA,0.646175839885633,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"89","other",NA,NA,NA,NA,0.284488920657613,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"90","other",NA,NA,NA,NA,0.266595289079229,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"91","other",NA,NA,NA,NA,0.253513209668353,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"92","Aphragmophora",NA,NA,NA,NA,0.0528949249463903,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"93","Aphragmophora",NA,NA,NA,NA,0.0189713322091062,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"94","Euphausiacea",NA,NA,NA,NA,0.0137717818999438,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"95","Euphausiacea",NA,NA,NA,NA,0.0135811293781272,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"96","Siphonophorae",NA,NA,NA,NA,0.010539629005059,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"97","Siphonophorae",NA,NA,NA,NA,0.00285918513223731,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"98","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"99","Euphausiacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"100","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"101","Aphragmophora",1,0.10486131753529,0.427661934069912,0.647652617363692,0.610097472214793,0.815696087075206,0.962005705466374,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"102","other",1,0.0125455227624214,0.0713414671610972,0.146444959681142,0.184441679666059,0.262870834765632,0.545570868711014,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"103","Siphonophorae",1,0.0106748978475236,0.0482326152463741,0.0919370377484352,0.117396424628465,0.160278531848402,0.36756587195233,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"104","Calanoida",1,0.003700656624195,0.0230023063100988,0.0496642541420066,0.0761047619628276,0.102220727989722,0.294870881372409,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"105","Euphausiacea",1,0.00103819699856982,0.00431852256837156,0.00824600052165228,0.011959661527855,0.0150960788456044,0.045151404064752,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"106","Calanoida",NA,NA,NA,NA,0.99164288626172,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.3"
"107","Calanoida",NA,NA,NA,NA,0.954904591532499,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.1"
