"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","other",NA,NA,NA,NA,0.322385715748865,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"2","unidentified Calanoida",NA,NA,NA,NA,0.232102010856577,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"3","Euphausia",NA,NA,NA,NA,0.231231436277355,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"4","Ctenocalanus",NA,NA,NA,NA,0.135997405346352,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"5","Calanus",NA,NA,NA,NA,0.0324673107780547,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"6","Ditrichocorycaeus",NA,NA,NA,NA,0.0251783824382916,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"7","Eucalanus",NA,NA,NA,NA,0.0132975999453757,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"8","Pleuromamma",NA,NA,NA,NA,0.00273121436618757,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"9","Rosacea",NA,NA,NA,NA,0.00116076610562972,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"10","Sagitta",NA,NA,NA,NA,0.00107541565668635,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"11","Metridia",NA,NA,NA,NA,0.000716943771124236,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"12","Euchaeta",NA,NA,NA,NA,0.000699873681335564,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"13","Muggiaea",NA,NA,NA,NA,0.000614523232392202,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"14","Acrocalanus",NA,NA,NA,NA,0.000341401795773446,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"15","Pyroteuthis",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"16","Eucalanus",1,0.00433188555631448,0.0996928017183278,0.377247004407624,0.428128352050947,0.746532651573225,0.981844767969571,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"17","Ditrichocorycaeus",1,0.00134052011218313,0.0287201897589654,0.0836300762281918,0.125178449756474,0.181163939321124,0.47143681425285,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"18","Rosacea",1,0.00141779438598015,0.0259395541575595,0.0661481351827493,0.0944387896478368,0.133221300948272,0.348315743290948,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"19","Euphausia",1,0.00114803074093317,0.0213595961072924,0.0574777420237072,0.0799586772742405,0.112240403506978,0.291693266229117,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"20","unidentified Calanoida",1,0.000323173422858128,0.0098673739232836,0.035512002679767,0.075342122253112,0.0963170633071053,0.383263607264868,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"21","Calanus",1,0.00170174300034759,0.0120417855828329,0.0276288643623952,0.0453529593688757,0.0575824672305173,0.196214773452588,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"22","Muggiaea",1,0.00111918162735527,0.0139671136533681,0.031875253557614,0.0416140359643682,0.058361158957676,0.141939456883998,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"23","other",1,0.000171545051876072,0.00334622525252502,0.0110600896547456,0.0278819294799443,0.0302524389540578,0.165192422112642,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"24","Sagitta",1,0.000208385103424912,0.00242868023279128,0.00719304517225385,0.0201990685460697,0.0199426739981274,0.123583400005284,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"25","Ctenocalanus",1,9.52936421978012e-05,0.0025580636300035,0.00856897564233748,0.0176615868176042,0.022298327115958,0.088749457091504,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"26","Euchaeta",1,8.00712920458147e-05,0.00149986534081157,0.0049304193320684,0.0127248293536999,0.0135713037542728,0.0717064066521856,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"27","Pyroteuthis",1,3.37358732264695e-05,0.00124399681680198,0.00487901434534837,0.0120469373181347,0.0137604258293047,0.0657426992113829,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"28","Metridia",1,0.000203581820656546,0.00243707970985024,0.00565996721681253,0.00920783706554446,0.0117802442284384,0.0382795385935879,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"29","Pleuromamma",1,4.00738189895569e-05,0.000792800638553275,0.00254682351289033,0.00566632093039866,0.00665456549308576,0.0297847155452321,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"30","Acrocalanus",1,2.53207622059645e-05,0.000414785481638867,0.00139456433037386,0.00459810417274946,0.00408586701187305,0.0291794475738381,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"31","Euphausia",NA,NA,NA,NA,0.462176671547096,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
