"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Calanidae",NA,NA,NA,NA,0.558375634517767,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"2","other",NA,NA,NA,NA,0.416243654822335,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"3","Eucalanidae",NA,NA,NA,NA,0.0253807106598985,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"4","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"5","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"6","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"7","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"8","Metridinidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"9","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"10","Clausocalanidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"11","Clausocalanidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.3"
"12","Eucalanidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"13","Eucalanidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.3"
"14","Euphausiidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"15","Euphausiidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.3"
"16","Oithonidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"17","Oithonidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.3"
"18","Paracalanidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"19","Paracalanidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.3"
"20","Metridinidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"21","Metridinidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.3"
"22","Rhincalanidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"23","Rhincalanidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.3"
"24","Calanidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"25","Calanidae",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.3"
"26","other",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"27","other",NA,NA,NA,NA,NA,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.3"
"28","other",1,0.104944168737733,0.507389215941667,0.747474068939794,0.679038739527558,0.897181908076609,0.986270795604052,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"29","Eucalanidae",1,0.00917593445653091,0.0627585156304447,0.141563738257369,0.189745339202051,0.275740325541674,0.621162732659158,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"30","Calanidae",1,0.00109207519635205,0.0144776162748557,0.0448232242231184,0.0969268933430095,0.120591394778295,0.506967021793754,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"31","Euphausiidae",1,4.94892541797187e-05,0.000710166195385133,0.00245544587362407,0.00875046383964903,0.00765362420718783,0.0587309181788111,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"32","Paracalanidae",1,7.89572474139472e-06,0.000199327252429468,0.00106120008777828,0.00819359940641098,0.00499275413440052,0.0635632983018834,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"33","Rhincalanidae",1,5.80284842143571e-07,3.60169948563286e-05,0.00029077222362425,0.00696202183762938,0.0019760542132813,0.0620943153708862,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"34","Oithonidae",1,1.85794092737087e-06,8.88697204112668e-05,0.000541919280750029,0.0061429094116616,0.00294339227965177,0.0500788172483744,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"35","Clausocalanidae",1,6.47616481411934e-06,0.000142895651790155,0.0006288145173548,0.00310477939970825,0.00238204411114378,0.022475989817209,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"36","Metridinidae",1,1.20245154408233e-06,3.05058054867354e-05,0.000146362308580869,0.0011352540323226,0.000626705063379859,0.00751480815630962,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"37","Metridinidae",NA,NA,NA,NA,0.73147931759757,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.1"
"38","Metridinidae",NA,NA,NA,NA,0.681227598566308,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.2"
"39","Metridinidae",NA,NA,NA,NA,0.591283170977494,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.3"
"40","Calanidae",NA,NA,NA,NA,0.192204301075269,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.2"
"41","Euphausiidae",NA,NA,NA,NA,0.191215989250924,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.3"
"42","Calanidae",NA,NA,NA,NA,0.165183070204904,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.3"
"43","Calanidae",NA,NA,NA,NA,0.164758121056322,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.1"
"44","Euphausiidae",NA,NA,NA,NA,0.0917338709677419,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.2"
"45","Euphausiidae",NA,NA,NA,NA,0.0754849263846693,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.1"
"46","other",NA,NA,NA,NA,0.0280903594222372,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.3"
"47","Clausocalanidae",NA,NA,NA,NA,0.025706940874036,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.1"
"48","Clausocalanidae",NA,NA,NA,NA,0.0210573476702509,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.2"
"49","Clausocalanidae",NA,NA,NA,NA,0.0156617400067182,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.3"
"50","other",NA,NA,NA,NA,0.00851254480286738,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.2"
"51","Eucalanidae",NA,NA,NA,NA,0.00411488075243534,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.3"
"52","Eucalanidae",NA,NA,NA,NA,0.00369623655913979,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.2"
"53","Eucalanidae",NA,NA,NA,NA,0.0025706940874036,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.1"
"54","Rhincalanidae",NA,NA,NA,NA,0.00230937185085657,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.3"
"55","Paracalanidae",NA,NA,NA,NA,0.00214141753443063,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.3"
"56","Rhincalanidae",NA,NA,NA,NA,0.00156810035842294,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.2"
"57","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.1"
"58","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.2"
"59","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.3"
"60","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.1"
