"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.551890531830559,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"2","Metridinidae",NA,NA,NA,NA,0.516338477913784,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"3","Euphausiidae",NA,NA,NA,NA,0.376263970196913,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"4","Euphausiidae",NA,NA,NA,NA,0.309171750594561,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"5","Calanidae",NA,NA,NA,NA,0.122531279081791,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"6","Calanidae",NA,NA,NA,NA,0.0970729111229377,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"7","other",NA,NA,NA,NA,0.0119601557922311,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"8","other",NA,NA,NA,NA,0.00798296966471527,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"9","Eucalanidae",NA,NA,NA,NA,0.00251611346637714,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"10","Rhincalanidae",NA,NA,NA,NA,0.00193016923448109,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"11","Rhincalanidae",NA,NA,NA,NA,0.00138371474188398,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"12","Eucalanidae",NA,NA,NA,NA,0.000957956359765833,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"13","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"14","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"15","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"16","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"17","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"18","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"19","other",1,0.00209312942316577,0.055828963373186,0.193516921585881,0.268244934215866,0.433583579616989,0.834331715985336,0,"0.2-0.5mm","predicted C1.T7.H9_S3"
"20","Calanidae",1,0.00243236510018682,0.0646785447110171,0.181463622872955,0.229039464910839,0.352587631946788,0.698472985496531,0,"0.2-0.5mm","predicted C1.T7.H9_S3"
"21","Eucalanidae",1,0.00206306013081315,0.0407709971337294,0.116421777019375,0.187105249074464,0.27022518424746,0.730744581745457,0,"0.2-0.5mm","predicted C1.T7.H9_S3"
"22","Metridinidae",1,0.00235939484412189,0.0317726985697899,0.0860838190104248,0.141283785283784,0.193689160067037,0.585703402198577,0,"0.2-0.5mm","predicted C1.T7.H9_S3"
"23","Euphausiidae",1,0.000533372249225439,0.017819292470656,0.0701611563278656,0.13905816394443,0.194880481878315,0.64588444794853,0,"0.2-0.5mm","predicted C1.T7.H9_S3"
"24","Rhincalanidae",1,0.000103960195164167,0.00245575848055622,0.00720349694520655,0.0134657553965055,0.0165365449309118,0.0644890701380976,0,"0.2-0.5mm","predicted C1.T7.H9_S3"
"25","Oithonidae",1,1.91258227967401e-05,0.000574455415850493,0.00227902439621209,0.0101696913476078,0.00824534540749691,0.069909780841165,0,"0.2-0.5mm","predicted C1.T7.H9_S3"
