"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.95732895848223,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"2","Metridinidae",NA,NA,NA,NA,0.884577151752724,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"3","Metridinidae",NA,NA,NA,NA,0.862307692307692,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"4","Clausocalanidae",NA,NA,NA,NA,0.0590769230769231,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"5","Calanidae",NA,NA,NA,NA,0.0586153846153846,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"6","Calanidae",NA,NA,NA,NA,0.0491963163718889,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"7","Clausocalanidae",NA,NA,NA,NA,0.0441885327381511,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"8","Clausocalanidae",NA,NA,NA,NA,0.0193944513027094,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"9","Calanidae",NA,NA,NA,NA,0.0190370996036645,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"10","Paracalanidae",NA,NA,NA,NA,0.0186153846153846,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"11","Paracalanidae",NA,NA,NA,NA,0.0116348131615307,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"12","Euphausiidae",NA,NA,NA,NA,0.00463266875480616,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"13","other",NA,NA,NA,NA,0.00265706372576602,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"14","Paracalanidae",NA,NA,NA,NA,0.00248521863426678,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"15","Oithonidae",NA,NA,NA,NA,0.00238823139586498,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"16","Oithonidae",NA,NA,NA,NA,0.00138461538461538,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"17","Oithonidae",NA,NA,NA,NA,0.000877135988564746,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"18","Rhincalanidae",NA,NA,NA,NA,0.000730946657137288,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"19","Rhincalanidae",NA,NA,NA,NA,0.000662702952779289,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"20","Euphausiidae",NA,NA,NA,NA,0.000146189331427458,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"21","Eucalanidae",NA,NA,NA,NA,6.25191464886121e-05,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"22","Eucalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"23","Eucalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"24","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"25","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"26","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"27","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"28","other",1,0.00186380712181712,0.0498944498620428,0.191655693737553,0.296862789322395,0.498011572839865,0.935211913523111,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"29","Metridinidae",1,0.00719262845785931,0.0957486403172523,0.187198320204724,0.206022510571546,0.295426159127032,0.520499050751006,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"30","Calanidae",1,0.00794397801487259,0.072572839300608,0.125630441023601,0.136726459263595,0.187478674837093,0.336104891371098,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"31","Rhincalanidae",1,0.000917938500742735,0.0235896147924044,0.0736700612120926,0.127067149112027,0.17724566536551,0.541996480333907,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"32","Oithonidae",1,0.00675834869910942,0.0395918110856025,0.0664357352769006,0.0779437762789933,0.103336789756233,0.214095987078056,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"33","Eucalanidae",1,0.00270122797759865,0.0172405387071686,0.0358153158523608,0.051113489229353,0.0672865791237798,0.188049510836097,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
