"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","other",NA,NA,NA,NA,0.50107634902411,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"2","other",NA,NA,NA,NA,0.489556135770235,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"3","Calanus",NA,NA,NA,NA,0.303742384682332,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"4","Calanus",NA,NA,NA,NA,0.237083811710677,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"5","Pleuromamma",NA,NA,NA,NA,0.165361183637946,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"6","Pleuromamma",NA,NA,NA,NA,0.145594144661309,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"7","Rosacea",NA,NA,NA,NA,0.0632175660160735,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"8","Euphausia",NA,NA,NA,NA,0.0530281285878301,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"9","Rosacea",NA,NA,NA,NA,0.0230635335073977,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"10","Euphausia",NA,NA,NA,NA,0.0182767624020888,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"11","Pleuromamma",1,0.0655779976729355,0.249362733593305,0.403774301945194,0.416445094920987,0.570444527876234,0.829331550910249,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"12","Calanus",1,0.0202192913499198,0.101590588223054,0.204840192632276,0.250225099610128,0.359375603120838,0.704033444243696,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"13","other",1,0.00839618524997017,0.0548894678202869,0.123716779603055,0.180557804339515,0.252291019592404,0.647895092371679,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"14","Rosacea",1,0.0124109350230119,0.0547416406801885,0.104884936027775,0.136887309024613,0.186499411244225,0.450862005565985,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"15","Euphausia",1,0.000893235804079425,0.00482850282610024,0.00981100903834467,0.0158846921047565,0.0196012622596219,0.067354793244831,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"16","Calanus",NA,NA,NA,NA,0.536061300260684,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"17","Rosacea",NA,NA,NA,NA,0.361481949601074,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"18","Euphausia",NA,NA,NA,NA,0.068409827000553,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"19","Pleuromamma",NA,NA,NA,NA,0.0181688916976064,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"20","other",NA,NA,NA,NA,0.0158780314400822,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.2"
"21","Rosacea",1,0.011845573930998,0.148091018788047,0.374323299448926,0.415422274479166,0.664199195609938,0.953550731329244,0,"0.2-0.5mm","predicted C1.T8.H10_S2"
"22","Calanus",1,0.00799580542631127,0.102733336218133,0.294061590175042,0.364529460062604,0.599880014303764,0.944625705546709,0,"0.2-0.5mm","predicted C1.T8.H10_S2"
"23","Pleuromamma",1,0.000450436765577019,0.015200739449699,0.0737775590336028,0.189475199392222,0.266706534217349,0.88003665958442,0,"0.2-0.5mm","predicted C1.T8.H10_S2"
"24","other",1,3.40827692501313e-06,0.000260809949492673,0.0018283633811221,0.0273754520003482,0.0114022323526859,0.284332224196417,0,"0.2-0.5mm","predicted C1.T8.H10_S2"
"25","Euphausia",1,1.47680578985251e-05,0.000203411684184587,0.00069978526033538,0.00319761406565979,0.002300119156402,0.0218264440183888,0,"0.2-0.5mm","predicted C1.T8.H10_S2"
"26","Euphausia",NA,NA,NA,NA,0.497589716122121,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S2.1"
