"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","other",NA,NA,NA,NA,0.887587822014052,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"2","other",NA,NA,NA,NA,0.808754041283263,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"3","other",NA,NA,NA,NA,0.747458952306489,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"4","Pleuromamma",NA,NA,NA,NA,0.120406567630962,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"5","Genus",NA,NA,NA,NA,0.114151681000782,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"6","Genus",NA,NA,NA,NA,0.0915195225068391,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"7","Pleuromamma",NA,NA,NA,NA,0.0646605322059189,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"8","Pleuromamma",NA,NA,NA,NA,0.0585480093676815,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"9","Genus",NA,NA,NA,NA,0.053864168618267,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"10","Eucalanus",NA,NA,NA,NA,0.0345685152947028,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"11","Eucalanus",NA,NA,NA,NA,0.016419077404222,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"12","Ctenocalanus",NA,NA,NA,NA,0.00156372165754496,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"13","Ctenocalanus",NA,NA,NA,NA,0.000497388709276299,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"14","Ctenocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"15","Eucalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"16","Pleuromamma",1,0.145021010020828,0.407287150710033,0.572778689818099,0.556664379549092,0.715225084191867,0.902519657037448,0,"0.2-0.5mm","predicted CT1.T1.H28_S2"
"17","other",1,0.0230490315876309,0.0985617075208912,0.181230498069626,0.220867202495862,0.303066638581137,0.623986302118855,0,"0.2-0.5mm","predicted CT1.T1.H28_S2"
"18","Genus",1,0.0161129920744393,0.0652568857275603,0.123946863954988,0.162782568879085,0.21821379835939,0.528723836090164,0,"0.2-0.5mm","predicted CT1.T1.H28_S2"
"19","Ctenocalanus",1,0.00139867415004423,0.00928425145605838,0.0227175710721132,0.0457668725259554,0.0526443701282938,0.233352314271453,0,"0.2-0.5mm","predicted CT1.T1.H28_S2"
"20","Eucalanus",1,0.000407420148374937,0.00266607378738516,0.00634993053073164,0.0139189765500065,0.0147113445739702,0.0717970321364432,0,"0.2-0.5mm","predicted CT1.T1.H28_S2"
"21","Eucalanus",NA,NA,NA,NA,0.601217656012177,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.3"
"22","Eucalanus",NA,NA,NA,NA,0.465256797583082,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.1"
"23","other",NA,NA,NA,NA,0.447456936092141,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.2"
"24","other",NA,NA,NA,NA,0.3482952093224,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.1"
"25","Eucalanus",NA,NA,NA,NA,0.341657323412496,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.2"
"26","other",NA,NA,NA,NA,0.26179604261796,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.3"
"27","Genus",NA,NA,NA,NA,0.161757211293446,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.2"
"28","Genus",NA,NA,NA,NA,0.11178247734139,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.1"
"29","Genus",NA,NA,NA,NA,0.100456621004566,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.3"
"30","Pleuromamma",NA,NA,NA,NA,0.0707811825636599,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.1"
"31","Pleuromamma",NA,NA,NA,NA,0.042197533380899,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.2"
"32","Pleuromamma",NA,NA,NA,NA,0.0365296803652968,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.3"
"33","Ctenocalanus",NA,NA,NA,NA,0.00693099582101723,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.2"
"34","Ctenocalanus",NA,NA,NA,NA,0.00388433318946914,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.1"
"35","Ctenocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S2.3"
"36","Pleuromamma",1,0.0353723275716568,0.366402842957283,0.692903875929519,0.617615034533029,0.887859335891384,0.990470089883563,0,"0.2-0.5mm","predicted CT1.T2.H29_S2"
"37","Genus",1,0.00108405148139029,0.0186094441602266,0.0725735631649302,0.170504530410704,0.227176480898378,0.823945205319677,0,"0.2-0.5mm","predicted CT1.T2.H29_S2"
"38","other",1,0.000504714774884802,0.0107835924633381,0.0412153556276453,0.118905404545313,0.140060037716297,0.696442462098599,0,"0.2-0.5mm","predicted CT1.T2.H29_S2"
"39","Ctenocalanus",1,2.98894785589316e-05,0.00128244509541598,0.00748813022691266,0.0571992690042125,0.0392992944648587,0.5056844207553,0,"0.2-0.5mm","predicted CT1.T2.H29_S2"
"40","Eucalanus",1,1.25574203274444e-05,0.000590000193120429,0.00340789066559762,0.0357757615067412,0.0179239708990289,0.33634729021486,0,"0.2-0.5mm","predicted CT1.T2.H29_S2"
"41","Genus",NA,NA,NA,NA,0.618023553507424,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S2.1"
"42","other",NA,NA,NA,NA,0.321556579621096,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S2.1"
"43","Eucalanus",NA,NA,NA,NA,0.0368663594470046,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S2.1"
"44","Ctenocalanus",NA,NA,NA,NA,0.0133128520225294,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S2.1"
"45","Pleuromamma",NA,NA,NA,NA,0.0102406554019457,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S2.1"
"46","Genus",1,0.000480742909520729,0.0486404038158798,0.306847360824813,0.408125837325347,0.779237337109937,0.995752404271755,0,"0.2-0.5mm","predicted CT1.T3.H30_S2"
"47","Pleuromamma",1,0.000458346042125459,0.0336930889471385,0.211457807507059,0.348879097353035,0.659079362201872,0.987620312804027,0,"0.2-0.5mm","predicted CT1.T3.H30_S2"
"48","Ctenocalanus",1,2.0075502209881e-06,0.000723565430801629,0.0103406832595298,0.139150406281902,0.118614867817508,0.953719957434098,0,"0.2-0.5mm","predicted CT1.T3.H30_S2"
"49","other",1,1.0347478160607e-05,0.00123633855528096,0.00935749940536783,0.0841621205988322,0.0600480899889628,0.724174961748577,0,"0.2-0.5mm","predicted CT1.T3.H30_S2"
"50","Eucalanus",1,4.58150787736547e-08,1.30209047763979e-05,0.00016206841220455,0.0196825384408829,0.0020866332783749,0.201692467903859,0,"0.2-0.5mm","predicted CT1.T3.H30_S2"
"51","Eucalanus",NA,NA,NA,NA,0.459366175086288,NA,NA,30,"0.2-0.5mm","CT1.T4.H31_S2.2"
"52","other",NA,NA,NA,NA,0.275807969877628,NA,NA,30,"0.2-0.5mm","CT1.T4.H31_S2.2"
"53","Genus",NA,NA,NA,NA,0.241606526513963,NA,NA,30,"0.2-0.5mm","CT1.T4.H31_S2.2"
"54","Pleuromamma",NA,NA,NA,NA,0.0222780043928459,NA,NA,30,"0.2-0.5mm","CT1.T4.H31_S2.2"
"55","Ctenocalanus",NA,NA,NA,NA,0.00094132412927518,NA,NA,30,"0.2-0.5mm","CT1.T4.H31_S2.2"
"56","Genus",1,9.56532231121101e-05,0.0441051677300119,0.445123736982369,0.478018945745619,0.922128491716846,0.999635213232683,0,"0.2-0.5mm","predicted CT1.T4.H31_S2"
"57","Pleuromamma",1,2.79899156689268e-05,0.00894079781629553,0.118850051558493,0.317590691929238,0.645568850357063,0.996664486656488,0,"0.2-0.5mm","predicted CT1.T4.H31_S2"
"58","Ctenocalanus",1,9.55989481724138e-09,2.79861571556731e-05,0.00091621343800763,0.0977542067051334,0.0268901211872628,0.955957124746046,0,"0.2-0.5mm","predicted CT1.T4.H31_S2"
"59","other",1,2.015853762299e-07,0.000104099103755447,0.00162411250152166,0.065942526543575,0.0217717222999776,0.756037907744369,0,"0.2-0.5mm","predicted CT1.T4.H31_S2"
"60","Eucalanus",1,1.78186198390256e-09,2.95154344897083e-06,9.11722650441571e-05,0.0406936290764349,0.00256136477037909,0.658858060351183,0,"0.2-0.5mm","predicted CT1.T4.H31_S2"
"61","Eucalanus",NA,NA,NA,NA,0.895223152022315,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.3"
"62","Eucalanus",NA,NA,NA,NA,0.873550945698597,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.2"
"63","Eucalanus",NA,NA,NA,NA,0.66518239424559,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.1"
"64","other",NA,NA,NA,NA,0.326254495632814,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.1"
"65","other",NA,NA,NA,NA,0.110433190970104,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.2"
"66","other",NA,NA,NA,NA,0.100941422594142,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.3"
"67","Genus",NA,NA,NA,NA,0.0156345332519829,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.2"
"68","Genus",NA,NA,NA,NA,0.00856311012159616,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.1"
"69","Genus",NA,NA,NA,NA,0.00383542538354254,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.3"
"70","Pleuromamma",NA,NA,NA,NA,0.000381330079316657,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.2"
"71","Ctenocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.1"
"72","Ctenocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.2"
"73","Ctenocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.3"
"74","Pleuromamma",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.1"
"75","Pleuromamma",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T5.H32_S2.3"
"76","Genus",1,4.76876086983718e-06,0.0202371612088857,0.412724628668002,0.474787629653305,0.956816777654197,0.999950667888652,0,"0.2-0.5mm","predicted CT1.T5.H32_S2"
"77","Eucalanus",1,2.76568497341723e-09,3.4404797641997e-05,0.00223120736307663,0.170167591941251,0.119289228407303,0.997552799009776,0,"0.2-0.5mm","predicted CT1.T5.H32_S2"
"78","Pleuromamma",1,1.24900211412346e-07,0.000214135065129409,0.0065610861980122,0.165528028239841,0.147888983764038,0.990525531321752,0,"0.2-0.5mm","predicted CT1.T5.H32_S2"
"79","other",1,4.43941436747646e-08,0.000109674396789568,0.00394969759377999,0.134038577215979,0.0789850762374893,0.975195349712622,0,"0.2-0.5mm","predicted CT1.T5.H32_S2"
"80","Ctenocalanus",1,2.92610078256846e-11,5.27409778496295e-07,3.68714223460945e-05,0.0554781729496233,0.0022897765618245,0.874882222785518,0,"0.2-0.5mm","predicted CT1.T5.H32_S2"
