"","size_fraction","sample_id","object_annotation_category","dryweight_C_mg_sum_taxa","dryweight_C_ug_sum_taxa","dryweight_C_mg_sum_sample","dryweight_C_ug_sum_sample","sample_conc","sample_tot_vol","acq_sub_part","potemp2","density2","oxy_sat","Sal2","NO2","nitracline_depth","NO3","fluorescence","hypoxia_depth","chl_max_depth","PO4","SIL","NH4","beam_depth","chl_max","mixedlayerdepths","intergrated_chl","day_night_0_1","distance_from_shore","PAR_1_depth_adj","cycle","Sample_ID_short","PC1","Longitude","Latitude","log10_dryweight_C_ug_m2_taxa","dryweight_C_mg_m2_taxa","log10_dryweight_C_ug_m2_sample","dryweight_C_mg_m2_sample","biomass_prop_taxa","biomass_taxa_clr"
"1","0.2-1","c1_t7_h9","Calanoida",0.487925114569028,487.925114569028,1.32029619897402,1320.29619897402,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,6.19016194032592,35.2015477159818,7.18561138357018,95.2532842841366,0.369557312175998,5.9220933808013
"2","0.2-1","c1_t8_h10","Calanoida",0.803963429782734,803.963429782734,1.17164289379886,1171.64289379886,228.497902097902,286,320,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,6.68955378279962,183.703957068789,7.06616222558321,267.717943240955,0.686184701872781,6.77917403082236
"3","0.2-1","c2_t8_h18","Calanoida",1.42112185340754,1421.12185340754,7.23078092321983,7230.78092321983,78.859800397848,303,118.801369863014,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,7.25920187629081,112.069385700738,8.88610232083034,570.217940325683,0.196537810853038,7.00892232116971
"4","0.2-1","c2_t9_h19","Calanoida",0.833524917028822,833.524917028822,23.3809394960342,23380.9394960342,344.84126984127,252,400,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,"2","C2-T9-H19",2.811058313,-123.226,36.46062,6.72566359619971,287.433790832558,10.059676417967,8062.71286589434,0.0356497615149383,6.51619632824094
"5","0.2-1","c3_t6_h25","Calanoida",0.776676831916442,776.676831916442,14.5830480119697,14583.0480119697,60.6105502532474,290.23,100,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,6.65502434611042,47.0748101514045,9.58761503803275,883.886564375008,0.0532588819071945,6.82775527825947
"6","0.2-1","c3_t7_h26","Calanoida",0.873371591015894,873.371591015894,15.547917710817,15547.917710817,76.8879371877231,280.2,100,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,6.7723611136343,67.1517400315718,9.65168199936852,1195.44732034919,0.0561728976998812,7.17483525320448
"7","0.2-1","ct1_t1_h28","Calanoida",2.64188447727547,2641.88447727547,10.2792043739746,10279.2043739746,1.56001323688501,279,77.9928617780662,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,7.87924775864387,4.12137475487078,9.23787814048621,16.0356948880467,0.257012545053031,6.16251302918647
"8","0.2-1","ct1_t2_h29","Calanoida",1.07315626374132,1073.15626374132,7.33523761293628,7335.23761293627,2.46766726142579,278,123.371024734982,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,"T1","CT1-T2-H29",-3.394650309,-127.5728,35.0498,6.97835936459145,2.64819257842848,8.90044508445407,18.1009257122219,0.146301499742657,5.86252592921763
"9","0.2-1","ct1_t3_h30","Calanoida",0.57417289474265,574.17289474265,1.2882417765664,1288.2417765664,57.3291769680032,279.09,80,18.16806875,23.51549375,70.3971875,32.75895,0.0085,94.339,-0.073,0.00883125,258.4555,78.41433333,0.3345,1.0805,0.007,73.452,1.302366667,47.52148287,24.685,1,450.7865706,86,"T1","CT1-T3-H30",-3.727302931,-126.6352,35.02288,6.35293056131788,32.916859492932,7.16103360377356,73.85384078635,0.445702743993456,6.23583193672646
"10","0.2-1","ct1_t4_h31","Calanoida",1.15726169395486,1157.26169395486,4.77447611313122,4774.47611313122,34.952063859701,327.6294556,63.2809773123909,18.11386875,23.52309375,78.3553125,32.751575,0.01,81.135,-0.0975,0.04135,276.3005,58.56533333,0.331,0.9545,-0.0155,50.625,1.3489,43.3434391,39.938,0,353.6559397,84,"T1","CT1-T4-H31",-3.259153374,-125.5235,35.09508,7.0538118848116,40.448684629496,8.47103953236826,166.877794002779,0.242385063100861,6.69661174786926
