Taxa,amplification_efficiency,size_fraction,pool_type
clr_Calanidae,0.08713853,0.2,All
clr_Clausocalanidae,0.076519366,0.2,All
clr_Eucalanidae,-0.13399064,0.2,All
clr_Euphausiidae,0.043501687,0.2,All
clr_Metridinidae,0.147808279,0.2,All
clr_Oithonidae,-0.051370634,0.2,All
clr_Paracalanidae,0.044298047,0.2,All
clr_Rhincalanidae,-0.067310904,0.2,All
clr_Salpidae,-0.184035387,0.2,All
clr_other,0.001051133,0.2,All
clr_unidentified Calanoida,0.036390521,0.2,All
clr_Calanidae,0.152732084,0.5,All
clr_Clausocalanidae,-0.012277809,0.5,All
clr_Eucalanidae,-0.059831567,0.5,All
clr_Euphausiidae,0.068816613,0.5,All
clr_Metridinidae,0.15837232,0.5,All
clr_Oithonidae,-0.165967671,0.5,All
clr_Paracalanidae,-0.127118771,0.5,All
clr_Rhincalanidae,0.003966403,0.5,All
clr_Salpidae,-0.142519493,0.5,All
clr_other,0.042358283,0.5,All
clr_unidentified Calanoida,0.081469608,0.5,All
clr_Calanidae,0.096348377,1,All
clr_Clausocalanidae,-0.047013733,1,All
clr_Eucalanidae,-0.020637424,1,All
clr_Euphausiidae,0.103971179,1,All
clr_Metridinidae,0.095886036,1,All
clr_Oithonidae,-0.211538052,1,All
clr_Paracalanidae,-0.105366717,1,All
clr_Rhincalanidae,0.00877771,1,All
clr_Salpidae,-0.146645029,1,All
clr_other,0.131531053,1,All
clr_unidentified Calanoida,0.094686601,1,All
clr_Calanidae,0.046671518,0.2,A1
clr_Clausocalanidae,0.025220115,0.2,A1
clr_Euphausiidae,0.031324065,0.2,A1
clr_Metridinidae,0.107458715,0.2,A1
clr_Oithonidae,-0.038237116,0.2,A1
clr_Paracalanidae,0.024876761,0.2,A1
clr_Rhincalanidae,-0.075764692,0.2,A1
clr_other,-0.121549365,0.2,A1
clr_Calanidae,0.128483882,0.5,A1
clr_Clausocalanidae,-0.036550781,0.5,A1
clr_Euphausiidae,0.076630965,0.5,A1
clr_Metridinidae,0.155665308,0.5,A1
clr_Oithonidae,-0.142703816,0.5,A1
clr_Paracalanidae,-0.116207045,0.5,A1
clr_Rhincalanidae,-0.010821978,0.5,A1
clr_other,-0.054496534,0.5,A1
clr_Calanidae,0.061764742,1,A1
clr_Clausocalanidae,-0.071044564,1,A1
clr_Eucalanidae,-0.065339714,1,A1
clr_Euphausiidae,0.134137408,1,A1
clr_Metridinidae,0.135054745,1,A1
clr_Oithonidae,-0.130214537,1,A1
clr_Paracalanidae,-0.076133377,1,A1
clr_Rhincalanidae,0.02868159,1,A1
clr_other,-0.016906293,1,A1
clr_Calanidae,0.064395811,0.2,B3
clr_Clausocalanidae,0.116662025,0.2,B3
clr_Eucalanidae,-0.170940375,0.2,B3
clr_Euphausiidae,-0.004397493,0.2,B3
clr_Metridinidae,0.158476466,0.2,B3
clr_Oithonidae,-0.026093577,0.2,B3
clr_Paracalanidae,0.046158191,0.2,B3
clr_Rhincalanidae,-0.055069372,0.2,B3
clr_other,-0.129191677,0.2,B3
clr_Calanidae,0.093481054,0.5,B3
clr_Clausocalanidae,0.061218061,0.5,B3
clr_Eucalanidae,-0.085305332,0.5,B3
clr_Euphausiidae,0.046294125,0.5,B3
clr_Metridinidae,0.174766277,0.5,B3
clr_Oithonidae,-0.136199218,0.5,B3
clr_Paracalanidae,-0.058903152,0.5,B3
clr_Rhincalanidae,-0.004472595,0.5,B3
clr_other,-0.09087922,0.5,B3
clr_Calanidae,0.08965537,1,B3
clr_Clausocalanidae,0.055636244,1,B3
clr_Eucalanidae,-0.065115799,1,B3
clr_Euphausiidae,0.025538531,1,B3
clr_Metridinidae,0.121243019,1,B3
clr_Oithonidae,-0.134390879,1,B3
clr_Paracalanidae,-0.043751516,1,B3
clr_Rhincalanidae,-0.028784292,1,B3
clr_other,-0.020030678,1,B3
clr_Calanidae,0.116546562,0.2,C5
clr_Clausocalanidae,0.05170151,0.2,C5
clr_Eucalanidae,-0.115755655,0.2,C5
clr_Euphausiidae,0.063550911,0.2,C5
clr_Metridinidae,0.126340023,0.2,C5
clr_Paracalanidae,0.015758702,0.2,C5
clr_Rhincalanidae,0.016241171,0.2,C5
clr_Salpidae,-0.158637712,0.2,C5
clr_other,-0.115745513,0.2,C5
clr_Calanidae,0.173719826,0.5,C5
clr_Clausocalanidae,0.018019103,0.5,C5
clr_Eucalanidae,-0.080529604,0.5,C5
clr_Euphausiidae,0.073356491,0.5,C5
clr_Metridinidae,0.114855713,0.5,C5
clr_Paracalanidae,-0.082258692,0.5,C5
clr_Rhincalanidae,0.03790061,0.5,C5
clr_Salpidae,-0.14909611,0.5,C5
clr_other,-0.105967337,0.5,C5
clr_Calanidae,0.161762411,1,C5
clr_Clausocalanidae,-0.057256351,1,C5
clr_Eucalanidae,-0.065804233,1,C5
clr_Euphausiidae,0.109148264,1,C5
clr_Metridinidae,0.052927422,1,C5
clr_Paracalanidae,-0.104176822,1,C5
clr_Rhincalanidae,0.063414147,1,C5
