"","Hash","C1-T7-H9_S1.1","C1-T7-H9_S1.2","C1-T7-H9_S2.1","C1-T7-H9_S2.2","C1-T7-H9_S3.2","C1-T8-H10_S1.2","C1-T8-H10_S2.1","C1-T8-H10_S2.2","C1-T8-H10_S3.2","C2-T8-H18_S1.1","C2-T8-H18_S1.2","C2-T8-H18_S2.1","C2-T8-H18_S2.2","C2-T8-H18_S3.1","C2-T8-H18_S3.2","C2-T9-H19_S2.1","C2-T9-H19_S2.2","C2-T9-H19_S3.2","C3-T6-H25_S1.1","C3-T6-H25_S1.2","C3-T6-H25_S2.1","C3-T6-H25_S2.2","C3-T6-H25_S3.1","C3-T7-H26_S1.1","C3-T7-H26_S1.2","C3-T7-H26_S2.1","C3-T7-H26_S2.2","C3-T7-H26_S3.1","C3-T7-H26_S3.2","CT1-T1-H28_S1.1","CT1-T1-H28_S1.2","CT1-T1-H28_S2.1","CT1-T1-H28_S2.2","CT1-T1-H28_S3.1","CT1-T1-H28_S3.2","CT1-T2-H29_S1.1","CT1-T2-H29_S1.2","CT1-T2-H29_S2.1","CT1-T2-H29_S2.2","CT1-T2-H29_S3.1","CT1-T2-H29_S3.2","CT1-T3-H30_S1.1","CT1-T3-H30_S1.2","CT1-T3-H30_S2.1","CT1-T3-H30_S3.2","CT1-T4-H31_S1.1","CT1-T4-H31_S1.2","CT1-T4-H31_S2.2","CT1-T4-H31_S3.1","CT1-T4-H31_S3.2","CT1-T5-H32_S1.1","CT1-T5-H32_S1.2","CT1-T5-H32_S2.1","CT1-T5-H32_S2.2","CT1-T5-H32_S3.1","CT1-T5-H32_S3.2","CT1-T6-H33_S1.1","CT1-T6-H33_S1.2","CT1-T6-H33_S2.1","CT1-T6-H33_S2.2","CT1-T6-H33_S3.1","CT1-T6-H33_S3.2","CT1-T7-H34_S1.1","CT1-T7-H34_S1.2","CT1-T7-H34_S2.1","CT1-T7-H34_S2.2","CT1-T7-H34_S3.1","CT1-T7-H34_S3.2","CT1-T8-H35_S1.1","CT1-T8-H35_S1.2","CT1-T8-H35_S2.1","CT1-T8-H35_S2.2","CT1-T8-H35_S3.1","CT1-T8-H35_S3.2","CT2-T1-H36_S1.1","CT2-T1-H36_S1.2","CT2-T1-H36_S2.1","CT2-T1-H36_S2.2","CT2-T1-H36_S3.1","CT2-T1-H36_S3.2","CT2-T4-H39_S1.1","CT2-T4-H39_S1.2","CT2-T4-H39_S2.1","CT2-T4-H39_S2.2","CT2-T4-H39_S3.1","CT2-T4-H39_S3.2","CT2-T8-H43_S1.1","CT2-T8-H43_S1.2","CT2-T8-H43_S2.1","CT2-T8-H43_S2.2","CT2-T8-H43_S3.1","CT2-T8-H43_S3.2"
"1","0043e83893cae4b9efce1461a88599998f8c7deb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","0068028ae982bd725af375d72e3c27c694c72b54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","01022dd9421b437f89ea248edc7088c15fad93e7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","01cfa38140aa27513302c83969784a3f310533bf",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,81,0,0,0,0,25,0,21,19,0,0,75,48,0,0,0,0,0,0,0,62,156,0,14,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
"5","02093d4b1f1d2e1fcf497230b517e5990a1f4a38",0,0,0,0,22,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,11,9,0,12,0,86,0,0,0,0,0,0,0,0,0,0
"6","023b006896972415f71fb818cada163f1694851d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,73,35,0,0,0,33,0,214,803,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"7","0260bfbe825d95aca7b54a0909f97b59dc580e78",0,207,0,280,0,119,0,57,0,31,144,0,94,0,0,28,0,0,72,769,94,436,0,254,457,53,131,0,0,102,602,112,194,0,0,556,871,0,137,0,0,0,0,0,0,0,0,83,0,0,0,76,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,210,424,9,41,0,0,54,440,321,293,34,372,0,0,0,0,0,0,493,836,20,25,0,0
"8","02674ce12f1c4dce64c6f67782e4b588240ce808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,58,0,0,0,0,0,53,0,0,0,0,148,224,0,0,0,0,73,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","02aee835d579ca91ab0c6aea5b6cf69a287fa7e5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,298,0,41,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
"10","034efa5c64f145898e8709695f44589a3d089478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","034fb0f8c6c0f9ebee3d4c8f61d9cc8dde4bb0f9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","03676dfeb509dd7a10efdb9ea75c332304d65559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","03b22ed7d04cea4097ea64cea9504d8766eb82e1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","044bf9f76c6c7687251d1d5b72feb4028789aa66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","045a36f21fe226cb950582553d648d7a6c80da6c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","046e2a386aaeee167ada9c1efcf3b7d0544cfe9d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","04c6790e4deef8631e51d7e8890633f8fa887216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","04de5e8d27f479154ff7e101d1f59e019c93efd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","052ecb15f923d3af48b29451bcd0273909ff61b7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","0656642f62c1149ffd9a6000db43c45838593471",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,155,0,44,218,12,0,0,0,0,4,1,14,35,72,148,235,0,44,183,250,201,196,0,0,0,0,0,0,0,0,1,0,0,0,16,0,26,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,9,0,0,0,0,0,0,0,27,0,0,0,0,26,48,0,0,0,0
"21","06baca0d97101c26d72fee2ca7eecbf7890fe29b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","07bcc99c7d4e0bc017414cbea3087e4f4c05c5ec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","0887051b9ae38b4090517ba7baa16f0caf86a6c3",0,0,0,0,23,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,171,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0
"24","08db581e1ebc501e6007121fb20439bbeeb17def",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","098d78cfe544645c4b7a49321108101f9fd1ca95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,28,38,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","09dc6e1e3a2c7b17cd7f4be23efc50ead3eafef7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","09f0f81e918be13468041d213bbcc3701965c080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,20,0,138,176,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
