"","Sample_name","cycle_num","Pool","sample_id","sample_num"
"1","20C_AllPool.1",20,"1","20C_AllPool","Calibration"
"2","20C_AllPool.2",20,"2","20C_AllPool","Calibration"
"3","20C_AllPool.3",20,"3","20C_AllPool","Calibration"
"4","24C_AllPool.1",24,"1","24C_AllPool","Calibration"
"5","24C_AllPool.2",24,"2","24C_AllPool","Calibration"
"6","24C_AllPool.3",24,"3","24C_AllPool","Calibration"
"7","28C_AllPool.1",28,"1","28C_AllPool","Calibration"
"8","28C_AllPool.2",28,"2","28C_AllPool","Calibration"
"9","28C_AllPool.3",28,"3","28C_AllPool","Calibration"
"10","C1.T7.H9_S3.2",30,"2","C1.T7.H9_S3","C1.T7.H9_S3"
"11","C1.T8.H10_S3.2",30,"2","C1.T8.H10_S3","C1.T8.H10_S3"
"12","C2.T8.H18_S3.1",30,"1","C2.T8.H18_S3","C2.T8.H18_S3"
"13","C2.T8.H18_S3.2",30,"2","C2.T8.H18_S3","C2.T8.H18_S3"
"14","C2.T9.H19_S3.2",30,"2","C2.T9.H19_S3","C2.T9.H19_S3"
"15","C3.T6.H25_S3.1",30,"1","C3.T6.H25_S3","C3.T6.H25_S3"
"16","C3.T7.H26_S3.1",30,"1","C3.T7.H26_S3","C3.T7.H26_S3"
"17","C3.T7.H26_S3.2",30,"2","C3.T7.H26_S3","C3.T7.H26_S3"
"18","CT1.T1.H28_S3.1",30,"1","CT1.T1.H28_S3","CT1.T1.H28_S3"
"19","CT1.T1.H28_S3.2",30,"2","CT1.T1.H28_S3","CT1.T1.H28_S3"
"20","CT1.T2.H29_S3.1",30,"1","CT1.T2.H29_S3","CT1.T2.H29_S3"
"21","CT1.T2.H29_S3.2",30,"2","CT1.T2.H29_S3","CT1.T2.H29_S3"
"22","CT1.T3.H30_S3.2",30,"2","CT1.T3.H30_S3","CT1.T3.H30_S3"
"23","CT1.T4.H31_S3.1",30,"1","CT1.T4.H31_S3","CT1.T4.H31_S3"
"24","CT1.T4.H31_S3.2",30,"2","CT1.T4.H31_S3","CT1.T4.H31_S3"
"25","CT1.T5.H32_S3.1",30,"1","CT1.T5.H32_S3","CT1.T5.H32_S3"
"26","CT1.T5.H32_S3.2",30,"2","CT1.T5.H32_S3","CT1.T5.H32_S3"
"27","CT1.T6.H33_S3.1",30,"1","CT1.T6.H33_S3","CT1.T6.H33_S3"
"28","CT1.T6.H33_S3.2",30,"2","CT1.T6.H33_S3","CT1.T6.H33_S3"
"29","CT1.T7.H34_S3.1",30,"1","CT1.T7.H34_S3","CT1.T7.H34_S3"
"30","CT1.T7.H34_S3.2",30,"2","CT1.T7.H34_S3","CT1.T7.H34_S3"
"31","CT1.T8.H35_S3.1",30,"1","CT1.T8.H35_S3","CT1.T8.H35_S3"
"32","CT1.T8.H35_S3.2",30,"2","CT1.T8.H35_S3","CT1.T8.H35_S3"
"33","CT2.T1.H36_S3.1",30,"1","CT2.T1.H36_S3","CT2.T1.H36_S3"
"34","CT2.T1.H36_S3.2",30,"2","CT2.T1.H36_S3","CT2.T1.H36_S3"
"35","CT2.T4.H39_S3.1",30,"1","CT2.T4.H39_S3","CT2.T4.H39_S3"
"36","CT2.T4.H39_S3.2",30,"2","CT2.T4.H39_S3","CT2.T4.H39_S3"
"37","CT2.T8.H43_S3.1",30,"1","CT2.T8.H43_S3","CT2.T8.H43_S3"
"38","CT2.T8.H43_S3.2",30,"2","CT2.T8.H43_S3","CT2.T8.H43_S3"
"39","C1.T7.H9_S3.3",30,"3","C1.T7.H9_S3","C1.T7.H9_S3"
"40","C1.T8.H10_S3.3",30,"3","C1.T8.H10_S3","C1.T8.H10_S3"
"41","C2.T8.H18_S3.3",30,"3","C2.T8.H18_S3","C2.T8.H18_S3"
"42","C2.T9.H19_S3.3",30,"3","C2.T9.H19_S3","C2.T9.H19_S3"
"43","C3.T7.H26_S3.3",30,"3","C3.T7.H26_S3","C3.T7.H26_S3"
"44","CT1.T1.H28_S3.3",30,"3","CT1.T1.H28_S3","CT1.T1.H28_S3"
"45","CT1.T4.H31_S3.3",30,"3","CT1.T4.H31_S3","CT1.T4.H31_S3"
"46","CT1.T5.H32_S3.3",30,"3","CT1.T5.H32_S3","CT1.T5.H32_S3"
"47","CT1.T6.H33_S3.3",30,"3","CT1.T6.H33_S3","CT1.T6.H33_S3"
"48","CT1.T7.H34_S3.3",30,"3","CT1.T7.H34_S3","CT1.T7.H34_S3"
"49","CT2.T1.H36_S3.3",30,"3","CT2.T1.H36_S3","CT2.T1.H36_S3"
"50","CT2.T4.H39_S3.3",30,"3","CT2.T4.H39_S3","CT2.T4.H39_S3"
"51","CT2.T8.H43_S3.3",30,"3","CT2.T8.H43_S3","CT2.T8.H43_S3"
