"","Family","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","20C_Pooled.B3.B5.1","20C_Pooled.B3.B5.2","20C_Pooled.B3.B5.3","24C_Pooled.B3.B5.1","24C_Pooled.B3.B5.2","24C_Pooled.B3.B5.3","28C_Pooled.B3.B5.1","28C_Pooled.B3.B5.2","28C_Pooled.B3.B5.3","C3.T6.H25_S1.1","C3.T6.H25_S1.2","C3.T7.H26_S1.1","C3.T7.H26_S1.2","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T4.H31_S1.1","CT1.T4.H31_S1.2","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","C3.T6.H25_S1.3","C3.T7.H26_S1.3","CT1.T1.H28_S1.3","CT1.T2.H29_S1.3","CT1.T3.H30_S1.3","CT1.T4.H31_S1.3","CT1.T5.H32_S1.3","CT1.T6.H33_S1.3"
"1","Calanidae",54825,47483,41869,26088,31441,31601,20107,24184,20106,8113,5180,2951,7376,5784,5020,2507,2802,4816,461,4242,545,955,381,7869,580,917,1879,1710,61,238,1407,4734,321,1502,1508,1359,1172,342,469,2917,4560,1011
"2","Clausocalanidae",2787,2431,2014,1506,1555,1756,1008,1027,1143,9799,5967,1450,9977,7430,7444,3481,3722,6718,1420,11910,7613,16740,384,7068,6510,10987,6555,6510,522,891,2409,8150,13531,67309,7107,14609,1194,7674,2855,10161,11472,49924
"3","Eucalanidae",454,312,281,89,84,92,19,16,33,335,237,188,187,157,132,6,19,27,0,0,22,14,0,10,0,0,0,0,0,0,0,24,0,44,0,11,0,0,0,78,5,0
"4","Euphausiidae",11996,7825,6157,3485,5519,4433,2254,3070,5225,1438,1134,529,1357,1125,736,252,367,455,224,2558,293,561,0,741,634,1045,789,587,89,93,33,282,0,93,1072,421,9,442,65,3945,130,37
"5","Metridinidae",59721,52311,47020,30296,36763,35862,23015,27240,23665,85453,41802,13988,87846,70970,65527,37019,32992,70653,1616,17538,9251,18520,5605,141489,21764,35323,19833,18665,2683,6782,9708,31695,5905,32660,8508,24882,58937,31281,7468,50938,39741,25536
"6","Oithonidae",481,364,221,133,136,104,14,34,62,430,377,80,408,258,289,72,80,141,18,145,372,319,9,382,30,168,190,118,0,0,31,405,42,149,0,180,54,52,22,135,309,36
"7","Paracalanidae",2667,2377,2005,1065,1322,1274,618,592,1013,2713,2115,754,2338,1877,1524,680,844,1185,149,1296,1717,2396,121,1861,305,691,1265,1076,109,108,512,2591,1200,4867,210,1142,153,240,209,2716,2588,1945
"8","Rhincalanidae",730,633,546,413,500,516,318,346,321,172,99,32,228,190,186,156,87,220,0,0,0,0,0,106,1,0,0,0,0,0,31,101,0,0,0,88,45,4,0,9,150,0
"9","other",17616,14327,10717,4873,5769,6970,2443,2924,6390,55986,24590,6018,64397,65076,40668,33341,18110,39958,39,1126,1109,1256,20,1912,170,493,794,533,1891,1344,11,487,1004,4787,169,258,0,121,0,51275,232,754
"10","unidentified Calanoida",2779,2297,1888,1180,1536,1304,742,763,980,2696,1727,708,2541,2125,1870,1003,1118,1888,63,741,750,1776,112,1651,936,1247,1456,1487,75,126,323,1179,35,236,370,2056,268,774,392,1388,1215,129
