"","Family","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","20C_Pooled.B3.B5.1","20C_Pooled.B3.B5.2","20C_Pooled.B3.B5.3","24C_Pooled.B3.B5.1","24C_Pooled.B3.B5.2","24C_Pooled.B3.B5.3","28C_Pooled.B3.B5.1","28C_Pooled.B3.B5.2","28C_Pooled.B3.B5.3","C3.T6.H25_S3.1","C3.T7.H26_S3.1","C3.T7.H26_S3.2","CT1.T1.H28_S3.1","CT1.T1.H28_S3.2","CT1.T2.H29_S3.1","CT1.T2.H29_S3.2","CT1.T3.H30_S3.2","CT1.T4.H31_S3.1","CT1.T4.H31_S3.2","CT1.T5.H32_S3.1","CT1.T5.H32_S3.2","C3.T7.H26_S3.3","CT1.T1.H28_S3.3","CT1.T4.H31_S3.3","CT1.T5.H32_S3.3"
"1","Calanidae",54825,47483,41869,26088,31441,31601,20107,24184,20106,8113,5180,2951,7376,5784,5020,2507,2802,4816,0,0,110,705,1716,88,277,30909,0,181,0,12,0,3934,0,0
"2","Clausocalanidae",2787,2431,2014,1506,1555,1756,1008,1027,1143,9799,5967,1450,9977,7430,7444,3481,3722,6718,0,0,0,110,188,189,656,21,0,34,27,76,0,373,0,0
"3","Eucalanidae",454,312,281,89,84,92,19,16,33,335,237,188,187,157,132,6,19,27,0,0,5,11,33,0,20,0,0,24,34,153,0,98,0,0
"4","Euphausiidae",11996,7825,6157,3485,5519,4433,2254,3070,5225,1438,1134,529,1357,1125,736,252,367,455,287,0,0,323,819,0,91,0,386,1918,158,545,0,4554,66,0
"5","Metridinidae",59721,52311,47020,30296,36763,35862,23015,27240,23665,85453,41802,13988,87846,70970,65527,37019,32992,70653,3803,0,0,3130,6082,47328,85922,14,0,49,3127,5703,0,14082,0,674
"6","Oithonidae",481,364,221,133,136,104,14,34,62,430,377,80,408,258,289,72,80,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Paracalanidae",2667,2377,2005,1065,1322,1274,618,592,1013,2713,2115,754,2338,1877,1524,680,844,1185,0,0,0,0,0,0,30,0,0,4,0,0,0,51,0,0
"8","Rhincalanidae",730,633,546,413,500,516,318,346,321,172,99,32,228,190,186,156,87,220,0,0,0,0,14,0,0,0,0,0,5,29,0,55,0,0
"9","other",17616,14327,10717,4873,5769,6970,2443,2924,6390,55986,24587,6012,64391,65050,40661,33327,18108,39938,447,18827,92409,17595,31417,3928,12498,4602,40574,96735,37082,45148,2002,108686,28160,7427
"10","unidentified Calanoida",2779,2297,1888,1180,1536,1304,742,763,980,2696,1727,708,2541,2125,1870,1003,1118,1888,91,0,6,322,694,143,379,0,31,109,2641,4590,0,1518,0,619
