"","Comparison","Transformation","Taxa_Grouping","Size_Grouping","Environment_Grouping","R2","P_Value","n_samples","Has_Higher_R2"
"1","PCR vs. Raw","none","Calanoida","0.2-1","offshore",0.0103229849199662,0.506619932693903,45,""
"2","PCR vs. Raw","none","Calanoida","0.2-1","onshore",0.000223025170279957,0.91975353176951,48,""
"3","PCR vs. Raw","none","Calanoida","0.2-1","All",0.00154943498897635,0.707948348291406,93,""
"4","PCR vs. Raw","none","Calanoida","1-2","offshore",0.00997644486558061,0.55641118258922,37,""
"5","PCR vs. Raw","none","Calanoida","1-2","onshore",0.0151334698822845,0.404845112888963,48,""
"6","PCR vs. Raw","none","Calanoida","1-2","All",0.0133046255331359,0.293165620567039,85,""
"7","PCR vs. Raw","none","Calanoida","All","offshore",0.00940695040280881,0.38602991132618,82,""
"8","PCR vs. Raw","none","Calanoida","All","onshore",0.0035283121002575,0.565373177469347,96,""
"9","PCR vs. Raw","none","Calanoida","All","All",0.0056315770477816,0.319463767164428,178,""
"10","PCR vs. Raw","none","Eucalanidae","0.2-1","offshore",0.760122290507776,0.0539986290439427,5,""
"11","PCR vs. Raw","none","Eucalanidae","0.2-1","onshore",0.496041197154118,0.18422036965316,5,""
"12","PCR vs. Raw","none","Eucalanidae","0.2-1","All",0.366355561259822,0.063708856550172,10,""
"13","PCR vs. Raw","none","Eucalanidae","1-2","offshore",0.275448696321289,0.226476005051039,7,""
"14","PCR vs. Raw","none","Eucalanidae","1-2","onshore",0.152600212745641,0.298572163973446,9,""
"15","PCR vs. Raw","none","Eucalanidae","1-2","All",0.0830009702526791,0.279222245225721,16,""
"16","PCR vs. Raw","none","Eucalanidae","All","offshore",0.109934868907515,0.292416714783456,12,""
"17","PCR vs. Raw","none","Eucalanidae","All","onshore",0.097972621077256,0.275869390972214,14,""
"18","PCR vs. Raw","none","Eucalanidae","All","All",0.0725171175246753,0.183414505390652,26,""
"19","PCR vs. Raw","none","Euphausiacea","0.2-1","offshore",0.846205598880542,0.00936835920439007,6,""
