"","size_fraction","sample_id","object_annotation_category","dryweight_C_mg_sum_taxa","dryweight_C_ug_sum_taxa","dryweight_C_mg_sum_sample","dryweight_C_ug_sum_sample","sample_conc","sample_tot_vol","acq_sub_part","potemp2","density2","oxy_sat","Sal2","NO2","nitracline_depth","NO3","fluorescence","hypoxia_depth","chl_max_depth","PO4","SIL","NH4","beam_depth","chl_max","mixedlayerdepths","intergrated_chl","day_night_0_1","distance_from_shore","PAR_1_depth_adj","cycle.x","Sample_ID_short","PC1","Longitude","Latitude","log10_dryweight_C_ug_m2_taxa","dryweight_C_mg_m2_taxa","log10_dryweight_C_ug_m2_sample","dryweight_C_mg_m2_sample","biomass_prop_taxa","biomass_taxa_clr","Sample_ID.x","Sample_ID.y","offshore_onshore","taxa_join","Family","Sample_ID","n_reads_raw","biomass_mg_m2","size_fraction_numeric","cycle.y","n_reads_pcr","p.2.5","p.97.5","size_fraction.y.y"
"1","0.2-1","c1_t7_h9","Calanoida",0.549552512231967,549.552512231967,1.49794994820172,1497.94994820172,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,6.30910433293921,39.6476803594304,7.31185275110355,108.070183319731,0.366869742805292,5.98005749440968,"c1_t7_h9","C1-T7-H9","onshore","Calanoida","Calanidae","C1-T7-H9",0.16840023926625,1015.54609929078,0.5,"1",0.568445091276588,0.000325671685061993,0.737614343376939,"0.2-1"
"2","0.2-1","c1_t7_h9","Calanoida",0.549552512231967,549.552512231967,1.49794994820172,1497.94994820172,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,6.30910433293921,39.6476803594304,7.31185275110355,108.070183319731,0.366869742805292,5.98005749440968,"c1_t7_h9","C1-T7-H9","onshore","Calanoida","Clausocalanidae","C1-T7-H9",0.0154858434135318,1015.54609929078,0.5,"1",0.568445091276588,0.000325671685061993,0.737614343376939,"0.2-1"
"3","0.2-1","c1_t7_h9","Calanoida",0.549552512231967,549.552512231967,1.49794994820172,1497.94994820172,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,6.30910433293921,39.6476803594304,7.31185275110355,108.070183319731,0.366869742805292,5.98005749440968,"c1_t7_h9","C1-T7-H9","onshore","Calanoida","Metridinidae","C1-T7-H9",0.594028313172936,1015.54609929078,0.5,"1",0.568445091276588,0.000325671685061993,0.737614343376939,"0.2-1"
"4","0.2-1","c1_t7_h9","Calanoida",0.549552512231967,549.552512231967,1.49794994820172,1497.94994820172,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,6.30910433293921,39.6476803594304,7.31185275110355,108.070183319731,0.366869742805292,5.98005749440968,"c1_t7_h9","C1-T7-H9","onshore","Calanoida","Paracalanidae","C1-T7-H9",0.0860860029243653,1015.54609929078,0.5,"1",0.568445091276588,0.000325671685061993,0.737614343376939,"0.2-1"
"5","0.2-1","c1_t7_h9","Calanoida",0.549552512231967,549.552512231967,1.49794994820172,1497.94994820172,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,6.30910433293921,39.6476803594304,7.31185275110355,108.070183319731,0.366869742805292,5.98005749440968,"c1_t7_h9","C1-T7-H9","onshore","Calanoida","Rhincalanidae","C1-T7-H9",0.00466901502060348,1015.54609929078,0.5,"1",0.568445091276588,0.000325671685061993,0.737614343376939,"0.2-1"
"6","0.2-1","c1_t7_h9","Calanoida",0.549552512231967,549.552512231967,1.49794994820172,1497.94994820172,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,6.30910433293921,39.6476803594304,7.31185275110355,108.070183319731,0.366869742805292,5.98005749440968,"c1_t7_h9","C1-T7-H9","onshore","Calanoida","unidentified Calanoida","C1-T7-H9",0.0256546590455935,1015.54609929078,0.5,"1",0.568445091276588,0.000325671685061993,0.737614343376939,"0.2-1"
"7","0.2-1","c1_t7_h9","Chaetognatha",0.00527522601610007,5.27522601610007,1.49794994820172,1497.94994820172,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,1.66302152509828,0.380583238643815,7.31185275110355,108.070183319731,0.00352163036050232,1.33400070946291,"c1_t7_h9","C1-T7-H9","onshore","other","other","C1-T7-H9",0.00684567326864283,1015.54609929078,0.5,"1",0.568445091276588,0.000325671685061993,0.737614343376939,"0.2-1"
"8","0.2-1","c1_t7_h9","Copepoda<Maxillopoda",0.249255265443426,249.255265443426,1.49794994820172,1497.94994820172,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,5.51847753376797,17.9826183526472,7.31185275110355,108.070183319731,0.166397592751784,5.18943099910929,"c1_t7_h9","C1-T7-H9","onshore","other","other","C1-T7-H9",0.00684567326864283,1015.54609929078,0.5,"1",0.568445091276588,0.000325671685061993,0.737614343376939,"0.2-1"
"9","0.2-1","c1_t7_h9","Eucalanidae",0.000418040365751308,0.418040365751308,1.49794994820172,1497.94994820172,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,-0.872177282336812,0.030159685252519,7.31185275110355,108.070183319731,0.000279074989289971,-1.20089285959758,"c1_t7_h9","C1-T7-H9","onshore","Eucalanidae","Eucalanidae","C1-T7-H9",0.00157018476671541,1015.54609929078,0.5,"1",0.568445091276588,0.000325671685061993,0.737614343376939,"0.2-1"
"10","0.2-1","c1_t7_h9","Euphausiacea",0.00515286786715704,5.15286786715704,1.49794994820172,1497.94994820172,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,1.63955342709166,0.371755662259965,7.31185275110355,108.070183319731,0.0034399466239463,1.31053323536735,"c1_t7_h9","C1-T7-H9","onshore","Euphausiacea","Euphausiidae","C1-T7-H9",0.0884038947228499,1015.54609929078,0.5,"1",0.568445091276588,0.000325671685061993,0.737614343376939,"0.2-1"
