"","Phylum","Class","Order","Family"
"1","other","other","other","other"
"2","other","Polycystinea","Collodaria","Sphaerozoidae"
"3","Arthropoda","Hexanauplia","Calanoida","Augaptilidae"
"4","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae"
"5","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae"
"6","Echinodermata","Ophiuroidea","Amphilepidida","Ophiotrichidae"
"7","Arthropoda","Hexanauplia","Calanoida","Rhincalanidae"
"8","Arthropoda","Malacostraca","Decapoda","Sergestidae"
"9","Cnidaria","Hydrozoa","Trachymedusae","Rhopalonematidae"
"10","Arthropoda","Hexanauplia","Calanoida","Lucicutiidae"
"11","Arthropoda","Hexanauplia","Calanoida","Eucalanidae"
"12","Arthropoda","Branchiopoda","Onychopoda","Cercopagididae"
"13","Mollusca","Bivalvia","Myida","Xylophagaidae"
"14","Arthropoda","Hexanauplia","Cyclopoida","Oncaeidae"
"15","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae"
"16","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae"
"17","Chordata","Thaliacea","Doliolida","Doliolidae"
"18","other","Polycystinea","Collodaria","Collophidiidae"
"19","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae"
"20","Annelida","Polychaeta","other","Chaetopteridae"
"21","Mollusca","Gastropoda","Pteropoda","Cymbuliidae"
"22","Arthropoda","Hexanauplia","Calanoida","Calanidae"
"23","Mollusca","Gastropoda","Pteropoda","Cliidae"
"24","Arthropoda","Hexanauplia","Calanoida","Euchaetidae"
"25","Arthropoda","Hexanauplia","Calanoida","Candaciidae"
"26","Chordata","Thaliacea","Pyrosomatida","Pyrosomatidae"
"27","Arthropoda","Hexanauplia","Calanoida","Acartiidae"
"28","Arthropoda","Hexanauplia","Calanoida","Paracalanidae"
"29","Annelida","Polychaeta","Phyllodocida","Tomopteridae"
"30","Sipuncula","other","Phascolosomatiformes","Phascolosomatidae"
"31","Arthropoda","Hexanauplia","Calanoida","Metridinidae"
"32","Arthropoda","Malacostraca","Decapoda","Hippolytidae"
"33","Cnidaria","Hydrozoa","Trachymedusae","Geryoniidae"
"34","Chordata","Appendicularia","Copelata","Oikopleuridae"
"35","Arthropoda","Hexanauplia","Calanoida","unidentified Calanoida"
"36","Mollusca","Gastropoda","Pteropoda","Limacinidae"
"37","Mollusca","Bivalvia","Mytiloida","Mytilidae"
"38","Chordata","Thaliacea","Salpida","Salpidae"
"39","Mollusca","Gastropoda","Pteropoda","Peraclidae"
"40","Mollusca","Bivalvia","Pectinida","Pectinidae"
"41","Arthropoda","Hexanauplia","Calanoida","Centropagidae"
"42","Arthropoda","Hexanauplia","Pedunculata","Lepadidae"
"43","Mollusca","Gastropoda","Pteropoda","Desmopteridae"
"44","Arthropoda","Hexanauplia","Harpacticoida","Aegisthidae"
"45","Arthropoda","Hexanauplia","Calanoida","Subeucalanidae"
"46","Arthropoda","Hexanauplia","Calanoida","Calocalanidae"
"47","other","Dinophyceae","Peridiniales","Endodiniaceae"
"48","Arthropoda","Hexanauplia","Poecilostomatoida","Corycaeidae"
"49","Arthropoda","Hexanauplia","Calanoida","Spinocalanidae"
"50","Mollusca","Gastropoda","Neogastropoda","Columbellidae"
"51","Arthropoda","Malacostraca","Decapoda","Acanthephyridae"
"52","Chordata","Actinopteri","Salmoniformes","Salmonidae"
"53","Arthropoda","Hexanauplia","Calanoida","Temoridae"
"54","Arthropoda","Hexanauplia","Calanoida","Heterorhabdidae"
"55","Arthropoda","Malacostraca","Mysida","Mysidae"
"56","other","Polycystinea","Collodaria","Collosphaeridae"
"57","Ctenophora","Tentaculata","Lobata","Bolinopsidae"
"58","Cercozoa","Thecofilosea","Phaeoconchia","Coelodendridae"
"59","Arthropoda","Malacostraca","Decapoda","Alpheidae"
"60","other","Dinophyceae","Gymnodiniales","Kareniaceae"
"61","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae"
"62","other","Dinophyceae","Syndiniales","Syndiniaceae"
"63","Mollusca","Gastropoda","Pteropoda","Clionidae"
"64","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae"
"65","Chordata","Actinopteri","Myctophiformes","Myctophidae"
