"","Phylum","Class","Order","Family"
"1","other","other","other","other"
"2","other","Polycystinea","Collodaria","Sphaerozoidae"
"3","Arthropoda","Hexanauplia","Calanoida","Augaptilidae"
"4","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae"
"5","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae"
"6","Cnidaria","Hydrozoa","Trachymedusae","Rhopalonematidae"
"7","Arthropoda","Hexanauplia","Calanoida","Lucicutiidae"
"8","Arthropoda","Hexanauplia","Calanoida","Eucalanidae"
"9","Arthropoda","Branchiopoda","Onychopoda","Cercopagididae"
"10","Arthropoda","Hexanauplia","Cyclopoida","Oncaeidae"
"11","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae"
"12","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae"
"13","Chordata","Thaliacea","Doliolida","Doliolidae"
"14","other","Polycystinea","Collodaria","Collophidiidae"
"15","Mollusca","Gastropoda","Pteropoda","Cymbuliidae"
"16","Arthropoda","Hexanauplia","Calanoida","Calanidae"
"17","Mollusca","Gastropoda","Pteropoda","Cliidae"
"18","Arthropoda","Hexanauplia","Calanoida","Euchaetidae"
"19","Arthropoda","Hexanauplia","Calanoida","Candaciidae"
"20","Chordata","Thaliacea","Pyrosomatida","Pyrosomatidae"
"21","Arthropoda","Hexanauplia","Calanoida","Acartiidae"
"22","Arthropoda","Hexanauplia","Calanoida","Paracalanidae"
"23","Annelida","Polychaeta","Phyllodocida","Tomopteridae"
"24","Chordata","Appendicularia","Copelata","Oikopleuridae"
"25","Sipuncula","other","Phascolosomatiformes","Phascolosomatidae"
"26","Arthropoda","Hexanauplia","Calanoida","Metridinidae"
"27","Arthropoda","Hexanauplia","Calanoida","Rhincalanidae"
"28","Cnidaria","Hydrozoa","Trachymedusae","Geryoniidae"
"29","Arthropoda","Hexanauplia","Calanoida","unidentified Calanoida"
"30","Mollusca","Gastropoda","Pteropoda","Limacinidae"
"31","Chordata","Thaliacea","Salpida","Salpidae"
"32","Mollusca","Gastropoda","Pteropoda","Peraclidae"
"33","Arthropoda","Hexanauplia","Calanoida","Centropagidae"
"34","Arthropoda","Hexanauplia","Pedunculata","Lepadidae"
"35","Arthropoda","Hexanauplia","Harpacticoida","Aegisthidae"
"36","Arthropoda","Hexanauplia","Calanoida","Subeucalanidae"
"37","Arthropoda","Hexanauplia","Calanoida","Calocalanidae"
"38","other","Dinophyceae","Peridiniales","Endodiniaceae"
"39","Arthropoda","Hexanauplia","Calanoida","Spinocalanidae"
"40","Arthropoda","Malacostraca","Decapoda","Acanthephyridae"
"41","Chordata","Actinopteri","Salmoniformes","Salmonidae"
"42","Arthropoda","Hexanauplia","Calanoida","Temoridae"
"43","Arthropoda","Hexanauplia","Calanoida","Heterorhabdidae"
"44","Arthropoda","Malacostraca","Decapoda","Sergestidae"
"45","other","Polycystinea","Collodaria","Collosphaeridae"
"46","Ctenophora","Tentaculata","Lobata","Bolinopsidae"
"47","Cercozoa","Thecofilosea","Phaeoconchia","Coelodendridae"
"48","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae"
"49","Chordata","Actinopteri","Myctophiformes","Myctophidae"
