"","Phylum","Class","Order","Family"
"1","other","other","other","other"
"2","other","Polycystinea","Collodaria","Sphaerozoidae"
"3","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae"
"4","Echinodermata","Ophiuroidea","Amphilepidida","Ophiotrichidae"
"5","Arthropoda","Hexanauplia","Calanoida","Rhincalanidae"
"6","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae"
"7","Arthropoda","Malacostraca","Decapoda","Sergestidae"
"8","Arthropoda","Hexanauplia","Calanoida","Eucalanidae"
"9","Mollusca","Bivalvia","Myida","Xylophagaidae"
"10","Arthropoda","Hexanauplia","Cyclopoida","Oncaeidae"
"11","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae"
"12","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae"
"13","Chordata","Thaliacea","Doliolida","Doliolidae"
"14","other","Polycystinea","Collodaria","Collophidiidae"
"15","Arthropoda","Hexanauplia","Calanoida","Spinocalanidae"
"16","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae"
"17","Annelida","Polychaeta","other","Chaetopteridae"
"18","Annelida","Polychaeta","Phyllodocida","Tomopteridae"
"19","Arthropoda","Hexanauplia","Calanoida","Calanidae"
"20","Arthropoda","Hexanauplia","Calanoida","Lucicutiidae"
"21","Arthropoda","Hexanauplia","Calanoida","Candaciidae"
"22","Chordata","Thaliacea","Pyrosomatida","Pyrosomatidae"
"23","Arthropoda","Hexanauplia","Calanoida","Acartiidae"
"24","Arthropoda","Hexanauplia","Calanoida","Paracalanidae"
"25","Sipuncula","other","Phascolosomatiformes","Phascolosomatidae"
"26","Arthropoda","Hexanauplia","Calanoida","Metridinidae"
"27","Arthropoda","Malacostraca","Decapoda","Hippolytidae"
"28","Cnidaria","Hydrozoa","Trachymedusae","Geryoniidae"
"29","Chordata","Appendicularia","Copelata","Oikopleuridae"
"30","Arthropoda","Hexanauplia","Calanoida","unidentified Calanoida"
"31","Mollusca","Bivalvia","Mytiloida","Mytilidae"
"32","Chordata","Thaliacea","Salpida","Salpidae"
"33","Mollusca","Bivalvia","Pectinida","Pectinidae"
"34","Arthropoda","Hexanauplia","Calanoida","Calocalanidae"
"35","Arthropoda","Hexanauplia","Calanoida","Subeucalanidae"
"36","Mollusca","Gastropoda","Neogastropoda","Columbellidae"
"37","Arthropoda","Hexanauplia","Calanoida","Heterorhabdidae"
"38","Arthropoda","Malacostraca","Mysida","Mysidae"
"39","Mollusca","Gastropoda","Pteropoda","Cliidae"
"40","Arthropoda","Malacostraca","Decapoda","Alpheidae"
"41","other","Dinophyceae","Gymnodiniales","Kareniaceae"
"42","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae"
"43","other","Dinophyceae","Syndiniales","Syndiniaceae"
"44","Mollusca","Gastropoda","Pteropoda","Clionidae"
