Hash,C1.T7.H9_S1,C1.T7.H9_S2,C1.T7.H9_S3,C1.T8.H10_S1,C1.T8.H10_S2,C1.T8.H10_S3,C2.T8.H18_S1,C2.T8.H18_S2,C2.T8.H18_S3,C2.T9.H19_S1,C2.T9.H19_S2,C2.T9.H19_S3,C3.T6.H25_S1,C3.T6.H25_S2,C3.T6.H25_S3,C3.T7.H26_S1,C3.T7.H26_S2,C3.T7.H26_S3,CT1.T1.H28_S1,CT1.T1.H28_S2,CT1.T1.H28_S3,CT1.T2.H29_S1,CT1.T2.H29_S2,CT1.T2.H29_S3,CT1.T3.H30_S1,CT1.T3.H30_S2,CT1.T3.H30_S3,CT1.T4.H31_S1,CT1.T4.H31_S2,CT1.T4.H31_S3,CT1.T5.H32_S1,CT1.T5.H32_S2,CT1.T5.H32_S3,CT1.T6.H33_S1,CT1.T6.H33_S2,CT1.T6.H33_S3,CT1.T7.H34_S1,CT1.T7.H34_S2,CT1.T7.H34_S3,CT1.T8.H35_S1,CT1.T8.H35_S2,CT1.T8.H35_S3,CT2.T1.H36_S1,CT2.T1.H36_S2,CT2.T1.H36_S3,CT2.T4.H39_S1,CT2.T4.H39_S2,CT2.T4.H39_S3,CT2.T8.H43_S1,CT2.T8.H43_S2,CT2.T8.H43_S3
35575e116e325762dc8dd4b84658d0f40e9893bc,32,0,0,0,0,0,0,0,0,,0,265,31,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,32,94,29,38,61,0,38,0,0,882,0,0,0
5ff1db4d410e0c2a604c73ed9d5322e66afdb062,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856adbbd6780d096aa923a18481a9884b70edf25,61,0,0,0,0,14,0,0,0,,0,1626,58,17,0,410,30,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,112,0,0,0,302,2238,53,53,109,28,48,0,0,14103,0,0,67
c0cde007b3944912585e43ea92ec51d4514c5c9e,12,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752ee5d1eb330fc163da83ca9ce2b4b43c516f38,0,0,19,0,0,0,0,0,0,,0,364,37,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,59,0,0,0,0,66,0,49,67,16,0,13,0,902,0,0,0
a29f0ac6e6a70ba91d7110342740c68eb0436908,0,0,0,0,0,0,7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8d3c2f5d3115b3aa36d0587056e8e61d5a7b648e,0,0,0,0,0,0,0,0,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,0,0,0
24343a445c96b997808a056ab7913470b690936b,0,0,0,0,0,0,0,0,0,,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c32d58513825484c47705b7d424175ab81ca09e,0,0,0,0,0,0,0,0,0,,0,187,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,169,61,0,156,1692,0,0,0,0,0,0,0,0,0,0,0,0
22cf259c5c1e40823b8c7c662c68799ce9da7c3c,0,0,0,0,0,0,0,0,0,,0,0,21,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
