"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","seq_39_.NA.other",NA,NA,NA,NA,0.5,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"2","seq_39_.NA.other",NA,NA,NA,NA,0.5,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"3","seq_39_.NA.other",NA,NA,NA,NA,0.5,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"4","seq_30_Calanoida.Metridia pacifica.b0c15",NA,NA,NA,NA,0.425079141751671,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"5","seq_30_Calanoida.Metridia pacifica.b0c15",NA,NA,NA,NA,0.408939568247953,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"6","seq_30_Calanoida.Metridia pacifica.b0c15",NA,NA,NA,NA,0.393890625483581,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"7","seq_11_Calanoida.Metridia pacifica.3855b",NA,NA,NA,NA,0.0305468725820928,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"8","seq_11_Calanoida.Metridia pacifica.3855b",NA,NA,NA,NA,0.0293703833978192,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"9","seq_11_Calanoida.Metridia pacifica.3855b",NA,NA,NA,NA,0.0243215808350815,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"10","seq_5_Calanoida.Metridia pacifica.21ed1",NA,NA,NA,NA,0.0163411841168642,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"11","seq_23_Calanoida.Calanus helgolandicus.6e6b2",NA,NA,NA,NA,0.0158283503341541,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"12","seq_7_Calanoida.Metridia pacifica.2cfd4",NA,NA,NA,NA,0.0122558880876482,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"13","seq_14_Calanoida.Metridia pacifica.3a466",NA,NA,NA,NA,0.012132091238278,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"14","seq_22_Calanoida.Metridia pacifica.6b976",NA,NA,NA,NA,0.01179164990251,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"15","seq_20_Calanoida.Calanus.5c28f",NA,NA,NA,NA,0.0117833274709814,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"16","seq_7_Calanoida.Metridia pacifica.2cfd4",NA,NA,NA,NA,0.0114315863524446,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"17","seq_5_Calanoida.Metridia pacifica.21ed1",NA,NA,NA,NA,0.0106246193408676,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"18","seq_20_Calanoida.Calanus.5c28f",NA,NA,NA,NA,0.0105163429654192,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"19","seq_14_Calanoida.Metridia pacifica.3a466",NA,NA,NA,NA,0.0104960411450227,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"20","seq_7_Calanoida.Metridia pacifica.2cfd4",NA,NA,NA,NA,0.00891249915409082,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"21","seq_20_Calanoida.Calanus.5c28f",NA,NA,NA,NA,0.0080622698152332,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"22","seq_22_Calanoida.Metridia pacifica.6b976",NA,NA,NA,NA,0.00581308790688232,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"23","seq_23_Calanoida.Calanus helgolandicus.6e6b2",NA,NA,NA,NA,0.00465588414427827,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"24","seq_29_Calanoida.Pleuromamma.a32d2",NA,NA,NA,NA,0.00369328174463595,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"25","seq_38_Calanoida.Metridia pacifica.c106e",NA,NA,NA,NA,0.00312587044659713,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"26","seq_34_Calanoida.Metridia pacifica.e1993",NA,NA,NA,NA,0.00278811666779455,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"27","seq_21_Calanoida..6950a",NA,NA,NA,NA,0.00244498777506112,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"28","seq_28_Calanoida.Metridia pacifica.97d59",NA,NA,NA,NA,0.0024159166271909,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"29","seq_28_Calanoida.Metridia pacifica.97d59",NA,NA,NA,NA,0.00218191947014948,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"30","seq_21_Calanoida..6950a",NA,NA,NA,NA,0.00207078568044935,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"31","seq_23_Calanoida.Calanus helgolandicus.6e6b2",NA,NA,NA,NA,0.00202717340843676,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"32","seq_1_Calanoida.Pleuromamma.0260b",NA,NA,NA,NA,0.00189483657034581,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"33","seq_31_Calanoida.Rhincalanus.b3950",NA,NA,NA,NA,0.00175870559268378,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"34","seq_29_Calanoida.Pleuromamma.a32d2",NA,NA,NA,NA,0.00172565473370779,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"35","seq_34_Calanoida.Metridia pacifica.e1993",NA,NA,NA,NA,0.0013153415245582,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"36","seq_27_Calanoida.Pleuromamma.92937",NA,NA,NA,NA,0.00122249388753056,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"37","seq_16_Calanoida.Calanus helgolandicus.50ae1",NA,NA,NA,NA,0.00110306557487988,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"38","seq_8_Euphausiacea..2f9a3",NA,NA,NA,NA,0.00105569466062124,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"39","seq_25_Calanoida.Calanus helgolandicus.78f54",NA,NA,NA,NA,0.00105522335561027,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"40","seq_32_Calanoida..bb435",NA,NA,NA,NA,0.00102185829329363,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"41","seq_1_Calanoida.Pleuromamma.0260b",NA,NA,NA,NA,0.000897527157933831,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"42","seq_29_Calanoida.Pleuromamma.a32d2",NA,NA,NA,NA,0.000680882671536009,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"43","seq_25_Calanoida.Calanus helgolandicus.78f54",NA,NA,NA,NA,0.000649933459193464,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"44","seq_25_Calanoida.Calanus helgolandicus.78f54",NA,NA,NA,NA,0.000595520064965825,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"45","seq_31_Calanoida.Rhincalanus.b3950",NA,NA,NA,NA,0.000534614603776139,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"46","seq_17_Calanoida..5153f",NA,NA,NA,NA,0.000345130946741558,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"47","seq_16_Calanoida.Calanus helgolandicus.50ae1",NA,NA,NA,NA,0.000294017517254186,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"48","seq_36_Calanoida.Pleuromamma.fa735",NA,NA,NA,NA,0.000169181836638019,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"49","seq_36_Calanoida.Pleuromamma.fa735",NA,NA,NA,NA,7.73730308563647e-05,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"50","seq_12_Calanoida.Pleuromamma borealis.387d4",NA,NA,NA,NA,6.18984246850918e-05,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"51","seq_1_Calanoida.Pleuromamma.0260b",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"52","seq_2_Calanoida.Rhincalanus.1784e",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"53","seq_2_Calanoida.Rhincalanus.1784e",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"54","seq_2_Calanoida.Rhincalanus.1784e",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"55","seq_3_Calanoida.Clausocalanus furcatus.1a08b",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"56","seq_3_Calanoida.Clausocalanus furcatus.1a08b",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"57","seq_3_Calanoida.Clausocalanus furcatus.1a08b",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"58","seq_4_Calanoida.Rhincalanus.1c13e",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"59","seq_4_Calanoida.Rhincalanus.1c13e",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"60","seq_4_Calanoida.Rhincalanus.1c13e",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"61","seq_5_Calanoida.Metridia pacifica.21ed1",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"62","seq_6_Calanoida.Eucalanus californicus.247f0",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"63","seq_6_Calanoida.Eucalanus californicus.247f0",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
