"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","seq_8_Metridia pacifica.b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",NA,NA,NA,NA,0.977744451109778,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"2","seq_8_Metridia pacifica.b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",NA,NA,NA,NA,0.962180528881666,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"3","seq_8_Metridia pacifica.b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",NA,NA,NA,NA,0.939148786493141,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"4","seq_6_Calanus helgolandicus.50ae18a387ee0c27a601b2de29233b88891665e2",NA,NA,NA,NA,0.0573338023214914,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"5","seq_6_Calanus helgolandicus.50ae18a387ee0c27a601b2de29233b88891665e2",NA,NA,NA,NA,0.0340590123423629,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"6","seq_6_Calanus helgolandicus.50ae18a387ee0c27a601b2de29233b88891665e2",NA,NA,NA,NA,0.0213857228554289,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"7","seq_2_Rhincalanus.1c13e9ef7e8cb97448c9556c5cae61a9ab171c33",NA,NA,NA,NA,0.00351741118536757,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"8","seq_4_Euphausiidae.2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",NA,NA,NA,NA,0.00209511274661223,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"9","seq_2_Rhincalanus.1c13e9ef7e8cb97448c9556c5cae61a9ab171c33",NA,NA,NA,NA,0.0010609865832203,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"10","seq_2_Rhincalanus.1c13e9ef7e8cb97448c9556c5cae61a9ab171c33",NA,NA,NA,NA,0.000869826034793041,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"11","seq_10_.other",NA,NA,NA,NA,0.000604359446138143,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"12","seq_1_Clausocalanus furcatus.1a08bb6d37d7924e5dab4c0408f64896eacb991a",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"13","seq_1_Clausocalanus furcatus.1a08bb6d37d7924e5dab4c0408f64896eacb991a",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
