"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.551890531830559,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"2","Metridinidae",NA,NA,NA,NA,0.516338477913784,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"3","Euphausiidae",NA,NA,NA,NA,0.376263970196913,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"4","Euphausiidae",NA,NA,NA,NA,0.309171750594561,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"5","Calanidae",NA,NA,NA,NA,0.122531279081791,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"6","Calanidae",NA,NA,NA,NA,0.0970729111229377,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"7","other",NA,NA,NA,NA,0.0119601557922311,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"8","other",NA,NA,NA,NA,0.00798296966471527,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"9","Eucalanidae",NA,NA,NA,NA,0.00251611346637714,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"10","Rhincalanidae",NA,NA,NA,NA,0.00193016923448109,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"11","Rhincalanidae",NA,NA,NA,NA,0.00138371474188398,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"12","Eucalanidae",NA,NA,NA,NA,0.000957956359765833,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"13","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"14","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"15","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"16","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"17","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"18","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"19","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"20","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"21","Metridinidae",1,0.0200419959057372,0.138929582157199,0.300013731812724,0.346813815830347,0.524350822432054,0.866759740416171,0,"1-2mm","predicted C1.T7.H9_S3"
"22","Euphausiidae",1,0.0160544284616371,0.0759566607902124,0.145934578917255,0.180579062313919,0.251376977910593,0.530022710616174,0,"1-2mm","predicted C1.T7.H9_S3"
"23","other",1,0.00190142105490837,0.019718530825481,0.0570839877102299,0.116234948335529,0.148798466295511,0.567524619756986,0,"1-2mm","predicted C1.T7.H9_S3"
"24","Calanidae",1,0.00520932041157809,0.0281694383794511,0.0611342515555024,0.0896515018073013,0.119508679001662,0.33720229665086,0,"1-2mm","predicted C1.T7.H9_S3"
"25","Salpidae",1,0.00316671570057296,0.0203708860581572,0.0481519529603578,0.080438004527779,0.103588443980197,0.342019470877503,0,"1-2mm","predicted C1.T7.H9_S3"
"26","Rhincalanidae",1,0.00317245965165882,0.0180522689341693,0.0379455115987992,0.0556255920642734,0.0727198949482554,0.211323278457578,0,"1-2mm","predicted C1.T7.H9_S3"
"27","Eucalanidae",1,0.0059621132593033,0.0227188068256439,0.0408914313353331,0.0527745756048856,0.0691529550591628,0.169332288821525,0,"1-2mm","predicted C1.T7.H9_S3"
"28","Oithonidae",1,0.00562745234833309,0.0190071470450719,0.0320981818428227,0.0387484195491804,0.0511560338550808,0.109785654838201,0,"1-2mm","predicted C1.T7.H9_S3"
"29","Clausocalanidae",1,0.00155893194768289,0.00703885364195976,0.0139114977311464,0.0210599941385237,0.0264957642376738,0.0831732521701523,0,"1-2mm","predicted C1.T7.H9_S3"
"30","Paracalanidae",1,0.00214241784282772,0.00760450793484133,0.0136639897522576,0.0180740858282622,0.0234189839825229,0.0596406826005347,0,"1-2mm","predicted C1.T7.H9_S3"
"31","Euphausiidae",NA,NA,NA,NA,0.743155798904928,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"32","Euphausiidae",NA,NA,NA,NA,0.637691113994251,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"33","Metridinidae",NA,NA,NA,NA,0.334478109338828,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"34","Metridinidae",NA,NA,NA,NA,0.256844201095072,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"35","Calanidae",NA,NA,NA,NA,0.0208603627667964,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"36","Eucalanidae",NA,NA,NA,NA,0.00572388002747462,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"37","Rhincalanidae",NA,NA,NA,NA,0.000890381337607164,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"38","other",NA,NA,NA,NA,0.000356152535042866,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"39","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"40","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"41","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"42","Eucalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"43","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"44","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
