"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Calanoida",NA,NA,NA,NA,1,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"2","Calanoida",NA,NA,NA,NA,0.997893997893998,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"3","Calanoida",NA,NA,NA,NA,0.996432612312812,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"4","Siphonophorae",NA,NA,NA,NA,0.00210600210600211,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"5","Euphausiacea",NA,NA,NA,NA,0.0020765391014975,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"6","Siphonophorae",NA,NA,NA,NA,0.00149084858569052,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"7","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"8","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"9","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"10","Euphausiacea",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"11","Euphausiacea",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"12","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"13","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"14","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"15","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"16","other",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"17","other",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"18","other",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"19","Calanoida",1,0.0443336518596924,0.239878951702506,0.454298298689749,0.46222744666474,0.674007643363863,0.921763346854595,0,"0.5-1mm","predicted C1.T7.H9_S2"
"20","Siphonophorae",1,0.0309646566190422,0.159642385317624,0.313978917872961,0.350031550188054,0.509472458311926,0.833910821234295,0,"0.5-1mm","predicted C1.T7.H9_S2"
"21","Cyclopoida",1,0.00236560981287796,0.0160228069181601,0.041255561210566,0.079163797202205,0.0990573404907376,0.377893420206049,0,"0.5-1mm","predicted C1.T7.H9_S2"
"22","other",1,0.000240457056394701,0.00410179117834442,0.0176562258844654,0.0723078794693526,0.0717190944008835,0.518413823668309,0,"0.5-1mm","predicted C1.T7.H9_S2"
"23","Salpida",1,6.52944008315622e-05,0.00117149711269752,0.00518623883352272,0.0287691145287654,0.0213381313124378,0.226934245381413,0,"0.5-1mm","predicted C1.T7.H9_S2"
"24","Euphausiacea",1,0.000300222843467357,0.00168613045164251,0.00381254648729986,0.0075002119468821,0.00846799084532807,0.0386672850228027,0,"0.5-1mm","predicted C1.T7.H9_S2"
"25","Calanoida",NA,NA,NA,NA,0.962023921071488,NA,NA,30,"0.5-1mm","C1.T8.H10_S2.2"
"26","Calanoida",NA,NA,NA,NA,0.904160084254871,NA,NA,30,"0.5-1mm","C1.T8.H10_S2.1"
"27","Euphausiacea",NA,NA,NA,NA,0.0837282780410742,NA,NA,30,"0.5-1mm","C1.T8.H10_S2.1"
"28","Euphausiacea",NA,NA,NA,NA,0.0318028991897702,NA,NA,30,"0.5-1mm","C1.T8.H10_S2.2"
