"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Calanoida",NA,NA,NA,NA,1,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"2","Calanoida",NA,NA,NA,NA,0.997893997893998,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"3","Calanoida",NA,NA,NA,NA,0.995769870302627,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"4","Siphonophorae",NA,NA,NA,NA,0.00210600210600211,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"5","Euphausiacea",NA,NA,NA,NA,0.00207515796474892,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"6","Siphonophorae",NA,NA,NA,NA,0.00148985700033256,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"7","other",NA,NA,NA,NA,0.00066511473229132,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"8","Collodaria",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"9","Collodaria",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"10","Collodaria",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"11","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"12","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"13","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"14","Euphausiacea",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"15","Euphausiacea",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"16","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"17","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.2"
"18","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"19","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"20","other",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.1"
"21","other",NA,NA,NA,NA,0,NA,NA,30,"0.5-1mm","C1.T7.H9_S2.3"
"22","Calanoida",1,0.0299124679950013,0.212019934506276,0.442712937888801,0.456837730207846,0.690615807609724,0.935097449320804,0,"0.5-1mm","predicted C1.T7.H9_S2"
"23","Siphonophorae",1,0.0236290106510556,0.143025207679599,0.288734520258499,0.326015009680335,0.47724633763387,0.80061523412644,0,"0.5-1mm","predicted C1.T7.H9_S2"
"24","other",1,0.00347719565531648,0.029539613850395,0.0731920812563165,0.118588055237839,0.159329964559171,0.494625094450909,0,"0.5-1mm","predicted C1.T7.H9_S2"
"25","Cyclopoida",1,0.00187171482837829,0.0123016422874312,0.031388809972593,0.0627525926405609,0.0755837895553939,0.318532538422352,0,"0.5-1mm","predicted C1.T7.H9_S2"
"26","Salpida",1,0.000121284366443847,0.00167862988875952,0.00643937075719469,0.0265304418137707,0.022004012189622,0.189635212140583,0,"0.5-1mm","predicted C1.T7.H9_S2"
"27","Euphausiacea",1,0.000309272950760631,0.00162368610721839,0.00347291014081318,0.00640509431432666,0.0073958677854918,0.0298287303424273,0,"0.5-1mm","predicted C1.T7.H9_S2"
"28","Collodaria",1,4.29450349796823e-05,0.000332741382475445,0.000933395519939905,0.0028710761053214,0.00268094800398915,0.0175320562768299,0,"0.5-1mm","predicted C1.T7.H9_S2"
