"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.973132724341752,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"2","Metridinidae",NA,NA,NA,NA,0.953016295310941,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"3","Metridinidae",NA,NA,NA,NA,0.937170937170937,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"4","Calanidae",NA,NA,NA,NA,0.0572130572130572,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"5","Calanidae",NA,NA,NA,NA,0.0337346192218158,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"6","Calanidae",NA,NA,NA,NA,0.0212848528270345,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"7","unidentified Calanoida",NA,NA,NA,NA,0.00736947123378783,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"8","other",NA,NA,NA,NA,0.00561600561600562,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"9","unidentified Calanoida",NA,NA,NA,NA,0.00471669950444803,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"10","other",NA,NA,NA,NA,0.00380445626870635,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"11","Euphausiidae",NA,NA,NA,NA,0.00207515796474892,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"12","other",NA,NA,NA,NA,0.000865723326765777,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"13","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"14","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"15","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"16","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"17","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"18","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"19","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"20","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"21","unidentified Calanoida",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"22","Metridinidae",1,0.556124341646089,0.783091343361933,0.855885197251179,0.830371874072418,0.904728601773703,0.957185896922796,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"23","Calanidae",1,0.00597694439664559,0.0244904844330427,0.0479691856846457,0.0710019327415591,0.0923179347915452,0.27078695353216,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"24","other",1,0.0152608319484972,0.0342021834569237,0.0500074933745803,0.0563334382249777,0.0717668277915436,0.131303668920763,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"25","unidentified Calanoida",1,0.00984328367932268,0.0195182297002504,0.0270887209233768,0.0298837640764254,0.0370362812005832,0.0650409947213622,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"26","Euphausiidae",1,0.000409579585554865,0.00193296264021308,0.00430298907386509,0.00832718406853437,0.0095176152286397,0.0399655105333611,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"27","Paracalanidae",1,2.68384759816945e-05,0.000276132525465277,0.00087111726344884,0.00353224512002532,0.00285458363657803,0.0231367385429678,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"28","Clausocalanidae",1,6.35010633392522e-06,5.3040115405703e-05,0.000155694696055399,0.0005495616960606,0.000460080034739517,0.00357213660900086,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"29","Calanidae",NA,NA,NA,NA,0.570300157977883,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S2.1"
