"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Calanoida",NA,NA,NA,NA,0.928819930419483,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"2","Calanoida",NA,NA,NA,NA,0.925274725274725,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"3","Calanoida",NA,NA,NA,NA,0.84083083916556,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"4","Euphausiacea",NA,NA,NA,NA,0.134752571055652,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"5","Euphausiacea",NA,NA,NA,NA,0.0747252747252747,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"6","Euphausiacea",NA,NA,NA,NA,0.0611162207915117,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"7","Cyclopoida",NA,NA,NA,NA,0.0144924274816032,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"8","other",NA,NA,NA,NA,0.00992416229718478,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"9","Cyclopoida",NA,NA,NA,NA,0.00726463256954719,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"10","other",NA,NA,NA,NA,0.00202609935884619,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"11","Siphonophorae",NA,NA,NA,NA,0.000613161648071873,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"12","Salpida",NA,NA,NA,NA,0.000159955212540489,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"13","Collodaria",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"14","Collodaria",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"15","Collodaria",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"16","Cyclopoida",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"17","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"18","Salpida",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"19","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"20","Siphonophorae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"21","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"22","Cyclopoida",1,0.049318422265322,0.141523212466092,0.220539167282483,0.241102484758269,0.321088774018836,0.54229707798093,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"23","Euphausiacea",1,0.0363241406592168,0.129502806383959,0.206915843103793,0.227487814164984,0.305062433118148,0.527658013809931,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"24","other",1,0.00959683583109885,0.0594146353065895,0.135643147613924,0.195297428793417,0.275427684568957,0.678484448247774,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"25","Salpida",1,0.027873806781782,0.0911812587564706,0.160828646258542,0.18966170384828,0.257767272839321,0.5191587960332,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"26","Calanoida",1,0.00735727830673827,0.0344689476662031,0.0631771491836343,0.0795124273072091,0.106663469359421,0.244564878534743,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"27","Siphonophorae",1,0.00405911291015745,0.0182521130171408,0.0376752589197251,0.0577885048261453,0.0727221118225665,0.232304324247166,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"28","Collodaria",1,3.10840860798669e-05,0.000465482531190689,0.00174433899360752,0.0091496363016961,0.00654685665589035,0.0624782063265253,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
