"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.381908360888049,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"2","Metridinidae",NA,NA,NA,NA,0.37503220517625,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"3","other",NA,NA,NA,NA,0.328586485536948,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"4","Euphausiidae",NA,NA,NA,NA,0.278302629507164,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"5","other",NA,NA,NA,NA,0.266257282317745,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"6","Euphausiidae",NA,NA,NA,NA,0.210094858882773,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"7","Calanidae",NA,NA,NA,NA,0.0832650193231057,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"8","Calanidae",NA,NA,NA,NA,0.0717997165800661,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"9","Eucalanidae",NA,NA,NA,NA,0.00170980208455323,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"10","Rhincalanidae",NA,NA,NA,NA,0.0013116289963696,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"11","Rhincalanidae",NA,NA,NA,NA,0.00102346087230357,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"12","Eucalanidae",NA,NA,NA,NA,0.000708549834671705,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"13","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"14","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"15","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"16","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"17","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"18","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"19","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"20","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"21","Metridinidae",1,0.0363838773138596,0.203436246894373,0.389283364392185,0.414751472354662,0.609732381884789,0.890116914881435,0,"1-2mm","predicted C1.T7.H9_S3"
"22","Euphausiidae",1,0.0153222506368303,0.10339417649815,0.22963129935092,0.287115068860953,0.428723252287117,0.810614747266385,0,"1-2mm","predicted C1.T7.H9_S3"
"23","other",1,0.0121116511320746,0.0508259944090392,0.0923070132144573,0.1148737027942,0.155322698407611,0.344793022479669,0,"1-2mm","predicted C1.T7.H9_S3"
"24","Eucalanidae",1,0.00266750358912969,0.0159929497606951,0.0362861957429397,0.060903131267741,0.079757394560682,0.259182994041331,0,"1-2mm","predicted C1.T7.H9_S3"
"25","Calanidae",1,0.00448733212428915,0.0214051966254768,0.042110212020405,0.0579206049968302,0.0755517554054804,0.207797018421657,0,"1-2mm","predicted C1.T7.H9_S3"
"26","Salpidae",1,0.000154030110897607,0.00221585039116572,0.00736979994200383,0.0247647986775246,0.0236620090854864,0.16883071094055,0,"1-2mm","predicted C1.T7.H9_S3"
"27","Rhincalanidae",1,0.0017514378945262,0.00756050501296325,0.014719958821518,0.0213907340805208,0.0272861188331811,0.0798236213416572,0,"1-2mm","predicted C1.T7.H9_S3"
"28","Oithonidae",1,0.000391828391483655,0.0023611850251671,0.0057800822958685,0.0114899074964493,0.0132767237919944,0.0593859380507194,0,"1-2mm","predicted C1.T7.H9_S3"
"29","Paracalanidae",1,0.00015095381874596,0.00087432611815116,0.0021000817923404,0.00432493746582025,0.00474398633558585,0.0232127875778744,0,"1-2mm","predicted C1.T7.H9_S3"
"30","Clausocalanidae",1,8.25265887359201e-05,0.000551172220592742,0.00128654008133346,0.00246564200529962,0.0028556273910381,0.0119153569110574,0,"1-2mm","predicted C1.T7.H9_S3"
"31","Euphausiidae",NA,NA,NA,NA,0.739017448335602,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"32","Euphausiidae",NA,NA,NA,NA,0.628072461226228,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"33","Metridinidae",NA,NA,NA,NA,0.329432988399188,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
