"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.735485698102521,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.3"
"2","Metridinidae",NA,NA,NA,NA,0.683103064951564,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.2"
"3","Metridinidae",NA,NA,NA,NA,0.638585059343728,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.1"
"4","Calanidae",NA,NA,NA,NA,0.111705841284617,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.1"
"5","Clausocalanidae",NA,NA,NA,NA,0.110076797765883,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.1"
"6","Calanidae",NA,NA,NA,NA,0.108424646657138,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.2"
"7","Clausocalanidae",NA,NA,NA,NA,0.094732370433305,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.3"
"8","unidentified Calanoida",NA,NA,NA,NA,0.0911214953271028,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.3"
"9","Clausocalanidae",NA,NA,NA,NA,0.0907178021279975,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.2"
"10","unidentified Calanoida",NA,NA,NA,NA,0.0717802127997459,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.2"
"11","Calanidae",NA,NA,NA,NA,0.0716510903426791,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.3"
"12","unidentified Calanoida",NA,NA,NA,NA,0.0695834303002094,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.1"
"13","other",NA,NA,NA,NA,0.0579474051663952,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.1"
"14","other",NA,NA,NA,NA,0.0367635381927902,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.2"
"15","Euphausiidae",NA,NA,NA,NA,0.00674924567254248,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.2"
"16","other",NA,NA,NA,NA,0.0065137354856981,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.3"
"17","Euphausiidae",NA,NA,NA,NA,0.00628345357225972,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.1"
"18","Eucalanidae",NA,NA,NA,NA,0.00418896904817314,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.1"
"19","Eucalanidae",NA,NA,NA,NA,0.00246148959822138,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.2"
"20","Paracalanidae",NA,NA,NA,NA,0.001629043518734,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.1"
"21","Eucalanidae",NA,NA,NA,NA,0.000495610308694421,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.3"
"22","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.3"
"23","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.1"
"24","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.2"
"25","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.3"
"26","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.2"
"27","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.3"
"28","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.1"
"29","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.2"
"30","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S2.3"
"31","Eucalanidae",1,0.0794094551172265,0.222659627514365,0.33581287222347,0.35583481395335,0.473306075451991,0.719284979508158,0,"0.5-1mm","predicted C3.T6.H25_S2"
"32","Clausocalanidae",1,0.0276783172688079,0.115189087100678,0.20291467243297,0.235047905956077,0.328721079496654,0.594570261464173,0,"0.5-1mm","predicted C3.T6.H25_S2"
"33","Calanidae",1,0.00675734712760102,0.0389953140986229,0.0882511587964996,0.133781403346842,0.183423092772612,0.502402730611768,0,"0.5-1mm","predicted C3.T6.H25_S2"
"34","Metridinidae",1,0.0234342349450031,0.0555737433523457,0.0825948278477207,0.0935283429304559,0.11979396817865,0.226441774592458,0,"0.5-1mm","predicted C3.T6.H25_S2"
"35","unidentified Calanoida",1,0.0226058298589705,0.0546886738198356,0.0807044956461637,0.0896730901014765,0.114267357851326,0.209776353800675,0,"0.5-1mm","predicted C3.T6.H25_S2"
"36","other",1,0.00217715677449021,0.0123321818668984,0.0262656554233212,0.0399963388003682,0.0518519582004782,0.15776445661162,0,"0.5-1mm","predicted C3.T6.H25_S2"
"37","Paracalanidae",1,0.00198351813094924,0.00729089104501083,0.013711034855441,0.01986937518588,0.024631362169464,0.076413320806699,0,"0.5-1mm","predicted C3.T6.H25_S2"
"38","Euphausiidae",1,0.000618548231029517,0.00411807515884175,0.00963512738872034,0.0175534706713139,0.0213149597182945,0.0811479257191297,0,"0.5-1mm","predicted C3.T6.H25_S2"
"39","Oithonidae",1,0.000721026815915078,0.00349688668586261,0.00764218617337581,0.0133982642277301,0.0158520094624844,0.0620790285727515,0,"0.5-1mm","predicted C3.T6.H25_S2"
"40","Rhincalanidae",1,1.89416417735492e-05,0.000161165825135821,0.000469251923346988,0.00131699482650636,0.00128705298525428,0.0077729918556419,0,"0.5-1mm","predicted C3.T6.H25_S2"
"41","Calanidae",NA,NA,NA,NA,0.698679471788715,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.3"
"42","Calanidae",NA,NA,NA,NA,0.601858085364212,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.1"
"43","Calanidae",NA,NA,NA,NA,0.556230407523511,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.2"
"44","unidentified Calanoida",NA,NA,NA,NA,0.205282112845138,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.3"
"45","unidentified Calanoida",NA,NA,NA,NA,0.186373432601881,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.2"
"46","unidentified Calanoida",NA,NA,NA,NA,0.17234414972398,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.1"
"47","Metridinidae",NA,NA,NA,NA,0.140527037617555,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.2"
"48","Metridinidae",NA,NA,NA,NA,0.136798168843409,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.1"
"49","Metridinidae",NA,NA,NA,NA,0.0960384153661465,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.3"
"50","Clausocalanidae",NA,NA,NA,NA,0.0564753134796238,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.2"
"51","Clausocalanidae",NA,NA,NA,NA,0.0483371482428975,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.1"
"52","other",NA,NA,NA,NA,0.0450137147335423,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.2"
"53","other",NA,NA,NA,NA,0.0288137875319779,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.1"
"54","Euphausiidae",NA,NA,NA,NA,0.0145474137931034,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.2"
"55","Euphausiidae",NA,NA,NA,NA,0.0106368654907769,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.1"
"56","Eucalanidae",NA,NA,NA,NA,0.00121179480274673,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.1"
"57","Eucalanidae",NA,NA,NA,NA,0.000832680250783699,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.2"
"58","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.3"
"59","Eucalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.3"
"60","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.3"
"61","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.1"
"62","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.2"
"63","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.3"
"64","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.1"
"65","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.2"
"66","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.3"
"67","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.1"
"68","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.2"
"69","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.3"
"70","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S2.3"
"71","Calanidae",1,0.0839508456593855,0.325752956363079,0.507876038747112,0.500795226844636,0.683070040330354,0.882093381600775,0,"0.5-1mm","predicted C3.T7.H26_S2"
"72","unidentified Calanoida",1,0.0329304651318502,0.109685467746529,0.177310190364566,0.193435256754247,0.260496428676655,0.444954078746764,0,"0.5-1mm","predicted C3.T7.H26_S2"
"73","Eucalanidae",1,0.0151488900731447,0.0584203687619259,0.108827067696461,0.136954030089373,0.187092762845535,0.415814758828085,0,"0.5-1mm","predicted C3.T7.H26_S2"
"74","Clausocalanidae",1,0.00277818700633715,0.0197142246626521,0.0475681342398369,0.075816895628896,0.102606171873679,0.301096438083657,0,"0.5-1mm","predicted C3.T7.H26_S2"
"75","Euphausiidae",1,0.00328208882896966,0.0139018776517428,0.0262771014379626,0.0374410830534429,0.0476240684930144,0.136706694014886,0,"0.5-1mm","predicted C3.T7.H26_S2"
"76","other",1,0.00037992991243731,0.00413084788366192,0.0123142411755631,0.0280056906703117,0.0325807621716155,0.15329225217591,0,"0.5-1mm","predicted C3.T7.H26_S2"
"77","Metridinidae",1,0.0022320026264801,0.00806587157154771,0.0140067949789147,0.0169626714125435,0.0224810917496107,0.0487045425427896,0,"0.5-1mm","predicted C3.T7.H26_S2"
"78","Oithonidae",1,0.000128021695510008,0.00100805652897247,0.00273742601035916,0.00680709908065407,0.00721609158082939,0.0386790437796603,0,"0.5-1mm","predicted C3.T7.H26_S2"
"79","Paracalanidae",1,8.23011965506399e-05,0.000507733696369417,0.00126117317184523,0.00263065779076661,0.00295333235344858,0.0133059012217296,0,"0.5-1mm","predicted C3.T7.H26_S2"
"80","Rhincalanidae",1,2.38183767599216e-05,0.000166344765515493,0.00043797209784337,0.00115138867513009,0.00113067894963001,0.00648301668691434,0,"0.5-1mm","predicted C3.T7.H26_S2"
"81","Metridinidae",NA,NA,NA,NA,0.900584171925635,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"82","Metridinidae",NA,NA,NA,NA,0.835283661679751,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"83","Metridinidae",NA,NA,NA,NA,0.834718100890208,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"84","Calanidae",NA,NA,NA,NA,0.102077151335312,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"85","Calanidae",NA,NA,NA,NA,0.0993334320841357,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"86","Calanidae",NA,NA,NA,NA,0.0668386491557223,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"87","unidentified Calanoida",NA,NA,NA,NA,0.0340986520515479,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"88","unidentified Calanoida",NA,NA,NA,NA,0.0329562314540059,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"89","unidentified Calanoida",NA,NA,NA,NA,0.0185272045028143,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"90","other",NA,NA,NA,NA,0.016530884313435,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"91","other",NA,NA,NA,NA,0.0130007418397626,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"92","Clausocalanidae",NA,NA,NA,NA,0.00790059347181009,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"93","Euphausiidae",NA,NA,NA,NA,0.00684343060287365,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"94","Euphausiidae",NA,NA,NA,NA,0.00591617210682493,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"95","Clausocalanidae",NA,NA,NA,NA,0.0050659161605688,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"96","Clausocalanidae",NA,NA,NA,NA,0.00498891352549889,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"97","Rhincalanidae",NA,NA,NA,NA,0.004583830803343,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"98","other",NA,NA,NA,NA,0.00358178406958895,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"99","Rhincalanidae",NA,NA,NA,NA,0.00324554896142433,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"100","Rhincalanidae",NA,NA,NA,NA,0.00284402310768775,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"101","Euphausiidae",NA,NA,NA,NA,0.000895446017397237,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"102","Paracalanidae",NA,NA,NA,NA,0.000111275964391691,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"103","Eucalanidae",NA,NA,NA,NA,7.41839762611276e-05,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"104","Eucalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"105","Eucalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"106","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"107","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.2"
"108","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"109","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.1"
"110","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S2.3"
"111","Metridinidae",1,0.051893505570231,0.175168542816691,0.273091200045269,0.28732543097464,0.385675346545403,0.594033487378765,0,"0.5-1mm","predicted CT1.T1.H28_S2"
"112","Calanidae",1,0.0261478782482449,0.110966765911783,0.203620563466018,0.234540758913974,0.328966039295141,0.602515406887782,0,"0.5-1mm","predicted CT1.T1.H28_S2"
"113","Rhincalanidae",1,0.0193827643304963,0.081924072835982,0.156847386279792,0.199945722301259,0.275235533765096,0.614403318765836,0,"0.5-1mm","predicted CT1.T1.H28_S2"
"114","unidentified Calanoida",1,0.0176720741494377,0.0498945599191362,0.0735665004717965,0.0808069596710244,0.104224065572893,0.186898554080593,0,"0.5-1mm","predicted CT1.T1.H28_S2"
"115","Euphausiidae",1,0.00307521949422954,0.0151793629270512,0.0321518130988452,0.0513157666273449,0.0653123736682911,0.217700282644298,0,"0.5-1mm","predicted CT1.T1.H28_S2"
