"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Euphausia",NA,NA,NA,NA,0.40186305921443,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"2","other",NA,NA,NA,NA,0.298593805624777,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"3","Ctenocalanus",NA,NA,NA,NA,0.236353387919782,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"4","Calanus",NA,NA,NA,NA,0.0564257742969028,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"5","Pleuromamma",NA,NA,NA,NA,0.00474664768007595,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"6","Rosacea",NA,NA,NA,NA,0.00201732526403228,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"7","Euphausia",1,0.0601656729530508,0.191940077693351,0.304728790129993,0.331719693876279,0.451029786918163,0.728726188792875,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"8","Rosacea",1,0.0697793080173805,0.197203788825447,0.294569114288328,0.314973899909345,0.417156563527042,0.663913301596782,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"9","Calanus",1,0.0132911156305971,0.0745370239302497,0.157789698038689,0.213325070559717,0.301083126836271,0.686533176334552,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"10","Ctenocalanus",1,0.00484555545489535,0.0227839724520023,0.045542989733375,0.0686979767079441,0.0899079508599005,0.258752859109682,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"11","other",1,0.0028091390727538,0.0136024341821581,0.0301212197497294,0.0495052475370277,0.0625343801861,0.213637363419239,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"12","Pleuromamma",1,0.00145527277120887,0.00680924054405278,0.0139633805919065,0.0217781114096873,0.0271978004433419,0.0902203654166074,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"13","Euphausia",NA,NA,NA,NA,0.829610162067455,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"14","Euphausia",NA,NA,NA,NA,0.546621801115735,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"15","other",NA,NA,NA,NA,0.215000442752147,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"16","Ctenocalanus",NA,NA,NA,NA,0.190914725936421,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"17","Ctenocalanus",NA,NA,NA,NA,0.136662286465177,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"18","Calanus",NA,NA,NA,NA,0.0460462233241831,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"19","Calanus",NA,NA,NA,NA,0.020586946999562,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"20","other",NA,NA,NA,NA,0.0131406044678055,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"21","Pleuromamma",NA,NA,NA,NA,0.00141680687151333,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"22","Pleuromamma",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"23","Rosacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"24","Rosacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"25","Euphausia",1,0.0933783335336136,0.58500674916245,0.833345291390473,0.733774821858199,0.941128167184354,0.993490342835288,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"26","Calanus",1,0.000814955092492825,0.0158104459698072,0.0672226840000623,0.18165971200923,0.255900387289246,0.863051967424964,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"27","Rosacea",1,0.000404592835157138,0.00446094363343839,0.0148431351856207,0.0419167783824439,0.0424817143258175,0.273190869344626,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"28","Ctenocalanus",1,8.23991955478348e-05,0.00153267963427069,0.00671714986803505,0.0353766159903556,0.0264926294007039,0.289252530696717,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"29","other",1,8.05943550478523e-06,0.000164445667485248,0.000782365586645184,0.00637685971697336,0.00374269359422004,0.0509117810637542,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"30","Pleuromamma",1,2.18575749743423e-06,3.70324929560239e-05,0.000151567479653104,0.00089521204279824,0.000563282059647868,0.006010315345617,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"31","Euphausia",NA,NA,NA,NA,0.847260909935005,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"32","Euphausia",NA,NA,NA,NA,0.802415875754961,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"33","Euphausia",NA,NA,NA,NA,0.765184539378088,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"34","Ctenocalanus",NA,NA,NA,NA,0.147540983606557,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"35","Ctenocalanus",NA,NA,NA,NA,0.129322871258355,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"36","Ctenocalanus",NA,NA,NA,NA,0.118558495821727,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"37","other",NA,NA,NA,NA,0.0767218831734961,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"38","Calanus",NA,NA,NA,NA,0.0250215703192407,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"39","Calanus",NA,NA,NA,NA,0.024508379347089,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"40","Calanus",NA,NA,NA,NA,0.0174675023212628,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"41","other",NA,NA,NA,NA,0.0136374187558032,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"42","other",NA,NA,NA,NA,0.0120793787748059,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"43","Pleuromamma",NA,NA,NA,NA,0.00776531492666091,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"44","Rosacea",NA,NA,NA,NA,0.00517687661777394,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"45","Pleuromamma",NA,NA,NA,NA,0.00290613193839,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"46","Pleuromamma",NA,NA,NA,NA,0.00249535747446611,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"47","Rosacea",NA,NA,NA,NA,0.001356194904582,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"48","Rosacea",NA,NA,NA,NA,0.000580315691736304,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"49","Euphausia",1,0.119302318533558,0.82843929052148,0.964667387271473,0.85262468587866,0.992649167713674,0.999655131981709,0,"0.2-0.5mm","predicted C2.T8.H18_S1"
"50","Calanus",1,1.16207878567438e-05,0.000852108426180517,0.00747717650448057,0.0958630905210896,0.0663111694608972,0.822080803925826,0,"0.2-0.5mm","predicted C2.T8.H18_S1"
"51","Rosacea",1,3.92513956724632e-05,0.00105435359055488,0.00555161009302327,0.039081214968292,0.0263106541647938,0.350291558965604,0,"0.2-0.5mm","predicted C2.T8.H18_S1"
"52","Ctenocalanus",1,6.16502016141483e-07,3.9141991491816e-05,0.000318174806533215,0.0119369785490337,0.00245305438276909,0.111166702049631,0,"0.2-0.5mm","predicted C2.T8.H18_S1"
"53","other",1,4.81107313848895e-09,3.88156272320368e-07,3.8734159482826e-06,0.000359560753600066,3.84422354302089e-05,0.00207403240443149,0,"0.2-0.5mm","predicted C2.T8.H18_S1"
"54","Pleuromamma",1,6.86028605709676e-09,3.6955365322219e-07,2.78418668871977e-06,0.000134469329325069,1.95272579772703e-05,0.000697577659117397,0,"0.2-0.5mm","predicted C2.T8.H18_S1"
"55","other",NA,NA,NA,NA,0.680115273775216,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.1"
"56","other",NA,NA,NA,NA,0.651624548736462,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.3"
"57","other",NA,NA,NA,NA,0.57492141110723,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.2"
"58","Ctenocalanus",NA,NA,NA,NA,0.367272092210968,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.2"
"59","Ctenocalanus",NA,NA,NA,NA,0.348375451263538,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.3"
"60","Ctenocalanus",NA,NA,NA,NA,0.268011527377522,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.1"
"61","Pleuromamma",NA,NA,NA,NA,0.0494236814530213,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.2"
"62","Pleuromamma",NA,NA,NA,NA,0.0345821325648415,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.1"
"63","Euphausia",NA,NA,NA,NA,0.0172910662824208,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.1"
"64","Euphausia",NA,NA,NA,NA,0.008382815228781,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.2"
"65","Calanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.1"
"66","Calanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.2"
"67","Calanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.3"
"68","Pleuromamma",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.3"
"69","Euphausia",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.3"
"70","Rosacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.1"
"71","Rosacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.2"
"72","Rosacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T6.H25_S1.3"
"73","Euphausia",1,0.0243445311141868,0.721155370203412,0.956971881332864,0.798146180771019,0.994767324338012,0.999916472288803,0,"0.2-0.5mm","predicted C3.T6.H25_S1"
"74","Ctenocalanus",1,1.2195374045614e-06,0.000277350622199425,0.00418306764268417,0.0982805233862618,0.0544493203892397,0.869302502125884,0,"0.2-0.5mm","predicted C3.T6.H25_S1"
"75","Rosacea",1,8.54673436912462e-06,0.000571459786035286,0.00457204764676138,0.0582238539148424,0.0316116969701246,0.583461467335154,0,"0.2-0.5mm","predicted C3.T6.H25_S1"
"76","Calanus",1,2.82132917546872e-08,1.03108858481509e-05,0.000188006687740612,0.0345020968654331,0.00348227526865491,0.504587501014383,0,"0.2-0.5mm","predicted C3.T6.H25_S1"
"77","other",1,6.83601761759415e-09,2.54964708045793e-06,4.63000789532189e-05,0.00821210200136725,0.00076054944227364,0.0692356594893696,0,"0.2-0.5mm","predicted C3.T6.H25_S1"
"78","Pleuromamma",1,1.52719369378457e-08,2.85310339282377e-06,3.3370267457052e-05,0.00263524306107604,0.000337761744157282,0.0158969365866522,0,"0.2-0.5mm","predicted C3.T6.H25_S1"
"79","other",NA,NA,NA,NA,0.836186770428016,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.3"
"80","other",NA,NA,NA,NA,0.724474751197936,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.1"
"81","other",NA,NA,NA,NA,0.5867707172055,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.2"
"82","Ctenocalanus",NA,NA,NA,NA,0.398550724637681,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.2"
"83","Ctenocalanus",NA,NA,NA,NA,0.232030962034648,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.1"
"84","Ctenocalanus",NA,NA,NA,NA,0.119455252918288,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.3"
"85","Pleuromamma",NA,NA,NA,NA,0.0357537781054184,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.1"
"86","Calanus",NA,NA,NA,NA,0.0252918287937743,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.3"
"87","Pleuromamma",NA,NA,NA,NA,0.0128205128205128,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.2"
"88","Euphausia",NA,NA,NA,NA,0.0108949416342412,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.3"
"89","Pleuromamma",NA,NA,NA,NA,0.00817120622568093,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.3"
"90","Euphausia",NA,NA,NA,NA,0.00774050866199779,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.1"
"91","Euphausia",NA,NA,NA,NA,0.00185804533630621,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.2"
"92","Calanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.1"
"93","Calanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.2"
"94","Rosacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.1"
"95","Rosacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.2"
"96","Rosacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S1.3"
"97","Euphausia",1,0.000538976053747755,0.18863497919832,0.798433300166208,0.619142084746212,0.984775117072357,0.99991150757908,0,"0.2-0.5mm","predicted C3.T7.H26_S1"
"98","Ctenocalanus",1,1.52371692054586e-06,0.00118981884616913,0.0299527349878854,0.230740034640659,0.381425863076356,0.989282428251997,0,"0.2-0.5mm","predicted C3.T7.H26_S1"
"99","Rosacea",1,1.39277517984192e-06,0.000185827540298744,0.00204426172426558,0.0513076677974968,0.0197827743884023,0.562625015288929,0,"0.2-0.5mm","predicted C3.T7.H26_S1"
"100","Calanus",1,1.12311645648179e-09,1.90229946761402e-06,6.51310325089142e-05,0.0434049988184262,0.0024237074188803,0.701456257192466,0,"0.2-0.5mm","predicted C3.T7.H26_S1"
"101","other",1,1.09358046235172e-08,1.43313759183077e-05,0.000362730710275331,0.0419040002062294,0.00792411377798737,0.557584654794964,0,"0.2-0.5mm","predicted C3.T7.H26_S1"
"102","Pleuromamma",1,2.02262709023581e-08,1.02527888015727e-05,0.000160614452077323,0.013501213790976,0.00188117426364431,0.128731846783671,0,"0.2-0.5mm","predicted C3.T7.H26_S1"
"103","other",NA,NA,NA,NA,0.513499745287825,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"104","Ctenocalanus",NA,NA,NA,NA,0.508474576271186,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"105","other",NA,NA,NA,NA,0.471621621621622,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
