"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Euphausia",NA,NA,NA,NA,0.592388812471343,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"2","Euphausia",NA,NA,NA,NA,0.390961130089558,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"3","Rosacea",NA,NA,NA,NA,0.279567906933801,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"4","other",NA,NA,NA,NA,0.266134244298772,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"5","other",NA,NA,NA,NA,0.20861989912884,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"6","Rosacea",NA,NA,NA,NA,0.143512150389729,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"7","Calanus",NA,NA,NA,NA,0.0619979687932786,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"8","Calanus",NA,NA,NA,NA,0.0554791380100871,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"9","Pleuromamma",NA,NA,NA,NA,0.00133874988459053,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"10","Pleuromamma",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"11","Rosacea",1,0.400022328331292,0.823049214146193,0.922967367578201,0.864971018867021,0.967214640582183,0.994277870861776,0,"1-2mm","predicted C1.T7.H9_S3"
"12","Calanus",1,0.000294093999501476,0.00428137880757333,0.0146691656538808,0.0466079230459321,0.0482121537888961,0.314100601340462,0,"1-2mm","predicted C1.T7.H9_S3"
"13","Euphausia",1,0.00385534366405157,0.0169489590776814,0.0325633292055572,0.0460864287005283,0.0594832534563412,0.168426915608998,0,"1-2mm","predicted C1.T7.H9_S3"
"14","other",1,0.000115325045697048,0.00184308521679386,0.00690671717416251,0.0230182131993876,0.023112108563379,0.148250428189725,0,"1-2mm","predicted C1.T7.H9_S3"
"15","Pleuromamma",1,0.000111334072905482,0.00162703625432583,0.00583025773199922,0.0193164161871309,0.0189261233933614,0.124291017980195,0,"1-2mm","predicted C1.T7.H9_S3"
"16","Euphausia",NA,NA,NA,NA,0.99362962962963,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"17","Euphausia",NA,NA,NA,NA,0.956318599822011,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"18","Rosacea",NA,NA,NA,NA,0.0300726787303471,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"19","Calanus",NA,NA,NA,NA,0.00793533076238505,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"20","Rosacea",NA,NA,NA,NA,0.00607407407407407,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"21","other",NA,NA,NA,NA,0.00459804212399881,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"22","Pleuromamma",NA,NA,NA,NA,0.00107534856125779,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"23","Pleuromamma",NA,NA,NA,NA,0.000296296296296296,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"24","Calanus",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"25","other",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"26","Rosacea",1,0.198928250382465,0.525255000304201,0.698346782780909,0.664906544265168,0.833772066929577,0.963391900680151,0,"1-2mm","predicted C1.T8.H10_S3"
"27","Euphausia",1,0.0334481411204144,0.14083749538051,0.242125256672247,0.268700753497548,0.367497836115577,0.654565169141216,0,"1-2mm","predicted C1.T8.H10_S3"
