"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridia",NA,NA,NA,NA,0.355456285896618,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"2","Metridia",NA,NA,NA,NA,0.302392200221128,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"3","other",NA,NA,NA,NA,0.265604583375214,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"4","Calanus",NA,NA,NA,NA,0.222718570516911,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"5","Calanus",NA,NA,NA,NA,0.166046838878279,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"6","other",NA,NA,NA,NA,0.132418634333121,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"7","Pleuromamma",NA,NA,NA,NA,0.121250797702616,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"8","unidentified Calanoida",NA,NA,NA,NA,0.110721123165284,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"9","Pleuromamma",NA,NA,NA,NA,0.101970047240929,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"10","unidentified Calanoida",NA,NA,NA,NA,0.0485475927228867,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"11","Rosacea",NA,NA,NA,NA,0.04427580661373,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"12","Euphausia",NA,NA,NA,NA,0.03713941099608,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"13","Sagitta",NA,NA,NA,NA,0.0271218889597958,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"14","Sagitta",NA,NA,NA,NA,0.0229671323751131,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"15","Rosacea",NA,NA,NA,NA,0.0169112954690491,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"16","Euphausia",NA,NA,NA,NA,0.013401403956605,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"17","Euchaeta",NA,NA,NA,NA,0.00567896270982008,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"18","Acrocalanus",NA,NA,NA,NA,0.00371896673032466,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"19","Muggiaea",NA,NA,NA,NA,0.00125640767916373,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"20","Eucalanus",NA,NA,NA,NA,0.000402050457332395,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"21","Acrocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"22","Ctenocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"23","Ctenocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"24","Ditrichocorycaeus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"25","Ditrichocorycaeus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"26","Eucalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"27","Euchaeta",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"28","Muggiaea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"29","Pyroteuthis",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"30","Pyroteuthis",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"31","Metridia",1,0.409805234631351,0.613421616592128,0.705239003196844,0.690437732977531,0.783029434159535,0.886903913789236,0,"0.5-1mm","predicted C1.T7.H9_S2"
"32","Rosacea",1,0.0163053733160431,0.0472938006482727,0.0809345003606233,0.102914320531484,0.134486872507551,0.311353287638251,0,"0.5-1mm","predicted C1.T7.H9_S2"
"33","unidentified Calanoida",1,0.00903626672476662,0.0253027773975517,0.0419804760333722,0.0552125173022078,0.070160934600775,0.178275768643374,0,"0.5-1mm","predicted C1.T7.H9_S2"
"34","Pleuromamma",1,0.00764050124044053,0.0220958343522175,0.0367185242288393,0.0463393682743136,0.0592144612570017,0.142019881075778,0,"0.5-1mm","predicted C1.T7.H9_S2"
"35","Euchaeta",1,0.00217377939313596,0.00796383057619469,0.0156292522054294,0.0245152320331507,0.0298102235473465,0.102063904701537,0,"0.5-1mm","predicted C1.T7.H9_S2"
"36","Pyroteuthis",1,0.000698737869126493,0.00360758576586816,0.00825742411184367,0.0165562821987023,0.0187274808032614,0.0831486019935737,0,"0.5-1mm","predicted C1.T7.H9_S2"
"37","Calanus",1,0.00106749969946354,0.00439314379277552,0.00924645696286408,0.0159902896547442,0.0190366567110748,0.0717141124379519,0,"0.5-1mm","predicted C1.T7.H9_S2"
"38","Muggiaea",1,0.00226452384314722,0.0066560216895291,0.0112873570625213,0.0152351421487499,0.019007572233285,0.0513867100619241,0,"0.5-1mm","predicted C1.T7.H9_S2"
