"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Euphausiacea",NA,NA,NA,NA,0.537437603993344,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"2","Euphausiacea",NA,NA,NA,NA,0.327861871394836,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"3","Calanoida",NA,NA,NA,NA,0.246486779451047,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"4","Siphonophorae",NA,NA,NA,NA,0.236498780535016,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"5","Calanoida",NA,NA,NA,NA,0.229201331114809,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"6","other",NA,NA,NA,NA,0.181332507452286,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"7","Siphonophorae",NA,NA,NA,NA,0.130199667221298,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"8","other",NA,NA,NA,NA,0.103161397670549,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"9","Aphragmophora",NA,NA,NA,NA,0.00615539468080988,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"10","Halocyprida",NA,NA,NA,NA,0.00166466648600519,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"11","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"12","Halocyprida",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"13","Siphonophorae",1,0.38400479576537,0.727587945277569,0.84934037939922,0.801440406754572,0.919562215560584,0.979957722014442,0,"1-2mm","predicted C1.T7.H9_S3"
"14","Euphausiacea",1,0.00813831823878801,0.0357124080131265,0.0719649058746548,0.105222709527504,0.13947991633366,0.389334895827273,0,"1-2mm","predicted C1.T7.H9_S3"
"15","other",1,0.00197639250141951,0.010490486759278,0.0232073984353838,0.0391957789768785,0.0478601328494707,0.172541244175929,0,"1-2mm","predicted C1.T7.H9_S3"
"16","Calanoida",1,0.0010242969668394,0.00658560434794988,0.0155022672681741,0.0289594752812328,0.034329736861109,0.142407908943549,0,"1-2mm","predicted C1.T7.H9_S3"
"17","Aphragmophora",1,0.000505712438772952,0.00340152689608481,0.00849000513194124,0.01896014618669,0.0206930954749452,0.104032366151099,0,"1-2mm","predicted C1.T7.H9_S3"
"18","Halocyprida",1,0.000130050011657131,0.000943940428780394,0.00249867463519763,0.00622148327312261,0.00643183071437115,0.0350336456703131,0,"1-2mm","predicted C1.T7.H9_S3"
"19","Euphausiacea",NA,NA,NA,NA,0.982566656900088,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"20","Euphausiacea",NA,NA,NA,NA,0.900823849752147,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"21","Halocyprida",NA,NA,NA,NA,0.0411226698317392,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"22","Siphonophorae",NA,NA,NA,NA,0.028485652447113,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"23","other",NA,NA,NA,NA,0.0176289883404315,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"24","Calanoida",NA,NA,NA,NA,0.0119388396285694,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"25","Halocyprida",NA,NA,NA,NA,0.0101084090243188,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"26","Siphonophorae",NA,NA,NA,NA,0.00600644594198652,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"27","other",NA,NA,NA,NA,0.00102549077058306,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"28","Calanoida",NA,NA,NA,NA,0.000292997363023733,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"29","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"30","Aphragmophora",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"31","Euphausiacea",1,0.128190770485521,0.363272498990641,0.523936085087831,0.518861289786326,0.673851272380652,0.884803210524513,0,"1-2mm","predicted C1.T8.H10_S3"
"32","Siphonophorae",1,0.0256094157931752,0.112814403565181,0.224258474993884,0.2682510759371,0.381485084289075,0.743079926582862,0,"1-2mm","predicted C1.T8.H10_S3"
"33","Halocyprida",1,0.0137878645573296,0.0705601879908045,0.151356429526658,0.207433211212538,0.295574515903887,0.676574705413541,0,"1-2mm","predicted C1.T8.H10_S3"
"34","other",1,0.000303178911056628,0.00130301572741092,0.00256447869160301,0.00406966682556175,0.00498651868541631,0.0168791705643803,0,"1-2mm","predicted C1.T8.H10_S3"
"35","Calanoida",1,7.15914324268726e-05,0.000307023079914405,0.00062012939421074,0.0010367457030096,0.00124000892999974,0.0045649244565022,0,"1-2mm","predicted C1.T8.H10_S3"
"36","Aphragmophora",1,2.41308641977775e-06,2.59167754130332e-05,8.10256836739292e-05,0.000348010535465218,0.000258355697032207,0.00222079666523688,0,"1-2mm","predicted C1.T8.H10_S3"
"37","Siphonophorae",NA,NA,NA,NA,0.502984885050171,NA,NA,30,"1-2mm","C2.T8.H18_S3.2"
"38","Euphausiacea",NA,NA,NA,NA,0.425187349168043,NA,NA,30,"1-2mm","C2.T8.H18_S3.2"
"39","Calanoida",NA,NA,NA,NA,0.0386129810745586,NA,NA,30,"1-2mm","C2.T8.H18_S3.2"
"40","other",NA,NA,NA,NA,0.0312460307379652,NA,NA,30,"1-2mm","C2.T8.H18_S3.2"
"41","Halocyprida",NA,NA,NA,NA,0.00177822939159152,NA,NA,30,"1-2mm","C2.T8.H18_S3.2"
"42","Aphragmophora",NA,NA,NA,NA,0.000190524577670519,NA,NA,30,"1-2mm","C2.T8.H18_S3.2"
"43","Siphonophorae",1,0.635031478489374,0.903615530631546,0.955353232457962,0.920592140132827,0.979552946804971,0.995702082923742,0,"1-2mm","predicted C2.T8.H18_S3"
"44","Euphausiacea",1,0.00258800889462512,0.0142755566067593,0.0321203129356617,0.0608540004109159,0.0720898666400776,0.300859525342712,0,"1-2mm","predicted C2.T8.H18_S3"
"45","Halocyprida",1,7.12395043935023e-05,0.000660758383162802,0.00199711340214072,0.00728239722455966,0.0060154541309682,0.0497279424916024,0,"1-2mm","predicted C2.T8.H18_S3"
