"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","other",NA,NA,NA,NA,0.363234440613158,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"2","unidentified Calanoida",NA,NA,NA,NA,0.232102010856577,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"3","Euphausia",NA,NA,NA,NA,0.231231436277355,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"4","Ctenocalanus",NA,NA,NA,NA,0.135997405346352,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"5","Calanus",NA,NA,NA,NA,0.0324673107780547,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"6","Pleuromamma",NA,NA,NA,NA,0.00273121436618757,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"7","Rosacea",NA,NA,NA,NA,0.00116076610562972,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"8","Sagitta",NA,NA,NA,NA,0.00107541565668635,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"9","Euphausia",1,0.0457791674451284,0.133591776574487,0.214897482488064,0.24004058137074,0.320198571888934,0.568361203432349,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"10","Rosacea",1,0.0462003059690005,0.133498574614101,0.206100800434811,0.227769519842761,0.300020676455411,0.525056074646842,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"11","unidentified Calanoida",1,0.0108111538444268,0.0637783542704283,0.135552283881317,0.179590756078363,0.251746908049905,0.581719811151359,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"12","Calanus",1,0.00700733042424804,0.0442162838235165,0.105369194767023,0.163412621631642,0.225541974037841,0.616592298252386,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"13","Sagitta",1,0.00173356345480752,0.0132818953215654,0.0350910589266371,0.0736462207250347,0.0892149885672638,0.386366354675092,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"14","Ctenocalanus",1,0.00304886178364186,0.0148373610091239,0.0316983218078509,0.0501514610935009,0.0641258144917583,0.206915072720957,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"15","other",1,0.00237671510070264,0.0127055220393051,0.0280743926829198,0.0480161161081186,0.060536875290038,0.211532692536408,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"16","Pleuromamma",1,0.000924983932617921,0.00456456672121341,0.0101364740241353,0.0173727231498402,0.0211391497654663,0.0773532331641464,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"17","Euphausia",NA,NA,NA,NA,0.462176671547096,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"18","unidentified Calanoida",NA,NA,NA,NA,0.438506588579795,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"19","Euphausia",NA,NA,NA,NA,0.408564431795619,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
