"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.977744451109778,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"2","Metridinidae",NA,NA,NA,NA,0.962180528881666,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"3","Metridinidae",NA,NA,NA,NA,0.939148786493141,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"4","Calanidae",NA,NA,NA,NA,0.0573338023214914,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"5","Calanidae",NA,NA,NA,NA,0.0340590123423629,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"6","Calanidae",NA,NA,NA,NA,0.0213857228554289,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"7","Rhincalanidae",NA,NA,NA,NA,0.00351741118536757,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"8","Euphausiidae",NA,NA,NA,NA,0.00209511274661223,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"9","Rhincalanidae",NA,NA,NA,NA,0.0010609865832203,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"10","Rhincalanidae",NA,NA,NA,NA,0.000869826034793041,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"11","other",NA,NA,NA,NA,0.000604359446138143,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"12","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"13","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"14","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"15","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"16","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"17","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"18","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"19","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"20","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"21","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"22","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"23","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"24","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"25","Metridinidae",1,0.11388549990558,0.44624314760728,0.630285126798279,0.593061648454498,0.766261853309996,0.916081354756889,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"26","Rhincalanidae",1,0.00914940432144847,0.05950345236903,0.135313297743881,0.193858567504428,0.271231440094085,0.683981399535283,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"27","other",1,0.0049423166103265,0.0265315494888581,0.0572352854779154,0.0920400913065106,0.117275224241231,0.391443313822123,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"28","Calanidae",1,0.00810556418280923,0.0285887446165414,0.0470990347094619,0.0575292920683884,0.0746701188990977,0.165251574694787,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
