"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.512818918526809,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"2","Metridinidae",NA,NA,NA,NA,0.465401184706516,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"3","Calanidae",NA,NA,NA,NA,0.263058696822833,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"4","Calanidae",NA,NA,NA,NA,0.239942796741901,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"5","Euphausiidae",NA,NA,NA,NA,0.195713900806234,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"6","Euphausiidae",NA,NA,NA,NA,0.182148626817448,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"7","other",NA,NA,NA,NA,0.0624663435648896,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"8","other",NA,NA,NA,NA,0.0260523534166511,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"9","Clausocalanidae",NA,NA,NA,NA,0.0198553337893013,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"10","Eucalanidae",NA,NA,NA,NA,0.0165589660743134,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"11","Clausocalanidae",NA,NA,NA,NA,0.0103661820140011,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"12","Eucalanidae",NA,NA,NA,NA,0.00561669671910299,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"13","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"14","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"15","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"16","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"17","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"18","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"19","other",1,0.247025626897786,0.662734984569819,0.816601830539257,0.758702886426068,0.905917251556725,0.980666854999418,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"20","Eucalanidae",1,0.0100753017490686,0.0476493933626342,0.0898310921763769,0.115412292343482,0.155075014263654,0.366809705413165,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"21","Euphausiidae",1,0.000455365756285267,0.00560388610991511,0.0185967959862046,0.0602948020037214,0.0601083421154668,0.405522204350527,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"22","Metridinidae",1,0.000719637375559714,0.00550600641226253,0.0137587428254929,0.027355967545483,0.0330157346275974,0.135146162102811,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"23","Clausocalanidae",1,0.000165841999573921,0.00228965083216884,0.00781511561446753,0.0265402711991609,0.0244797781163463,0.185780794018,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"24","Salpidae",1,2.59363613398814e-06,8.5781793910151e-05,0.000482653478532738,0.00732412247638087,0.00260368552041016,0.0558398892886409,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"25","Calanidae",1,4.11011120637836e-05,0.000436607399230077,0.00129920556142672,0.00349039645306868,0.00346864678213311,0.0210103953025453,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"26","Paracalanidae",1,1.69421573214787e-06,3.33054047398949e-05,0.000134284289085892,0.000820667752200961,0.00052367805882852,0.00600688809654151,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"27","Rhincalanidae",1,7.66602377415644e-08,1.76082330089102e-06,7.77223682816083e-06,5.85938004348465e-05,3.17525900882145e-05,0.000453704773056518,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"28","Calanidae",NA,NA,NA,NA,0.995788515167037,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"29","Calanidae",NA,NA,NA,NA,0.986767485822306,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"30","Calanidae",NA,NA,NA,NA,0.976891074130106,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"31","Metridinidae",NA,NA,NA,NA,0.00862476370510397,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"32","Metridinidae",NA,NA,NA,NA,0.00763993948562784,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"33","Euphausiidae",NA,NA,NA,NA,0.006089258698941,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"34","Rhincalanidae",NA,NA,NA,NA,0.00476550680786687,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"35","Rhincalanidae",NA,NA,NA,NA,0.00389886578449905,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"36","other",NA,NA,NA,NA,0.00306354009077156,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"37","Rhincalanidae",NA,NA,NA,NA,0.00290250981731262,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"38","Euphausiidae",NA,NA,NA,NA,0.00130897501565079,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"39","Eucalanidae",NA,NA,NA,NA,0.00107791225416036,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"40","Eucalanidae",NA,NA,NA,NA,0.000708884688090737,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"41","Clausocalanidae",NA,NA,NA,NA,0.000434947049924357,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"42","Paracalanidae",NA,NA,NA,NA,3.7821482602118e-05,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"43","Eucalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"44","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"45","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"46","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"47","Metridinidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"48","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"49","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"50","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"51","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"52","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"53","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"54","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"55","other",1,0.091743273451743,0.717043868380266,0.918198015365477,0.801773389555761,0.979485588979892,0.998785758184545,0,"0.2-0.5mm","predicted CT1.T7.H34_S2"
