"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.512818918526809,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"2","Metridinidae",NA,NA,NA,NA,0.465401184706516,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"3","Calanidae",NA,NA,NA,NA,0.263058696822833,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"4","Calanidae",NA,NA,NA,NA,0.239942796741901,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"5","Euphausiidae",NA,NA,NA,NA,0.195713900806234,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"6","Euphausiidae",NA,NA,NA,NA,0.182148626817448,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"7","other",NA,NA,NA,NA,0.0624663435648896,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"8","other",NA,NA,NA,NA,0.0260523534166511,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"9","Clausocalanidae",NA,NA,NA,NA,0.0198553337893013,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"10","Eucalanidae",NA,NA,NA,NA,0.0165589660743134,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"11","Clausocalanidae",NA,NA,NA,NA,0.0103661820140011,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"12","Eucalanidae",NA,NA,NA,NA,0.00561669671910299,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"13","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"14","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"15","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"16","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"17","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"18","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"19","other",1,0.250515946090617,0.670049956203182,0.815814776383831,0.760583996879579,0.906192345222965,0.978468629122637,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"20","Eucalanidae",1,0.0117226514525949,0.047557070819478,0.0897871381953258,0.116071522194919,0.156645815769804,0.372936954624903,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"21","Euphausiidae",1,0.000449240047316877,0.00560440265642084,0.0184834690791274,0.0582057889291647,0.0588162685568672,0.385303970315212,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"22","Metridinidae",1,0.000805010091709062,0.00559349186806085,0.0140255927923454,0.0269745895089484,0.0325357763327327,0.131023678174803,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"23","Clausocalanidae",1,0.000191589068738031,0.00231104194173864,0.00767915400039328,0.0261630314635773,0.0234937357622395,0.182362214573257,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"24","Salpidae",1,3.36963044384221e-06,0.000100306606757046,0.000524823993801999,0.00775803191838515,0.00272740712025569,0.0573084826422554,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"25","Calanidae",1,5.05442012890163e-05,0.000453414555880129,0.00126412596748816,0.00341240221208445,0.00351670152981697,0.0199974994260896,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"26","Paracalanidae",1,1.98744388104597e-06,3.47459463369609e-05,0.00014532790458366,0.000771847002453004,0.000525111485180418,0.00541598894417179,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"27","Rhincalanidae",1,8.51265219896519e-08,1.835066887441e-06,7.73756462762695e-06,5.87898908890502e-05,3.16602076001794e-05,0.000409258887206224,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"28","Calanidae",NA,NA,NA,NA,0.995788515167037,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"29","Calanidae",NA,NA,NA,NA,0.986767485822306,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"30","Calanidae",NA,NA,NA,NA,0.976891074130106,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"31","Metridinidae",NA,NA,NA,NA,0.00862476370510397,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"32","Metridinidae",NA,NA,NA,NA,0.00763993948562784,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"33","Euphausiidae",NA,NA,NA,NA,0.006089258698941,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"34","Rhincalanidae",NA,NA,NA,NA,0.00476550680786687,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"35","Rhincalanidae",NA,NA,NA,NA,0.00389886578449905,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"36","other",NA,NA,NA,NA,0.00306354009077156,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"37","Rhincalanidae",NA,NA,NA,NA,0.00290250981731262,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"38","Euphausiidae",NA,NA,NA,NA,0.00130897501565079,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"39","Eucalanidae",NA,NA,NA,NA,0.00107791225416036,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"40","Eucalanidae",NA,NA,NA,NA,0.000708884688090737,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"41","Clausocalanidae",NA,NA,NA,NA,0.000434947049924357,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"42","Paracalanidae",NA,NA,NA,NA,3.7821482602118e-05,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"43","Eucalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"44","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"45","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"46","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"47","Metridinidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"48","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"49","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"50","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"51","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"52","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"53","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"54","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"55","other",1,0.0169002390888871,0.154000749101619,0.325007117238539,0.362999914652119,0.551040887308766,0.863529855788092,0,"0.2-0.5mm","predicted CT1.T7.H34_S2"
