"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Euphausia",NA,NA,NA,NA,0.40186305921443,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"2","other",NA,NA,NA,NA,0.259582295004153,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"3","Ctenocalanus",NA,NA,NA,NA,0.236353387919782,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"4","Calanus",NA,NA,NA,NA,0.0564257742969028,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"5","Ditrichocorycaeus",NA,NA,NA,NA,0.0437581583007001,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"6","Rosacea",NA,NA,NA,NA,0.00201732526403228,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"7","Ditrichocorycaeus",1,0.015563599570621,0.115241677870328,0.223665108608829,0.261678345312954,0.370265699227257,0.704732901361664,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"8","other",1,0.0010300516036984,0.0285881010141801,0.119155879243101,0.235920103105655,0.363958985837229,0.9166091863111,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"9","Calanus",1,0.00272685064686092,0.0455567385866793,0.125816130361838,0.194704338559163,0.279181897880674,0.740574300059464,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"10","Rosacea",1,0.00424858366704798,0.0437998166655854,0.102405647661828,0.151660278542187,0.209389562529263,0.565570917874274,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"11","Ctenocalanus",1,0.000775794649821726,0.0109292218275292,0.0334157164926789,0.0781550961807583,0.0930678734639781,0.436711292287464,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"12","Euphausia",1,0.00234221761200423,0.022205700141834,0.0511171362292591,0.0778818382992826,0.103721096498792,0.314224013403743,0,"0.2-0.5mm","predicted C1.T7.H9_S1"
"13","Euphausia",NA,NA,NA,NA,0.829610162067455,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"14","Euphausia",NA,NA,NA,NA,0.546621801115735,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"15","Ctenocalanus",NA,NA,NA,NA,0.190914725936421,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"16","other",NA,NA,NA,NA,0.150358629239352,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"17","Ctenocalanus",NA,NA,NA,NA,0.136662286465177,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"18","Ditrichocorycaeus",NA,NA,NA,NA,0.0660586203843089,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"19","Calanus",NA,NA,NA,NA,0.0460462233241831,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"20","Calanus",NA,NA,NA,NA,0.020586946999562,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"21","Ditrichocorycaeus",NA,NA,NA,NA,0.011826544021025,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"22","other",NA,NA,NA,NA,0.00131406044678055,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"23","Rosacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.2"
"24","Rosacea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S1.3"
"25","Ditrichocorycaeus",1,0.00250296609981421,0.111895494440954,0.374101417466954,0.414712544942083,0.699769306025017,0.965073522193639,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"26","Calanus",1,7.79944810830456e-05,0.0123423254651608,0.0788003120287889,0.224430300785025,0.349510224706607,0.953764052452494,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"27","other",1,8.28598786314643e-07,0.000445615831782088,0.00785264198686983,0.136768201331932,0.105298068862724,0.958467699621544,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"28","Euphausia",1,0.00014552109422001,0.00834167888392603,0.0392824771371289,0.118705760249331,0.144303100896935,0.68210613869323,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"29","Ctenocalanus",1,3.69658341833764e-06,0.000731182434296975,0.00701972899210082,0.0801034143561804,0.0539792375127619,0.703685730392653,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"30","Rosacea",1,1.00524908291857e-05,0.000593425461696865,0.00316396320571401,0.0252797783354477,0.015342905858729,0.216867041788507,0,"0.2-0.5mm","predicted C1.T8.H10_S1"
"31","Euphausia",NA,NA,NA,NA,0.847260909935005,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.3"
"32","Euphausia",NA,NA,NA,NA,0.802415875754961,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"33","Euphausia",NA,NA,NA,NA,0.765184539378088,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
"34","Ctenocalanus",NA,NA,NA,NA,0.147540983606557,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.1"
"35","Ctenocalanus",NA,NA,NA,NA,0.129322871258355,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S1.2"
