"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Ctenocalanus",NA,NA,NA,NA,0.508474576271186,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"2","Clausocalanus",NA,NA,NA,NA,0.368918918918919,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"3","Ctenocalanus",NA,NA,NA,NA,0.360810810810811,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"4","Ctenocalanus",NA,NA,NA,NA,0.360672440142639,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"5","Clausocalanus",NA,NA,NA,NA,0.291136016301579,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"6","Clausocalanus",NA,NA,NA,NA,0.28135593220339,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"7","other",NA,NA,NA,NA,0.243250127356088,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"8","Pleuromamma",NA,NA,NA,NA,0.132203389830508,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"9","other",NA,NA,NA,NA,0.128378378378378,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"10","Pleuromamma",NA,NA,NA,NA,0.0932432432432432,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"11","Pleuromamma",NA,NA,NA,NA,0.0779419256240448,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"12","Calanus",NA,NA,NA,NA,0.0542372881355932,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"13","Calanus",NA,NA,NA,NA,0.0486486486486487,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.1"
"14","Calanus",NA,NA,NA,NA,0.0269994905756495,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.2"
"15","other",NA,NA,NA,NA,0.023728813559322,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S1.3"
"16","Calanus",1,0.147961924098448,0.48542406421335,0.673727127640969,0.637965463137023,0.821117677723097,0.957586970513216,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"17","Pleuromamma",1,0.0148608758713562,0.0852268087043506,0.179430491824621,0.230607844532259,0.33380624731719,0.701849241265431,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"18","other",1,0.00198194981594142,0.0126095803835005,0.030569641238105,0.0614779357155063,0.0744480805878338,0.316560622110806,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"19","Ctenocalanus",1,0.00210931778811776,0.0108305198837297,0.0225160400829779,0.0356391032714213,0.0447443207024133,0.14690369578474,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"20","Clausocalanus",1,0.00192796919331026,0.0103447008638501,0.0215700718155248,0.0343096533437904,0.0428565998713328,0.144255082377158,0,"0.2-0.5mm","predicted CT1.T1.H28_S1"
"21","Clausocalanus",NA,NA,NA,NA,0.541908158716005,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.3"
"22","Clausocalanus",NA,NA,NA,NA,0.482845398875933,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.1"
"23","Ctenocalanus",NA,NA,NA,NA,0.452813469206912,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.2"
"24","Clausocalanus",NA,NA,NA,NA,0.449091714665485,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.2"
"25","Ctenocalanus",NA,NA,NA,NA,0.430165254592736,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.1"
"26","Ctenocalanus",NA,NA,NA,NA,0.407935800267499,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.3"
"27","Pleuromamma",NA,NA,NA,NA,0.0611525878701451,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.1"
"28","other",NA,NA,NA,NA,0.0583961010190518,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.2"
"29","Pleuromamma",NA,NA,NA,NA,0.045920641997325,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.3"
"30","Pleuromamma",NA,NA,NA,NA,0.0394328754984493,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.2"
"31","other",NA,NA,NA,NA,0.0252495596007046,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.1"
"32","other",NA,NA,NA,NA,0.00423539901917075,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.3"
"33","Calanus",NA,NA,NA,NA,0.000587199060481503,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.1"
"34","Calanus",NA,NA,NA,NA,0.000265839610101905,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.2"
"35","Calanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T2.H29_S1.3"
"36","Pleuromamma",1,0.0129807830411469,0.262130566639467,0.604978738536352,0.55472704045324,0.854282937937322,0.988178961743043,0,"0.2-0.5mm","predicted CT1.T2.H29_S1"
"37","Calanus",1,0.000885685707112876,0.0277199122630471,0.129532777580675,0.259346314198498,0.425124273337664,0.945994974841467,0,"0.2-0.5mm","predicted CT1.T2.H29_S1"
"38","Clausocalanus",1,0.000408320719733273,0.00675600145192224,0.0233468703377061,0.0674415489869057,0.0733024371745273,0.425973623759927,0,"0.2-0.5mm","predicted CT1.T2.H29_S1"
"39","Ctenocalanus",1,0.000217064150026701,0.00455827334656103,0.0173141080022115,0.0604357079925767,0.0615487136966557,0.412135791014371,0,"0.2-0.5mm","predicted CT1.T2.H29_S1"
"40","other",1,1.97368001453607e-05,0.00101659204171634,0.00631660116635489,0.0580493883687796,0.0374889762746524,0.561199313845983,0,"0.2-0.5mm","predicted CT1.T2.H29_S1"
"41","Ctenocalanus",NA,NA,NA,NA,0.69397475589426,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S1.3"
"42","Ctenocalanus",NA,NA,NA,NA,0.685615448161917,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S1.2"
"43","Ctenocalanus",NA,NA,NA,NA,0.501393214227176,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S1.1"
"44","Clausocalanus",NA,NA,NA,NA,0.392968365841665,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S1.1"
"45","Clausocalanus",NA,NA,NA,NA,0.291497975708502,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S1.3"
"46","Clausocalanus",NA,NA,NA,NA,0.270497728211483,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S1.2"
"47","other",NA,NA,NA,NA,0.0821996394033765,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S1.1"
"48","other",NA,NA,NA,NA,0.0325278810408922,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S1.2"
"49","Pleuromamma",NA,NA,NA,NA,0.0234387805277823,NA,NA,30,"0.2-0.5mm","CT1.T3.H30_S1.1"
