"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","other",NA,NA,NA,NA,0.892339544513458,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"2","other",NA,NA,NA,NA,0.625544267053701,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"3","Eucalanus",NA,NA,NA,NA,0.313352685050798,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"4","Eucalanus",NA,NA,NA,NA,0.046583850931677,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"5","Calanus",NA,NA,NA,NA,0.0423802612481858,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"6","Calanus",NA,NA,NA,NA,0.0341614906832298,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"7","Euphausia",NA,NA,NA,NA,0.0269151138716356,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.1"
"8","Euphausia",NA,NA,NA,NA,0.0187227866473149,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S2.2"
"9","other",1,0.399797657258608,0.745711052911834,0.854057042365033,0.810612306508813,0.920889368122819,0.97750634780173,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"10","Eucalanus",1,0.0108606841424137,0.0535286540067278,0.108628211410983,0.155386883781539,0.210102847838551,0.552393195646832,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"11","Euphausia",1,0.00237899877728408,0.00779640865554806,0.0143161150251471,0.0206530881888193,0.0259407276420694,0.0768974989573449,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"12","Calanus",1,0.000329610689191253,0.00202565955169176,0.00512138475765093,0.013347721520829,0.0129816052244099,0.0786154479109299,0,"0.2-0.5mm","predicted CT1.T6.H33_S2"
"13","Calanus",NA,NA,NA,NA,0.970692475463468,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"14","Calanus",NA,NA,NA,NA,0.884476885644769,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"15","Calanus",NA,NA,NA,NA,0.807967950144669,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"16","Eucalanus",NA,NA,NA,NA,0.122546182951258,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"17","Eucalanus",NA,NA,NA,NA,0.0660827250608273,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"18","Euphausia",NA,NA,NA,NA,0.0372134431337636,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"19","Euphausia",NA,NA,NA,NA,0.0364963503649635,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"20","other",NA,NA,NA,NA,0.0322724237703094,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.2"
"21","Eucalanus",NA,NA,NA,NA,0.0174482006543075,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"22","other",NA,NA,NA,NA,0.0129440389294404,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.1"
"23","Euphausia",NA,NA,NA,NA,0.0079062159214831,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"24","other",NA,NA,NA,NA,0.00395310796074155,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S2.3"
"25","other",1,0.0163880696360148,0.24845815246045,0.568597185296481,0.537171661078324,0.832810441552666,0.984769836913142,0,"0.2-0.5mm","predicted CT1.T7.H34_S2"
"26","Eucalanus",1,0.00262361713012596,0.0591868552799012,0.215520996002465,0.321759266211874,0.547830813361405,0.953952032879731,0,"0.2-0.5mm","predicted CT1.T7.H34_S2"
"27","Calanus",1,0.000107439135576768,0.00393187391619604,0.0224720873321134,0.119753318147548,0.119548970881333,0.818674537753375,0,"0.2-0.5mm","predicted CT1.T7.H34_S2"
"28","Euphausia",1,0.000219475120327453,0.00237542978585491,0.00737024617797162,0.021315754562254,0.0210600536568752,0.133202766835395,0,"0.2-0.5mm","predicted CT1.T7.H34_S2"
"29","Calanus",NA,NA,NA,NA,0.648380195599022,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S2.3"
"30","Calanus",NA,NA,NA,NA,0.533107299561229,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S2.2"
"31","Euphausia",NA,NA,NA,NA,0.472602739726027,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S2.1"
"32","Calanus",NA,NA,NA,NA,0.391552511415525,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S2.1"
"33","Euphausia",NA,NA,NA,NA,0.365775827682489,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S2.2"
"34","Euphausia",NA,NA,NA,NA,0.328239608801956,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S2.3"
"35","other",NA,NA,NA,NA,0.105022831050228,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S2.1"
