"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Euphausia",NA,NA,NA,NA,0.592388812471343,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"2","Euphausia",NA,NA,NA,NA,0.390961130089558,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"3","Rosacea",NA,NA,NA,NA,0.279567906933801,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"4","other",NA,NA,NA,NA,0.267472994183363,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"5","other",NA,NA,NA,NA,0.20861989912884,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"6","Rosacea",NA,NA,NA,NA,0.143512150389729,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"7","Calanus",NA,NA,NA,NA,0.0619979687932786,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"8","Calanus",NA,NA,NA,NA,0.0554791380100871,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"9","Calanus",1,0.020028130795866,0.145885696795997,0.309460127280017,0.357311730886728,0.538594374715223,0.874804313787788,0,"0.2-0.5mm","predicted C1.T7.H9_S3"
"10","Rosacea",1,0.0179532968024902,0.133665072367138,0.295158826820957,0.345104231347875,0.522148119022074,0.880294503661361,0,"0.2-0.5mm","predicted C1.T7.H9_S3"
"11","other",1,0.0189233750963856,0.0964454530236293,0.189210552055028,0.233980112586992,0.328617985306661,0.691224631313742,0,"0.2-0.5mm","predicted C1.T7.H9_S3"
"12","Euphausia",1,0.00194976246567228,0.0139362284641957,0.0334768981303375,0.0636039251784045,0.0759853815257255,0.318603469450195,0,"0.2-0.5mm","predicted C1.T7.H9_S3"
"13","Euphausia",NA,NA,NA,NA,0.99362962962963,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S3.3"
"14","Euphausia",NA,NA,NA,NA,0.956318599822011,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S3.2"
"15","Rosacea",NA,NA,NA,NA,0.0300726787303471,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S3.2"
"16","Calanus",NA,NA,NA,NA,0.00793533076238505,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S3.2"
"17","Rosacea",NA,NA,NA,NA,0.00607407407407407,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S3.3"
"18","other",NA,NA,NA,NA,0.0056733906852566,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S3.2"
"19","other",NA,NA,NA,NA,0.000296296296296296,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S3.3"
"20","Calanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T8.H10_S3.3"
"21","Rosacea",1,0.00104243765780352,0.0620889376684364,0.295226175439966,0.391696992635759,0.721723940825225,0.98841168465494,0,"0.2-0.5mm","predicted C1.T8.H10_S3"
"22","Calanus",1,0.000229117835374371,0.0204530005379868,0.13376839094371,0.293389725522595,0.532728122137291,0.97990902374093,0,"0.2-0.5mm","predicted C1.T8.H10_S3"
"23","Euphausia",1,0.000411338389053517,0.0224957229906957,0.118589778584066,0.25958609247896,0.435866558980207,0.957493921434532,0,"0.2-0.5mm","predicted C1.T8.H10_S3"
"24","other",1,5.73278818043679e-05,0.00216829859913503,0.0102647748587274,0.0553271893626863,0.0450496616467737,0.473567177912915,0,"0.2-0.5mm","predicted C1.T8.H10_S3"
"25","Rosacea",NA,NA,NA,NA,0.506745470898111,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S3.2"
"26","Euphausia",NA,NA,NA,NA,0.430104072979571,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S3.2"
"27","other",NA,NA,NA,NA,0.0631504561223179,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S3.2"
"28","Calanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C2.T8.H18_S3.2"
"29","Rosacea",1,0.00247789894170913,0.448232040429723,0.914155313173171,0.709438012227451,0.992710156138218,0.999949238498011,0,"0.2-0.5mm","predicted C2.T8.H18_S3"
"30","Euphausia",1,4.03013690861562e-06,0.00116421466488404,0.0170770766118651,0.178288349294957,0.212065627704986,0.978268585319431,0,"0.2-0.5mm","predicted C2.T8.H18_S3"
"31","other",1,5.58461319155064e-07,0.000176428998346748,0.00267816074083044,0.0782092780848779,0.0325243349956183,0.824956856011233,0,"0.2-0.5mm","predicted C2.T8.H18_S3"
"32","Calanus",1,6.1906486729876e-09,6.15073882180946e-06,0.000162687711208168,0.0340643603927143,0.00338492433785695,0.472496611152858,0,"0.2-0.5mm","predicted C2.T8.H18_S3"
"33","other",NA,NA,NA,NA,0.660216430240693,NA,NA,30,"0.2-0.5mm","C2.T9.H19_S3.3"
"34","other",NA,NA,NA,NA,0.636221442790786,NA,NA,30,"0.2-0.5mm","C2.T9.H19_S3.2"
"35","Euphausia",NA,NA,NA,NA,0.34496160773533,NA,NA,30,"0.2-0.5mm","C2.T9.H19_S3.2"
"36","Euphausia",NA,NA,NA,NA,0.321445051428231,NA,NA,30,"0.2-0.5mm","C2.T9.H19_S3.3"
