"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Eucalanus",NA,NA,NA,NA,0.77985347985348,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"2","Eucalanus",NA,NA,NA,NA,0.773244213886672,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"3","Candacia",NA,NA,NA,NA,0.149450549450549,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"4","Candacia",NA,NA,NA,NA,0.125498802873105,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"5","other",NA,NA,NA,NA,0.0963687150837989,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"6","other",NA,NA,NA,NA,0.0673992673992674,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"7","Calanus",NA,NA,NA,NA,0.00488826815642458,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.2"
"8","Calanus",NA,NA,NA,NA,0.0032967032967033,NA,NA,30,"0.2-0.5mm","C3.T7.H26_S3.1"
"9","Eucalanus",1,0.0620251105930056,0.319812408965511,0.538648390265654,0.525443490064025,0.734742837162185,0.944053783428663,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"10","Candacia",1,0.0106080222497204,0.0735138422267051,0.175610521336087,0.23943608566706,0.348404881846908,0.775781880380357,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"11","Calanus",1,0.00863983767417455,0.0640017302594564,0.150957567967499,0.219945972844558,0.312904504983904,0.768595012175268,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"12","other",1,0.00116452425914274,0.00507052408592495,0.00999609687421845,0.0151744514243569,0.0188748258367697,0.0612553451746491,0,"0.2-0.5mm","predicted C3.T7.H26_S3"
"13","other",NA,NA,NA,NA,0.954900891071104,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.1"
"14","other",NA,NA,NA,NA,0.942243361906753,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.2"
"15","other",NA,NA,NA,NA,0.94205504079657,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.3"
"16","Eucalanus",NA,NA,NA,NA,0.0348630566590006,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.2"
"17","Candacia",NA,NA,NA,NA,0.029871387083391,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.3"
"18","Candacia",NA,NA,NA,NA,0.0293689761774868,NA,NA,30,"0.2-0.5mm","CT1.T1.H28_S3.1"
