Hash,Phylum,Class,Order,Family,Genus,Species
c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,Euphausia pacifica
0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
7df189e993f359afe2e5bcaebc5218a2a5b5b64e,Arthropoda,Hexanauplia,Calanoida,Calanidae,Ctenocalanus,Ctenocalanus vanus
f736c21058cc8ce107275dac622fe3b316a557a2,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
830bac823005e96d85f6881aa0bd2c2b14a6b0ad,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus lividus
0c51f2f29827df7af1f0210d4764602e7050b193,Mollusca,Cephalopoda,Teuthida,Pyroteuthidae,Pyroteuthis,Pyroteuthis addolux
68714bd4d91f5d800bb81a5f47e9e6f02384257b,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
52d9903dac12385d45281caaea18c1a54bd71c54,Mollusca,Cephalopoda,Teuthida,Pyroteuthidae,Pyroteuthis,Pyroteuthis addolux
add60dfdaa81b55c808fc154caf15ac941b0ca2a,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
b3360fd8035b2d769c49a3cdf25a52187188bf6e,Mollusca,Gastropoda,NA,NA,NA,NA
c3db1f4fb87f52065f108aea13bad38e2d74d8fa,Cnidaria,Hydrozoa,Siphonophorae,Prayidae,Rosacea,Rosacea cymbiformis
679b9dbfcdd081bf1bc737df539777ec027d7b35,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,NA,NA
b809a997632c2640cdbe7940f619b45fa30adc45,Arthropoda,Hexanauplia,NA,NA,NA,NA
5a833e0a478a012b2b934b19b76eb311d63cf891,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
a15fa1e1831ffac3265b6f2979da3a880f156124,Cnidaria,Scyphozoa,Semaeostomeae,NA,NA,NA
b66bf92767420eb5115b7c8aed4dc41a7d17af6d,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,NA
605d6ce88281b4bbcff711ac8afe595d978194fa,Arthropoda,Hexanauplia,Calanoida,Calanidae,Ctenocalanus,Ctenocalanus vanus
914275e6686877e25cfdb5df6c8a42744c44f9b0,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Pleuromamma,Pleuromamma borealis
9ebd0bcbae3f4ee1f10ba13d858e85af17744e67,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
6fa4e04ff1d7c7a15a9c76a376661ef7671ba7dc,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,NA,NA
6865099a80c0043771d0151aa8bda15a713d63e3,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,NA
cabd0735911e0bc90c692074077ac5668c364bc5,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
bdfbf6878047ec2cdd1167f51bb883786178dd24,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
a1bd8c3c579e5c0eae315dfe9ba06d3f4b917007,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,Eucalanus californicus
9b221c0e8a8dd2ee82214bbc00bd37bbb2df307d,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,Eucalanus californicus
cdffdeed24846ab0fa0610d9f5c119df862c22d2,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia lucens
cedc8a64d84604cf22989763a2dd9dd21da106bf,Arthropoda,NA,NA,NA,NA,NA
8a7fcda4d4398b11a1ba89c141d62b5c8ac5e8e0,Arthropoda,Hexanauplia,NA,NA,NA,NA
341af4578589426b51b35022c4f152beb47cedf5,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,Tarletonbeania crenularis
c8d4ea4ae30de7d879692c6db92be3177a8bcb47,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,Euphausia pacifica
381610426e31b112903a2b0c51b0fbe9dbe1a6ba,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecetta,Conchoecetta giesbrechti
3eafdd7e0292677d65676b2e27b59fb00503f03a,Mollusca,Gastropoda,NA,NA,NA,NA
910719472e9c9da8e4d8d933914c345ca24e20b4,Mollusca,Cephalopoda,NA,NA,NA,NA
c7b90b28374bb6b5493814ed6ea9bbc95a76178c,Arthropoda,Hexanauplia,Calanoida,Calanidae,Ctenocalanus,Ctenocalanus vanus
681372c71de921567e27fd20b4339cd9edc19dc5,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,Eucalanus californicus
07328927fc0c18593bb6c76c71003e458b43b9c2,Arthropoda,Hexanauplia,Calanoida,Calanidae,Ctenocalanus,Ctenocalanus vanus
