"","Sample_name","cycle_num","Pool","sample_id","sample_num"
"1","20C_AllPool.1",20,"1","20C_AllPool","Calibration"
"2","20C_AllPool.2",20,"2","20C_AllPool","Calibration"
"3","20C_AllPool.3",20,"3","20C_AllPool","Calibration"
"4","24C_AllPool.1",24,"1","24C_AllPool","Calibration"
"5","24C_AllPool.2",24,"2","24C_AllPool","Calibration"
"6","24C_AllPool.3",24,"3","24C_AllPool","Calibration"
"7","28C_AllPool.1",28,"1","28C_AllPool","Calibration"
"8","28C_AllPool.2",28,"2","28C_AllPool","Calibration"
"9","28C_AllPool.3",28,"3","28C_AllPool","Calibration"
"10","C1.T7.H9_S1.1",30,"1","C1.T7.H9_S1","C1.T7.H9_S1"
"11","C1.T7.H9_S1.2",30,"2","C1.T7.H9_S1","C1.T7.H9_S1"
"12","C1.T8.H10_S1.2",30,"2","C1.T8.H10_S1","C1.T8.H10_S1"
"13","C2.T8.H18_S1.1",30,"1","C2.T8.H18_S1","C2.T8.H18_S1"
"14","C2.T8.H18_S1.2",30,"2","C2.T8.H18_S1","C2.T8.H18_S1"
"15","C3.T6.H25_S1.1",30,"1","C3.T6.H25_S1","C3.T6.H25_S1"
"16","C3.T6.H25_S1.2",30,"2","C3.T6.H25_S1","C3.T6.H25_S1"
"17","C3.T7.H26_S1.1",30,"1","C3.T7.H26_S1","C3.T7.H26_S1"
"18","C3.T7.H26_S1.2",30,"2","C3.T7.H26_S1","C3.T7.H26_S1"
"19","CT1.T1.H28_S1.1",30,"1","CT1.T1.H28_S1","CT1.T1.H28_S1"
"20","CT1.T1.H28_S1.2",30,"2","CT1.T1.H28_S1","CT1.T1.H28_S1"
"21","CT1.T2.H29_S1.1",30,"1","CT1.T2.H29_S1","CT1.T2.H29_S1"
"22","CT1.T2.H29_S1.2",30,"2","CT1.T2.H29_S1","CT1.T2.H29_S1"
"23","CT1.T3.H30_S1.1",30,"1","CT1.T3.H30_S1","CT1.T3.H30_S1"
"24","CT1.T3.H30_S1.2",30,"2","CT1.T3.H30_S1","CT1.T3.H30_S1"
"25","CT1.T4.H31_S1.1",30,"1","CT1.T4.H31_S1","CT1.T4.H31_S1"
"26","CT1.T4.H31_S1.2",30,"2","CT1.T4.H31_S1","CT1.T4.H31_S1"
"27","CT1.T5.H32_S1.1",30,"1","CT1.T5.H32_S1","CT1.T5.H32_S1"
"28","CT1.T5.H32_S1.2",30,"2","CT1.T5.H32_S1","CT1.T5.H32_S1"
"29","CT1.T6.H33_S1.1",30,"1","CT1.T6.H33_S1","CT1.T6.H33_S1"
"30","CT1.T6.H33_S1.2",30,"2","CT1.T6.H33_S1","CT1.T6.H33_S1"
"31","CT1.T7.H34_S1.1",30,"1","CT1.T7.H34_S1","CT1.T7.H34_S1"
"32","CT1.T7.H34_S1.2",30,"2","CT1.T7.H34_S1","CT1.T7.H34_S1"
"33","CT1.T8.H35_S1.1",30,"1","CT1.T8.H35_S1","CT1.T8.H35_S1"
"34","CT1.T8.H35_S1.2",30,"2","CT1.T8.H35_S1","CT1.T8.H35_S1"
"35","CT2.T1.H36_S1.1",30,"1","CT2.T1.H36_S1","CT2.T1.H36_S1"
"36","CT2.T1.H36_S1.2",30,"2","CT2.T1.H36_S1","CT2.T1.H36_S1"
"37","CT2.T4.H39_S1.1",30,"1","CT2.T4.H39_S1","CT2.T4.H39_S1"
"38","CT2.T4.H39_S1.2",30,"2","CT2.T4.H39_S1","CT2.T4.H39_S1"
"39","CT2.T8.H43_S1.1",30,"1","CT2.T8.H43_S1","CT2.T8.H43_S1"
"40","CT2.T8.H43_S1.2",30,"2","CT2.T8.H43_S1","CT2.T8.H43_S1"
"41","C1.T7.H9_S1.3",30,"3","C1.T7.H9_S1","C1.T7.H9_S1"
"42","C1.T8.H10_S1.3",30,"3","C1.T8.H10_S1","C1.T8.H10_S1"
"43","C2.T8.H18_S1.3",30,"3","C2.T8.H18_S1","C2.T8.H18_S1"
"44","C3.T6.H25_S1.3",30,"3","C3.T6.H25_S1","C3.T6.H25_S1"
"45","C3.T7.H26_S1.3",30,"3","C3.T7.H26_S1","C3.T7.H26_S1"
"46","CT1.T1.H28_S1.3",30,"3","CT1.T1.H28_S1","CT1.T1.H28_S1"
"47","CT1.T2.H29_S1.3",30,"3","CT1.T2.H29_S1","CT1.T2.H29_S1"
"48","CT1.T3.H30_S1.3",30,"3","CT1.T3.H30_S1","CT1.T3.H30_S1"
"49","CT1.T4.H31_S1.3",30,"3","CT1.T4.H31_S1","CT1.T4.H31_S1"
"50","CT1.T5.H32_S1.3",30,"3","CT1.T5.H32_S1","CT1.T5.H32_S1"
"51","CT1.T6.H33_S1.3",30,"3","CT1.T6.H33_S1","CT1.T6.H33_S1"
"52","CT1.T7.H34_S1.3",30,"3","CT1.T7.H34_S1","CT1.T7.H34_S1"
"53","CT1.T8.H35_S1.3",30,"3","CT1.T8.H35_S1","CT1.T8.H35_S1"
"54","CT2.T1.H36_S1.3",30,"3","CT2.T1.H36_S1","CT2.T1.H36_S1"
"55","CT2.T8.H43_S1.3",30,"3","CT2.T8.H43_S1","CT2.T8.H43_S1"
