"","Sample_name","cycle_num","Pool","sample_id","sample_num"
"1","24C_AllPool.1",24,"1","24C_AllPool","Calibration"
"2","24C_AllPool.2",24,"2","24C_AllPool","Calibration"
"3","24C_AllPool.3",24,"3","24C_AllPool","Calibration"
"4","28C_AllPool.1",28,"1","28C_AllPool","Calibration"
"5","28C_AllPool.2",28,"2","28C_AllPool","Calibration"
"6","28C_AllPool.3",28,"3","28C_AllPool","Calibration"
"7","C1.T7.H9_S2.2",30,"2","C1.T7.H9_S2","C1.T7.H9_S2"
"8","C1.T8.H10_S2.2",30,"2","C1.T8.H10_S2","C1.T8.H10_S2"
"9","C2.T8.H18_S2.1",30,"1","C2.T8.H18_S2","C2.T8.H18_S2"
"10","C2.T8.H18_S2.2",30,"2","C2.T8.H18_S2","C2.T8.H18_S2"
"11","C2.T9.H19_S2.1",30,"1","C2.T9.H19_S2","C2.T9.H19_S2"
"12","C2.T9.H19_S2.2",30,"2","C2.T9.H19_S2","C2.T9.H19_S2"
"13","C3.T6.H25_S2.1",30,"1","C3.T6.H25_S2","C3.T6.H25_S2"
"14","C3.T6.H25_S2.2",30,"2","C3.T6.H25_S2","C3.T6.H25_S2"
"15","C3.T7.H26_S2.1",30,"1","C3.T7.H26_S2","C3.T7.H26_S2"
"16","C3.T7.H26_S2.2",30,"2","C3.T7.H26_S2","C3.T7.H26_S2"
"17","CT1.T1.H28_S2.1",30,"1","CT1.T1.H28_S2","CT1.T1.H28_S2"
"18","CT1.T1.H28_S2.2",30,"2","CT1.T1.H28_S2","CT1.T1.H28_S2"
"19","CT1.T2.H29_S2.1",30,"1","CT1.T2.H29_S2","CT1.T2.H29_S2"
"20","CT1.T2.H29_S2.2",30,"2","CT1.T2.H29_S2","CT1.T2.H29_S2"
"21","CT1.T3.H30_S2.1",30,"1","CT1.T3.H30_S2","CT1.T3.H30_S2"
"22","CT1.T4.H31_S2.2",30,"2","CT1.T4.H31_S2","CT1.T4.H31_S2"
"23","CT1.T5.H32_S2.1",30,"1","CT1.T5.H32_S2","CT1.T5.H32_S2"
"24","CT1.T5.H32_S2.2",30,"2","CT1.T5.H32_S2","CT1.T5.H32_S2"
"25","CT1.T6.H33_S2.1",30,"1","CT1.T6.H33_S2","CT1.T6.H33_S2"
"26","CT1.T6.H33_S2.2",30,"2","CT1.T6.H33_S2","CT1.T6.H33_S2"
"27","CT1.T7.H34_S2.1",30,"1","CT1.T7.H34_S2","CT1.T7.H34_S2"
"28","CT1.T7.H34_S2.2",30,"2","CT1.T7.H34_S2","CT1.T7.H34_S2"
"29","CT1.T8.H35_S2.1",30,"1","CT1.T8.H35_S2","CT1.T8.H35_S2"
"30","CT1.T8.H35_S2.2",30,"2","CT1.T8.H35_S2","CT1.T8.H35_S2"
"31","CT2.T1.H36_S2.1",30,"1","CT2.T1.H36_S2","CT2.T1.H36_S2"
"32","CT2.T1.H36_S2.2",30,"2","CT2.T1.H36_S2","CT2.T1.H36_S2"
"33","CT2.T4.H39_S2.1",30,"1","CT2.T4.H39_S2","CT2.T4.H39_S2"
"34","CT2.T4.H39_S2.2",30,"2","CT2.T4.H39_S2","CT2.T4.H39_S2"
"35","CT2.T8.H43_S2.1",30,"1","CT2.T8.H43_S2","CT2.T8.H43_S2"
"36","CT2.T8.H43_S2.2",30,"2","CT2.T8.H43_S2","CT2.T8.H43_S2"
"37","C1.T7.H9_S2.3",30,"3","C1.T7.H9_S2","C1.T7.H9_S2"
"38","C2.T8.H18_S2.3",30,"3","C2.T8.H18_S2","C2.T8.H18_S2"
"39","C2.T9.H19_S2.3",30,"3","C2.T9.H19_S2","C2.T9.H19_S2"
"40","C3.T6.H25_S2.3",30,"3","C3.T6.H25_S2","C3.T6.H25_S2"
"41","CT1.T1.H28_S2.3",30,"3","CT1.T1.H28_S2","CT1.T1.H28_S2"
"42","CT1.T2.H29_S2.3",30,"3","CT1.T2.H29_S2","CT1.T2.H29_S2"
"43","CT1.T5.H32_S2.3",30,"3","CT1.T5.H32_S2","CT1.T5.H32_S2"
"44","CT1.T7.H34_S2.3",30,"3","CT1.T7.H34_S2","CT1.T7.H34_S2"
"45","CT1.T8.H35_S2.3",30,"3","CT1.T8.H35_S2","CT1.T8.H35_S2"
"46","CT2.T4.H39_S2.3",30,"3","CT2.T4.H39_S2","CT2.T4.H39_S2"
"47","CT2.T8.H43_S2.3",30,"3","CT2.T8.H43_S2","CT2.T8.H43_S2"
