"","Phylum","Class","Order","Family","Genus"
"1","other","other","other","other","other"
"2","Arthropoda","Hexanauplia","Pedunculata","Lepadidae","Lepas"
"3","Cnidaria","Hydrozoa","Siphonophorae","Agalmatidae","Agalma"
"4","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Genus"
"8","Cnidaria","Hydrozoa","Siphonophorae","Agalmatidae","Marrus"
"9","Mollusca","Cephalopoda","Teuthida","Pyroteuthidae","Pyroteuthis"
"10","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus"
"12","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina"
"15","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae","Racovitzanus"
"16","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Acrocalanus"
"19","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus"
"20","Chordata","Thaliacea","Pyrosomatida","Pyrosomatidae","Pyrosoma"
"21","Chordata","Thaliacea","Doliolida","Doliolidae","Doliolum"
"22","Arthropoda","Hexanauplia","Calanoida","Aetideidae","Aetideus"
"23","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Lensia"
"26","Arthropoda","Branchiopoda","Onychopoda","Podonidae","Pseudevadne"
"27","Arthropoda","Malacostraca","Amphipoda","Vibiliidae","Vibilia"
"28","Arthropoda","Malacostraca","Decapoda","Sergestidae","Neosergestes"
"31","Arthropoda","Hexanauplia","Sessilia","Chthamalidae","Chthamalus"
"33","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Paraconchoecia"
"34","Echinodermata","Ophiuroidea","Ophiurida","Ophiocomidae","Ophiopteris"
"36","Cnidaria","Hydrozoa","Siphonophorae","Sphaeronectidae","Sphaeronectes"
"37","Annelida","Polychaeta","Terebellida","Trichobranchidae","Terebellides"
"38","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Pseudocalanus"
"40","Cnidaria","Hydrozoa","Trachymedusae","Halicreatidae","Botrynema"
"41","Arthropoda","Hexanauplia","Calanoida","Calanidae","Neocalanus"
"43","Arthropoda","Hexanauplia","Cyclopoida","Oncaeidae","Oncaea"
"44","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus"
"46","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae","Scaphocalanus"
"47","Mollusca","Gastropoda","Cephalaspidea","Aglajidae","Navanax"
"49","Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia"
"50","Mollusca","Gastropoda","Pteropoda","Cymbuliidae","Corolla"
"51","Sipuncula","other","Phascolosomatiformes","Phascolosomatidae","Phascolosoma"
"52","Mollusca","Gastropoda","Pteropoda","Cliidae","Clio"
"53","Arthropoda","Malacostraca","Isopoda","Munnopsidae","Acanthamunnopsis"
"54","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone"
"55","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Orthoconchoecia"
"56","Echinodermata","Asteroidea","Valvatida","Asterinidae","Patiria"
"57","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Muggiaea"
"59","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus"
"60","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Rhodomela"
"61","Mollusca","Gastropoda","Nudibranchia","Fionidae","Fiona"
"62","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Discoconchoecia"
"63","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","Cyclostephanos"
"65","Arthropoda","Malacostraca","Amphipoda","Lestrigonidae","Lestrigonus"
"67","Arthropoda","Hexanauplia","Calanoida","Euchaetidae","Paraeuchaeta"
