"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"01ff6dedcf9317a7d3435b75319b72b0d7427f3a","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Agalmatidae","Agalma",NA
"07400dec706e2853c78fd49fd403d3bd3df30ff8","Animalia","Chaetognatha","Subphylum","Sagittoidea","Subclass","Superorder","Aphragmophora","Sagittidae","Genus",NA
"0c41d92acd534960061dfba1beb00f1917f3afc4","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Agalmatidae","Marrus",NA
"0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus",NA
"134558db002ef4fed720988d68f864ca1621cae8","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Scolecitrichidae","Racovitzanus",NA
"18bc8062d256c224000582443890cdb333deb155","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Acrocalanus",NA
"1fcf5441d358d497a4b182b240116d2f0b8df03a","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","Pyrosoma",NA
"23f0bc9737e8f27bb71ae8a965978f4bf4ea9422","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","Doliolum",NA
"2439425b99d37e9ac683f3246f96980d412ce40c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Aetideidae","Aetideus",NA
"25c208e03a668c3e073411c7916d4c236fea3fee","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Diphyidae","Lensia",NA
"2d1dfb4d825a120371ec152ce4490c84f738245d","Animalia","Arthropoda","Crustacea","Branchiopoda","Diplostraca","Cladocera","Onychopoda","Podonidae","Pseudevadne",NA
"2fdbb79cdb04035fa8eaf3a2d2dbb232380c7180","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Vibiliidae","Vibilia",NA
"30d045bb3c00279f5b5f97e54d5d03106fd8186f","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Sergestidae","Neosergestes",NA
"3f5807ef95ce9f610e72088d5bcac8012cc9e624","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Pseudocalanus",NA
"44f408ac8f2456bfef156a8140f247445a7f50b4","Animalia","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Superorder","Trachymedusae","Halicreatidae","Botrynema",NA
"450b63e04102aa57d14b8bb58fae01b332aef282","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Neocalanus",NA
"46ba927c417c82c762b4cdd54a530d1d699a330e","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Oncaeidae","Oncaea",NA
"4d3a77d605c748f2a17102d2f0cfa768950e9531","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Paracalanus",NA
"5b408bcb18ddca8a0088c8cb0c94f8f01e3d565d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Acartiidae","Acartia",NA
"5f3e3071e3b0c2ff02c5aaa392f3329050db3e87","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Cliidae","Clio",NA
"67699186f2500d9fed3b98c89a41824904dec096","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Diphyidae","Muggiaea",NA
"68714bd4d91f5d800bb81a5f47e9e6f02384257b","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Clausocalanus",NA
"7257d5f81a20a6e94a2c6a8fd4aec7c731f720ce","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Lestrigonidae","Lestrigonus",NA
"73ddb8741c80250b5fce318e3603fc5637b92ec0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Euchaetidae","Paraeuchaeta",NA
"7df189e993f359afe2e5bcaebc5218a2a5b5b64e","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Ctenocalanus",NA
"837020b55b70e40635c33417f7572942ca7a7009","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Candaciidae","Candacia",NA
"8744dd2858c0eda66f6daf9c90a1b92a6ab6c820","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Clionidae","Clione",NA
"8d4cc2e8c7f20ba7e2a4c6ee4457f0a6a9b98d45","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Uristidae","Abyssorchomene",NA
"8f00bd43b9cef841b113073b7bdea53114cd7384","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Agalmatidae","Nanomia",NA
"914275e6686877e25cfdb5df6c8a42744c44f9b0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma",NA
"920f75722272dca999a3bf9a69c8a4c4f5a30fa1","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Paraphronimidae","Paraphronima",NA
"98afb06a9acfc017fa4f25951aed678d0885dd2f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Euchaetidae","Euchaeta",NA
"9f2deb97467abc9e8db1bf961b30aed8ae0c27d5","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Eurytheneidae","Eurythenes",NA
"a15fa1e1831ffac3265b6f2979da3a880f156124","Animalia","Cnidaria","Subphylum","Scyphozoa","Discomedusae","Superorder","Semaeostomeae","Phacellophoridae","Phacellophora",NA
"a1bd8c3c579e5c0eae315dfe9ba06d3f4b917007","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Eucalanus",NA
"a64ae6c3a19ca4d404b1876c5f899d557eec2db3","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Thysanopoda",NA
"a84670c76f5c12ac10b05154640f60e6154751ac","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Heterorhabdidae","Heterorhabdus",NA
"b4c02705d349680ce498e83af332b7b34e5eb2b7","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Limacinidae","Heliconoides",NA
"b95338d3c9a7df5b78e7cc797e0df0c77a97ab62","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Nematoscelis",NA
"bfcd14f97747c99372ec23c78dab3909d1561ea0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Rhincalanus",NA
"bfde302f2bd3de23ebb8e551c4a4af4d71790f62","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Thysanoessa",NA
"c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Euphausia",NA
"c25abcc3358f7552ed039ccacfb4b28467b2ca9b","Animalia","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Superorder","Trachymedusae","Rhopalonematidae","Pantachogon",NA
"c3db1f4fb87f52065f108aea13bad38e2d74d8fa","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Prayidae","Rosacea",NA
"ccefe43aecdd47a1cd28576927eb17bca2811aad","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Apolemiidae","Apolemia",NA
"cdffdeed24846ab0fa0610d9f5c119df862c22d2","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia",NA
"dbcdc0436dc94019e54850fc03f4a79efadac140","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Mecynocera",NA
"dfd1a7b684bae687ae1e274f3d5bc7bfd0256cfa","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Sapphirinidae","Genus",NA
"ef58fe9819f05f8ed8d0d5eefa403637f33fb10c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Cyclopoida","Corycaeidae","Ditrichocorycaeus",NA
"fc2f48f497abfaa216f40ddd7a85b6bbc00dbd36","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Benthesicymidae","Gennadas",NA
"0e1296575253520f52538d918bbc59785b8edd79","Animalia","Ctenophora","Subphylum","Tentaculata","Subclass","Superorder","Cydippida","Mertensiidae","Charistephane",NA
"2544fe8eca19940eb64a6a41ea0515da53aa9948","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Phronimidae","Phronima",NA
"2ec2eab7d994894cff411bfe442d3503257729ee","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Lucicutiidae","Lucicutia",NA
"6206693b8580d16f8817597db5eb720da006d4a3","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Stylocheiron",NA
"62680b3b492e00dadfb5df31c97234d09c08bd2c","Animalia","Platyhelminthes","Rhabditophora","Class","Subclass","Superorder","Polycladida","Notocomplanidae","Notocomplana",NA
"66f6c47c5979aac96f1df5faa6d01a8bff3086f2","Animalia","Annelida","Subphylum","Polychaeta","Errantia","Superorder","Phyllodocida","Tomopteridae","Genus",NA
"a155812b174fd2534a966f14f95982cbbe17cd8e","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Hyperiidae","Themisto",NA
"a32fc91489b7a81b814c9f53d4ae138157f44bd6","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Calocalanus",NA
"ac8d0324ccb1c0e0f0990108082986b925d04c9c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Scolecitrichidae","Lophothrix",NA
"ae9d88ef9aff21f7aabc3aa9e4be866345010157","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Nematobrachion",NA
"b297100644045ab353d5c4215e56a544003a7b0e","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Pontellidae","Labidocera",NA
"c1eb4696ff48e88b0f85f960b37292932f606e07","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Sergestidae","Eusergestes",NA
"579246ea6d913744ff16f5ea2844142f36105452","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Sergestidae","Allosergestes",NA
"711ed716c7a018f4769d6113423b13b7182a7b81","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pandalidae","Heterocarpus",NA
"d2dec109e26e1901255a39c925ef1a2b616a6258","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Prayidae","Amphicaryon",NA
"df6290a14c779978a627837be2dacff303717e2f","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Phrosinidae","Primno",NA
