Hash,C1.T7.H9_S1,C1.T7.H9_S2,C1.T7.H9_S3,C1.T8.H10_S1,C1.T8.H10_S2,C1.T8.H10_S3,C2.T8.H18_S1,C2.T8.H18_S2,C2.T8.H18_S3,C2.T9.H19_S1,C2.T9.H19_S2,C2.T9.H19_S3,C3.T6.H25_S1,C3.T6.H25_S2,C3.T6.H25_S3,C3.T7.H26_S1,C3.T7.H26_S2,C3.T7.H26_S3,CT1.T1.H28_S1,CT1.T1.H28_S2,CT1.T1.H28_S3,CT1.T2.H29_S1,CT1.T2.H29_S2,CT1.T2.H29_S3,CT1.T3.H30_S1,CT1.T3.H30_S2,CT1.T3.H30_S3,CT1.T4.H31_S1,CT1.T4.H31_S2,CT1.T4.H31_S3,CT1.T5.H32_S1,CT1.T5.H32_S2,CT1.T5.H32_S3,CT1.T6.H33_S1,CT1.T6.H33_S2,CT1.T6.H33_S3,CT1.T7.H34_S1,CT1.T7.H34_S2,CT1.T7.H34_S3,CT1.T8.H35_S1,CT1.T8.H35_S2,CT1.T8.H35_S3,CT2.T1.H36_S1,CT2.T1.H36_S2,CT2.T1.H36_S3,CT2.T4.H39_S1,CT2.T4.H39_S2,CT2.T4.H39_S3,CT2.T8.H43_S1,CT2.T8.H43_S2,CT2.T8.H43_S3
52b66ccbc76733bb29400f227295500d67fa0803,0,58,0,0,24,0,0,0,87,,0,0,0,0,,0,0,0,0,0,0,140,0,0,96,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
a794c80e61ed42201bee8e18269617b4385ad1c4,0,95,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccc61f709032feb908199dba9f6e02c8f7d1110b,0,34,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
3ec93889319f43bc734528d0d5e824b1f1ac9cd8,0,0,325,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78be39f75868a12b46cde340728608e872846a84,0,0,0,0,18,0,0,26,0,,0,0,0,0,,0,0,0,0,0,0,0,562,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
1a84e6f2aa276f5d18ad36aee37777543f9245cd,0,0,0,0,0,0,0,12,0,,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62680b3b492e00dadfb5df31c97234d09c08bd2c,0,0,0,0,0,0,0,71,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64c538d99b6d53efd0149cbb4896cfc5d55c3461,0,0,0,0,0,0,0,83,0,,0,0,0,405,,0,0,0,0,0,0,0,125,0,170,0,0,,130,0,0,0,0,0,295,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0
9ef914c345da6d0a23ab2507fb182f4eafc07aec,0,0,0,0,0,0,0,22,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc5774b716f26f0565792a3b646944444a5f468b,0,0,0,0,0,0,0,65,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c9732b8d3efa76bc2187f596f9e2d367690a5d42,0,0,0,0,0,0,0,12,0,,0,0,0,0,,0,0,0,0,0,0,0,110,0,0,0,0,,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ecdfac1fcd01b191da9dc2e19f395bfba064a925,0,0,0,0,0,0,0,177,74,,0,0,0,73,,0,0,0,0,0,0,0,0,0,125,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681542fc222eb61086afac319f734ef1c5c31849,0,0,0,0,0,0,0,0,185,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
02a07907732e29c1a97ed0eeda0a2d5a538f3a41,0,0,0,0,0,0,0,0,0,,0,22,0,0,,0,0,0,0,0,0,0,6,0,0,0,0,,0,0,0,0,0,0,10,3,0,58,33,0,0,0,0,3,0,0,0,0,0,0,0
1fcf5441d358d497a4b182b240116d2f0b8df03a,0,0,0,0,0,0,0,0,0,,0,264,0,0,,2,0,5,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,10,0,0,0
05591de557a0385b317ca0bc6b6d6a0cf44e43b2,0,0,0,0,0,0,0,0,0,,0,0,154,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07400dec706e2853c78fd49fd403d3bd3df30ff8,0,0,0,0,0,0,0,0,0,,0,0,0,72,,0,0,0,0,300,0,118,940,0,122,1052,0,,527,0,13,0,84,0,624,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
