"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"05591de557a0385b317ca0bc6b6d6a0cf44e43b2","Animalia","Chaetognatha","Subphylum","Sagittoidea","Subclass","Superorder","Aphragmophora","Sagittidae","Genus",NA
"0c41d92acd534960061dfba1beb00f1917f3afc4","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Agalmatidae","Marrus",NA
"0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus",NA
"1fcf5441d358d497a4b182b240116d2f0b8df03a","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","Pyrosoma",NA
"2439425b99d37e9ac683f3246f96980d412ce40c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Aetideidae","Aetideus",NA
"2ae059c18e36ba4620545bdd3a57a639ebc1d9a2","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Acartiidae","Acartia",NA
"2fdbb79cdb04035fa8eaf3a2d2dbb232380c7180","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Vibiliidae","Vibilia",NA
"383b2bec07d5377267456766a56e3d0eba31dbf0","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Cliidae","Clio",NA
"4080053ef98f9e41e14e125fad6da18a1d21fde7","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Nematoscelis",NA
"44f408ac8f2456bfef156a8140f247445a7f50b4","Animalia","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Superorder","Trachymedusae","Halicreatidae","Botrynema",NA
"450b63e04102aa57d14b8bb58fae01b332aef282","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Neocalanus",NA
"46ba927c417c82c762b4cdd54a530d1d699a330e","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Oncaeidae","Oncaea",NA
"4d3a77d605c748f2a17102d2f0cfa768950e9531","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Paracalanus",NA
"68714bd4d91f5d800bb81a5f47e9e6f02384257b","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Clausocalanus",NA
"73ddb8741c80250b5fce318e3603fc5637b92ec0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Euchaetidae","Paraeuchaeta",NA
"7df189e993f359afe2e5bcaebc5218a2a5b5b64e","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Ctenocalanus",NA
"85c2cce0b81b547ebd05f5623ce7881e5a8db540","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Cyclopoida","Corycaeidae","Ditrichocorycaeus",NA
"8d4cc2e8c7f20ba7e2a4c6ee4457f0a6a9b98d45","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Uristidae","Abyssorchomene",NA
"8f00bd43b9cef841b113073b7bdea53114cd7384","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Agalmatidae","Nanomia",NA
"905ef01deae4c6e4aaf90f8d0392f3b724ecacd4","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Pseudocalanus",NA
"914275e6686877e25cfdb5df6c8a42744c44f9b0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma",NA
"98afb06a9acfc017fa4f25951aed678d0885dd2f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Euchaetidae","Euchaeta",NA
"9f2deb97467abc9e8db1bf961b30aed8ae0c27d5","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Eurytheneidae","Eurythenes",NA
"a15fa1e1831ffac3265b6f2979da3a880f156124","Animalia","Cnidaria","Subphylum","Scyphozoa","Discomedusae","Superorder","Semaeostomeae","Phacellophoridae","Phacellophora",NA
"a166094ea1387c31c78c02aa1b82a199d945f714","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Diphyidae","Lensia",NA
"a4218fc4f539ac44007b3dea9b1d8af016ed4d32","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Acrocalanus",NA
"a84670c76f5c12ac10b05154640f60e6154751ac","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Heterorhabdidae","Heterorhabdus",NA
"b4c02705d349680ce498e83af332b7b34e5eb2b7","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Limacinidae","Heliconoides",NA
"bf8f3bfe8fb8e23135280e64efe4cc3cc315b30c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Eucalanus",NA
"bfcd14f97747c99372ec23c78dab3909d1561ea0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Rhincalanus",NA
"bfde302f2bd3de23ebb8e551c4a4af4d71790f62","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Thysanoessa",NA
"c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Euphausia",NA
"c25abcc3358f7552ed039ccacfb4b28467b2ca9b","Animalia","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Superorder","Trachymedusae","Rhopalonematidae","Pantachogon",NA
"c2b31e7f83dc3a59451f7db6714da0a0dd74a2c5","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Candaciidae","Candacia",NA
"c3db1f4fb87f52065f108aea13bad38e2d74d8fa","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Prayidae","Rosacea",NA
"cdffdeed24846ab0fa0610d9f5c119df862c22d2","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia",NA
"d87c7627d43106f0ae596b8a668b5e65bafb5c61","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Diphyidae","Muggiaea",NA
"dbcdc0436dc94019e54850fc03f4a79efadac140","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Mecynocera",NA
"fc2f48f497abfaa216f40ddd7a85b6bbc00dbd36","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Benthesicymidae","Gennadas",NA
"2544fe8eca19940eb64a6a41ea0515da53aa9948","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Phronimidae","Phronima",NA
"2ec2eab7d994894cff411bfe442d3503257729ee","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Lucicutiidae","Lucicutia",NA
