"","Hash","C1.T7.H9_S2","C1.T8.H10_S2","C2.T8.H18_S2","C2.T9.H19_S2","C3.T6.H25_S2","C3.T7.H26_S2","CT1.T1.H28_S2","CT1.T2.H29_S2","CT1.T3.H30_S2","CT1.T4.H31_S2","CT1.T5.H32_S2","CT1.T6.H33_S2","CT1.T7.H34_S2","CT1.T8.H35_S2","CT2.T1.H36_S2","CT2.T4.H39_S2","CT2.T8.H43_S2"
"1","004086fd79df133f09866e2f2c3c1f1923e66087",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"2","00528baea9eaab2049228a2b554dc96ecd02b197",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"3","007e66a23128f9cdc9201fee62eaa8641c866cdf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"4","008cfd67d0bc86d1d45093b9460e8ad137fd5abd",0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
"5","00d22f3eee653833f404acb0ec2d85507a4da77f",0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0
"6","0114bd3786297350f4f50541e237d052183b2800",0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
"7","0171cc759ee283cc9c17ac4964b6e648bd6aef3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","01b97529fd4da6746938629b3f594b1850799273",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","01cfa38140aa27513302c83969784a3f310533bf",0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
"10","0260bfbe825d95aca7b54a0909f97b59dc580e78",58,0,250,21,248,0,0,0,0,0,0,0,0,0,0,0,0
"11","02847e16890ae04cae8c89e31174e41e4254c716",0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0
"12","02a07907732e29c1a97ed0eeda0a2d5a538f3a41",0,0,0,0,0,0,0,6,0,0,0,10,58,0,3,0,0
"13","02c67941cbda8568571e10cb48fb456b8d6442ac",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"14","031ac4e0dd2ecc8f1dcecff888fa78cd7daee6cf",0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0
"15","0347345028e02fcf2469c1443f8f6ac79673d97b",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"16","038d2e2522540ef695517184eec13a715852b745",0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
"17","03d248ca09897238d6786ac114dc38af6a40fe79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"18","03ecec8441f3bf1abb7e5604eebade5c7e7724b7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628,0,0
"19","03fa18e98caf185cfdb7cbc6aafaefc8c8a9ab7c",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"20","044bf9f76c6c7687251d1d5b72feb4028789aa66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","04bffda8a8527274d290590bb71fe9cc5c8ea022",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
"22","0504c53740ed36b2c56a61fd7b09cc373ccbd619",0,0,0,0,0,775,0,0,0,0,0,0,0,0,0,0,0
"23","05342acd340f0ded4b3e856ecf2704e43adbbbc8",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"24","0540babc65432e8fdd05b298eb3d48f59be6bfad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","05801ba8c001b27a7181eefd30532c6ee6bd018c",0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0
"26","05b66beb11057ac9bc059a5c2be060c44492f193",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","06031612cc42723c4895af0e40c9183cc4837fa9",0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0
"28","060994cd507682e8b605dfb73143940a7519a1ee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,63
"29","066d6c0a1c3acc0089bec056b599c273a8c9fc80",0,0,0,0,0,0,0,0,0,0,0,85,0,0,16,0,0
"30","06a762376aa26769d4eda68b7408478961af6afb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"31","06c09fd6490d99fc022123b2805f8f278ed6d6ba",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"32","06f3a41f79add6f9789f6135a84ee74dd71040f1",0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
"33","07320a4fcac8bfd39e26f90e7d0f90ded996dba1",0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0
"34","07400dec706e2853c78fd49fd403d3bd3df30ff8",0,0,0,0,72,0,277,841,1052,527,0,624,0,0,0,8,0
"35","07744d0321e5e0da4364c8c039c80c05b6622535",0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"36","07df0292e6ec938e7774d4bb83770e347b0c9c77",0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
"37","0820a7f507d89fdcba7a016992fe29a4255663da",0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","08636a1495939b7805ca78f84db8556c3ef820fa",0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0
"39","08aba8adcabf8153dbb260a8c1e09d9e6383bb87",0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
"40","08f1eb87f0ae96725a83a2ed9dd3428f6e5a5be4",0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
"41","092805999f063ac2ff11f3c75affb3da4e6b8578",0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
"42","0945340d50d9255d08bd4a504591c139b13af1d0",0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0
"43","0998c5146d096a7cde7986ad61225f9fdf2ce8f7",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"44","0a0574f8e968be0a12ca45c109d69e9b079cb3b2",0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"45","0a0681d794ba5be51409987d7072740eecf35f4a",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"46","0a27afa1c3082a62c3944a96876be9987f6a820c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","0a2ffa5a59b276a4a65d0fed7c8016d205965551",0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
"48","0adc161a272caa3aab3398754bdfd040d02122e0",0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
"49","0babdb643cd7714dca69e500ee4d067b4434734a",0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0
"50","0c504186478970db981e4601648ad5ff105aaa9b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0
"51","0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0",1087,2551,1785,826,0,0,506,0,0,102,0,135,10875,3612,5419,9268,7585
"52","0c84003ceec1fb7c3e6c2c04c0221e1bcf2c45f0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","0c99fd8cea007e998b175214351ada3406ceaa85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"54","0cbb7c6e4f1db4370286487108593d7758b8bdda",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"55","0cc7783b88175ad26d5777ca4f3a521d14a66c1c",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"56","0d126297db4ae49b21866b0f7b72b3f2824ea0f4",0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"57","0ddd99f969247e30f3ab11e4c4103d58bb9fc734",0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
"58","0de53510347e58dabda2dc43270f04ad3ea2da5c",0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","0df4987d911537b6aeed5fd6bcf3618023fcf349",0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
"60","0e1296575253520f52538d918bbc59785b8edd79",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"61","0ef479d75f680377f370155cb1165e31cff535c6",0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"62","0f37645c6ad76c15a2f9871c4f498f32941e0f33",0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"63","0f76106f1e283822867de45fb377f1ee084fa5c7",172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","0f9929732f357da1950dc98fa7acfd0d21c26f71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
"65","1026cf43c26db5a37c9e08e9c0a88b7f9bde4ca3",0,0,0,0,0,0,0,14,0,0,0,0,0,11,0,0,0
"66","102cc7c90e2771a785a7ff071903b2194d7b5054",0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0
"67","10c3d1c8405b910ef842f394542a5580dc7e9010",0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","10d98a9e8191737474408e3922019918cf9ce20e",0,0,1085,0,90,41,0,145,0,0,0,0,0,0,0,0,0
"69","112c238ecb1162fbc35190e83f13457b2abcdb98",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"70","114d9a26e85197775de9b4d539b22900e02bb33c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","116e3ef8c862bb9155500e0221df2dbe02617641",0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
"72","1198d0e18cc74aff113e974de50269252576249d",0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0
"73","11c695fd5dcc3c767e1945e38a3a0b63bc00b61f",0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
"74","11e73a6cb407f486e216772ee0c421774380ca59",0,0,0,0,63,0,0,92,0,0,0,0,0,0,0,0,0
