"","Phylum","Subphylum","Class","Subclass","Order","Superorder","Family","Genus","Species","Hash"
"1","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","52b66ccbc76733bb29400f227295500d67fa0803"
"2","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","a794c80e61ed42201bee8e18269617b4385ad1c4"
"3","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","ccc61f709032feb908199dba9f6e02c8f7d1110b"
"4","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","3ec93889319f43bc734528d0d5e824b1f1ac9cd8"
"5","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","78be39f75868a12b46cde340728608e872846a84"
"6","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","1a84e6f2aa276f5d18ad36aee37777543f9245cd"
"7","Platyhelminthes","Rhabditophora","Class","Subclass","Polycladida","Superorder","Notocomplanidae","Notocomplana","Notocomplana humilis","62680b3b492e00dadfb5df31c97234d09c08bd2c"
"8","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","64c538d99b6d53efd0149cbb4896cfc5d55c3461"
"9","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","9ef914c345da6d0a23ab2507fb182f4eafc07aec"
"10","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","bc5774b716f26f0565792a3b646944444a5f468b"
"11","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","c9732b8d3efa76bc2187f596f9e2d367690a5d42"
"12","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","ecdfac1fcd01b191da9dc2e19f395bfba064a925"
"13","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","681542fc222eb61086afac319f734ef1c5c31849"
"14","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","02a07907732e29c1a97ed0eeda0a2d5a538f3a41"
"15","Chordata","Tunicata","Thaliacea","Subclass","Pyrosomatida","Superorder","Pyrosomatidae","Pyrosoma","Pyrosoma atlanticum","1fcf5441d358d497a4b182b240116d2f0b8df03a"
"16","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","05591de557a0385b317ca0bc6b6d6a0cf44e43b2"
"17","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","07400dec706e2853c78fd49fd403d3bd3df30ff8"
"18","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","17e50c361d0ee3dca50193093804268e84b42a6b"
"19","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","3efc3bd932f5238a77694e73a5d01279ca415438"
"20","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","49ac039933a1583c1922b06dd6145664ca181520"
"21","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","191852591b4d2d43f118faeb01e4a8b3fe27ec16"
"22","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","21c949c0c188bc6789316060dfb81b96dbec6ca3"
"23","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","2b772aaf91f3f938fb8ca5a6ccfc7e2a268e6215"
"24","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","45e167fcacbae88a34c6e2c5bce557a37be05197"
"25","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","63a67452ff11ce8b5eb5bdd75752091993c6cb39"
"26","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","72a4f10d511377831e9d2ccd90b92d1bbe1eb9b1"
"27","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","771b5b72163868a0301d409973a520d9d7e7f524"
"28","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","8448c4cb63086d593efe9ffcd3c2493d94efa525"
