"","Sample_ID_short","Cycle","Tow","Haul","Date","size_fraction","max_size","biomass_dry","Volume_Filtered_m3","depth","biomass_mg_m2"
"1","C1-T1-H3","1",1,"3","7/22/2021",0.2,0.5,1290.4,269,210,1007.37546468401
"2","C1-T2-H4","1",2,"4","7/22/2021",0.2,0.5,1457.06666666667,312,210,980.717948717949
"3","C1-T3-H5","1",3,"5","7/22/2021",0.2,0.5,NA,335,210,NA
"4","C1-T4-H6","1",4,"6","7/23/2021",0.2,0.5,2030.93333333333,376,210,1134.29787234043
"5","C1-T5-H7","1",5,"7","7/23/2021",0.2,0.5,1054.4,269,210,823.137546468401
"6","C1-T6-H8","1",6,"8","7/24/2021",0.2,0.5,1584.53333333333,308,210,1080.36363636364
"7","C1-T7-H9","1",7,"9","7/25/2021",0.2,0.5,1363.73333333333,282,203.45,1015.54609929078
"8","C1-T8-H10","1",8,"10","7/25/2021",0.2,0.5,881.866666666667,286,210,647.524475524475
"9","C1-T9-H11","1",9,"11","7/25/2021",0.2,0.5,1686.13333333333,294,210,1204.38095238095
"10","C2-T1-H12","2",1,"12","7/26/2021",0.2,0.5,1962.13333333333,368,210,1119.69565217391
"11","C2-T2-H13","2",2,"13","7/27/2021",0.2,0.5,1212,305,210,834.491803278689
"12","C2-T3-H14","2",3,"14","7/28/2021",0.2,0.5,1358.66666666667,277,210,1030.03610108303
"13","C2-T4-H15a","2",4,"15a","7/28/2021",0.2,0.5,568,268,210,445.074626865672
"14","C2-T5-H15b","2",5,"15b","7/29/2021",0.2,0.5,1907.46666666667,281,210,1425.50889679715
"15","C2-T6-H16","2",6,"16","7/29/2021",0.2,0.5,2094.93333333333,300,210,1466.45333333333
"16","C2-T7-H17","2",7,"17","7/30/2021",0.2,0.5,1868.26666666667,280,210,1401.2
"17","C2-T8-H18","2",8,"18","7/30/2021",0.2,0.5,NA,303,201.13,NA
"18","C2-T9-H19","2",9,"19","7/31/2021",0.2,0.5,1469.33333333333,252,210,1224.44444444444
"19","C3-T1-H20","3",1,"20","8/3/2021",0.2,0.5,129.6,296,210,91.9459459459459
"20","C3-T2-H21","3",2,"21","8/3/2021",0.2,0.5,321.066666666667,291,210,231.697594501718
"21","C3-T3-H22","3",3,"22","8/4/2021",0.2,0.5,82.6666666666667,278,210,62.4460431654676
"22","C3-T4-H23","3",4,"23","8/4/2021",0.2,0.5,193.066666666667,301,210,134.697674418605
"23","C3-T5-H24","3",5,"24","8/5/2021",0.2,0.5,187.2,299,210,131.478260869565
"24","C3-T6-H25","3",6,"25","8/5/2021",0.2,0.5,215.466666666667,290,210,156.027586206897
"25","C3-T7-H26","3",7,"26","8/6/2021",0.2,0.5,238.133333333333,280,215.44,178.6
"26","C3-T8-H27","3",8,"27","8/6/2021",0.2,0.5,221.866666666667,259,210,179.891891891892
"27","CT1-T1-H28","T1",1,"28","8/7/2021",0.2,0.5,518.133333333333,279,200,389.992831541219
"28","CT1-T2-H29","T1",2,"29","8/8/2021",0.2,0.5,290.4,278,200,219.36690647482
"29","CT1-T3-H30","T1",3,"30","8/8/2021",0.2,0.5,179.2,301,200,125.023255813953
"30","CT1-T4-H31","T1",4,"31","8/9/2021",0.2,0.5,NA,328,180.96,NA
"31","CT1-T5-H32","T1",5,"32","8/9/2021",0.2,0.5,NA,265,212.871221,NA
"32","CT1-T6-H33","T1",6,"33","8/9/2021",0.2,0.5,404.533333333333,297,208.021,286.03367003367
"33","CT1-T7-H34","T1",7,"34","8/9/2021",0.2,0.5,1139.46666666667,331,194.55,722.924471299094
"34","CT1-T8-H35","T1",8,"35","8/10/2021",0.2,0.5,NA,264,192.5687525,NA
"35","CT2-T1-H36","T2",1,"36","8/10/2021",0.2,0.5,NA,273,225.982946,NA
