"","taxa"
"1","other<living"
"2","multiple organisms"
"3","Chaetognatha"
"4","Copepoda<Maxillopoda"
"5","part<Crustacea"
"6","Calanoida"
"7","Oithonidae"
"8","Harpacticoida"
"9","Oikopleuridae"
"10","Euphausiacea"
"11","Hydrozoa"
"12","Polychaeta"
"13","nauplii<Cirripedia"
"14","cypris"
"15","Poecilostomatoida"
"16","Ostracoda"
"17","darksphere"
"18","Eucalanidae"
"19","Eumalacostraca"
"20","tetrazoid"
"21","nauplii<Crustacea"
"22","Tomopteridae"
"23","head<Chaetognatha"
"24","Actinopterygii"
"25","Amphipoda"
"26","egg<Actinopterygii"
"27","Salpida"
"28","Insecta"
"29","Hyperiidea"
"30","Pteropoda"
"31","Cladocera"
"32","nectophore<Physonectae"
"33","Doliolida"
"34","zoea<Decapoda"
"35","Velella"
"36","Annelida"
"37","Cephalopoda"
