"","size_fraction","sample_id","object_annotation_category","dryweight_C_mg_sum_taxa","dryweight_C_ug_sum_taxa","dryweight_C_mg_sum_sample","dryweight_C_ug_sum_sample","sample_conc","potemp2","density2","oxy_sat","Sal2","NO2","nitracline_depth","NO3","fluorescence","hypoxia_depth","chl_max_depth","PO4","SIL","NH4","beam_depth","chl_max","mixedlayerdepths","intergrated_chl","day_night_0_1","distance_from_shore","PAR_1_depth_adj","max_size","cycle","Sample_ID_short","PC1","Longitude","Latitude","log10_dryweight_C_ug_m2_taxa","dryweight_C_mg_m2_taxa","log10_dryweight_C_ug_m2_sample","dryweight_C_mg_m2_sample","biomass_prop_taxa"
"1","0.5-1","c2_t8_h18","Euphausiacea",0.000154391391108896,0.154391391108896,3.52467111555877,3524.67111555877,132.759075907591,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.5,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,-1.86826440001268,0.0204968584117044,8.1675424103429,467.932080179759,4.38030630510103e-05
"2","0.5-1","c2_t8_h18","Euphausiacea",0.000154391391108896,0.154391391108896,3.52467111555877,3524.67111555877,132.759075907591,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,1,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,-1.86826440001268,0.0204968584117044,8.1675424103429,467.932080179759,4.38030630510103e-05
"3","0.5-1","c2_t8_h18","Euphausiacea",0.000154391391108896,0.154391391108896,3.52467111555877,3524.67111555877,132.759075907591,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,2,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,-1.86826440001268,0.0204968584117044,8.1675424103429,467.932080179759,4.38030630510103e-05
"4","1-2","c1_t7_h9","Euphausiacea",0.00400314765890542,4.00314765890542,2.41840084096279,2418.40084096279,72.145390070922,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,1.38708096639118,0.28880864936323,7.79086179120038,174.476472019106,0.00165528707693954
"5","1-2","c1_t7_h9","Euphausiacea",0.00400314765890542,4.00314765890542,2.41840084096279,2418.40084096279,72.145390070922,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,1,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,1.38708096639118,0.28880864936323,7.79086179120038,174.476472019106,0.00165528707693954
"6","1-2","c1_t7_h9","Euphausiacea",0.00400314765890542,4.00314765890542,2.41840084096279,2418.40084096279,72.145390070922,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,2,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,1.38708096639118,0.28880864936323,7.79086179120038,174.476472019106,0.00165528707693954
"7","1-2","c2_t9_h19","Euphausiacea",0.0503227939759508,50.3227939759508,36.3317736259335,36331.7736259335,17.2420634920635,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.5,"2","C2-T9-H19",2.811058313,-123.226,36.46062,3.91845813501514,0.867668808831375,10.5004479438951,626.434747637623,0.00138509048564672
"8","1-2","c2_t9_h19","Euphausiacea",0.0503227939759508,50.3227939759508,36.3317736259335,36331.7736259335,17.2420634920635,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,1,"2","C2-T9-H19",2.811058313,-123.226,36.46062,3.91845813501514,0.867668808831375,10.5004479438951,626.434747637623,0.00138509048564672
"9","1-2","c2_t9_h19","Euphausiacea",0.0503227939759508,50.3227939759508,36.3317736259335,36331.7736259335,17.2420634920635,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,2,"2","C2-T9-H19",2.811058313,-123.226,36.46062,3.91845813501514,0.867668808831375,10.5004479438951,626.434747637623,0.00138509048564672
"10","1-2","ct1_t2_h29","Euphausiacea",0.00131097543230444,1.31097543230444,9.93416033741453,9934.16033741453,0.4000400040004,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,0.5,"T1","CT1-T2-H29",-3.394650309,-127.5728,35.0498,0.270771464944981,0.000524442617183494,9.20373463580426,3.97406154111992,0.000131966405592124
